,,,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
sc01,y2030,2030-01-01T00:00:00+01:00,108,97,180,74,71,136,125,171,175,195,0,0,265,194,317,100,0,333,181,128,0,0,0,0
sc01,y2030,2030-01-01T01:00:00+01:00,95.20264283,85.50607736,158.6710714,65.23144046,62.58692261,119.8848095,110.1882441,150.7375178,154.2635416,171.8936606,0,0,233.5990773,171.0121547,279.4373868,88.15059521,0,293.5414821,159.5525773,112.8327619,0,0,0,0
sc01,y2030,2030-01-01T02:00:00+01:00,82.36754693,73.97825975,137.2792449,56.4370229,54.14903548,103.7220961,95.33280896,130.4152826,133.4659325,148.719182,0,0,202.1055549,147.9565195,241.7640035,76.26624716,0,253.966603,138.0419074,97.62079633,0,0,0,0
sc01,y2030,2030-01-01T03:00:00+01:00,71.05560717,63.81846199,118.4260119,48.68624935,46.71248249,89.47743128,82.24028607,112.5047113,115.1364005,128.2948463,0,0,174.3494065,127.636924,208.5613655,65.79222886,0,219.0881221,119.0839342,84.21405294,0,0,0,0
sc01,y2030,2030-01-01T04:00:00+01:00,67.285023,60.43191881,112.141705,46.10270094,44.23367253,84.72928819,77.87618402,106.5346197,109.0266576,121.4868471,0,0,165.0975101,120.8638376,197.4940027,62.30094722,0,207.4621543,112.7647145,79.74521244,0,0,0,0
sc01,y2030,2030-01-01T05:00:00+01:00,66.47240478,59.70206726,110.7873413,45.54590698,43.69945129,83.7059912,76.93565368,105.2479742,107.7099152,120.0196197,0,0,163.1035858,119.4041345,195.1088178,61.54852295,0,204.9565814,111.4028266,78.78210937,0,0,0,0
sc01,y2030,2030-01-01T06:00:00+01:00,64.12252956,57.59153118,106.8708826,43.93580729,42.15462591,80.74688909,74.21589069,101.5273385,103.902247,115.7767895,0,0,157.3376883,115.1830623,188.2114988,59.37271255,0,197.7111328,107.4646097,75.99707206,0,0,0,0
sc01,y2030,2030-01-01T07:00:00+01:00,67.46516145,60.59370982,112.4419358,46.22612914,44.35209688,84.95612922,78.08467761,106.8198389,109.3185486,121.8120971,0,0,165.5395165,121.1874196,198.0227424,62.46774208,0,208.0175811,113.0666132,79.95870986,0,0,0,0
sc01,y2030,2030-01-01T08:00:00+01:00,73.65262681,66.15097038,122.754378,50.46568874,48.41978244,92.74775229,85.24609582,116.6166591,119.3445342,132.9839095,0,0,180.7217232,132.3019408,216.1840991,68.19687667,0,227.0955993,123.4363468,87.29200215,0,0,0,0
sc01,y2030,2030-01-01T09:00:00+01:00,81.61128545,73.29902488,136.0188091,55.91884372,53.65186357,102.7697668,94.45750631,129.2178686,132.2405088,147.3537098,0,0,200.2499133,146.5980498,239.544236,75.56600503,0,251.6347967,136.7744691,96.72448643,0,0,0,0
sc01,y2030,2030-01-01T10:00:00+01:00,95.08260064,85.39826166,158.471001,65.14918931,62.50800596,119.7336452,110.0493062,150.547451,154.0690288,171.6769178,0,0,233.3045293,170.7965233,279.0850407,88.03944502,0,293.1713519,159.3513954,112.6904896,0,0,0,0
sc01,y2030,2030-01-01T11:00:00+01:00,107.0462703,96.14340944,178.4104504,73.3465185,70.373011,134.799007,123.8961462,169.4899279,173.4546046,193.277988,0,0,262.6598298,192.2868188,314.2006266,99.11691691,0,330.0593333,179.4016196,126.8696536,0,0,0,0
sc01,y2030,2030-01-01T12:00:00+01:00,109.5540787,98.3957929,182.5901311,75.06483169,72.02166284,137.956988,126.7987022,173.4606246,177.518183,197.8059754,0,0,268.8132486,196.7915858,321.5615088,101.4389618,0,337.7917426,183.6045208,129.8418711,0,0,0,0
sc01,y2030,2030-01-01T13:00:00+01:00,112.9736487,101.4670734,188.2894145,77.4078704,74.26971349,142.2631132,130.7565378,178.8749438,183.059153,203.980199,0,0,277.2038602,202.9341467,331.59858,104.6052303,0,348.3354168,189.3354668,133.8946947,0,0,0,0
sc01,y2030,2030-01-01T14:00:00+01:00,110.8567752,99.56580735,184.761292,75.95742002,72.87806515,139.5974206,128.3064527,175.5232273,179.6290338,200.1580662,0,0,272.0096798,199.1316146,325.3851641,102.6451622,0,341.8083901,185.7877436,131.3858076,0,0,0,0
sc01,y2030,2030-01-01T15:00:00+01:00,104.8113442,94.13611476,174.6855738,71.81518032,68.90375408,131.9846557,121.3094262,165.951295,169.8331966,189.2427048,0,0,257.1759835,188.2722294,307.6407048,97.04754094,0,323.1683114,175.6560492,124.2208524,0,0,0,0
