,Node,Emax,Pess_max,Ah,Peak,InitialSOC,MaxSOC,MinSOC,InitialCost,BatteryScale,PVScale
MG1,N_101_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG2,N_101_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG3,N_101_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG4,N_103_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG5,N_103_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG6,N_103_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG7,N_104_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG8,N_104_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG9,N_104_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG10,N_105_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG11,N_105_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG12,N_105_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG13,N_108_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG14,N_108_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG15,N_108_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG16,N_113_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG17,N_113_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG18,N_113_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG19,N_115_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG20,N_115_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG21,N_115_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG22,N_119_13,0.000229892,0.000191576,38.31528139,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG23,N_119_18,0.000344838,0.000287365,57.47292209,,0.5,0.9,0.1,233143.1229,0.75,0.75
MG24,N_119_30,0.001788136,0.001490113,298.0226549,,0.5,0.9,0.1,233143.1229,0.75,0.75
