,,,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
sc01,y2030,2030-01-01T00:00:00+01:00,22,20,37,15,14,28,25,35,36,40,0,0,54,39,64,20,0,68,37,26,0,0,0,0
sc01,y2030,2030-01-01T01:00:00+01:00,17.79607367,16.17824879,29.92976026,12.13368659,11.32477416,22.64954831,20.222811,28.31193538,29.12084782,32.35649757,0,0,43.68127173,31.54758513,51.77039613,16.17824879,0,55.00604588,29.92976026,21.03172343,0,0,0,0
sc01,y2030,2030-01-01T02:00:00+01:00,14.23601438,12.94183126,23.94238782,9.706373442,9.059281874,18.11856376,16.17728907,22.64820469,23.29529626,25.88366251,0,0,34.94294438,25.23657095,41.41386001,12.94183126,0,44.00222626,23.94238782,16.82438062,0,0,0,0
sc01,y2030,2030-01-01T03:00:00+01:00,11.33130343,10.30118493,19.05719213,7.725888701,7.210829454,14.42165892,12.87648117,18.02707364,18.54213289,20.60236987,0,0,27.81319933,20.08731062,32.9637918,10.30118494,0,35.02402879,19.05719213,13.39154042,0,0,0,0
sc01,y2030,2030-01-01T04:00:00+01:00,10.65379806,9.685270964,17.91775128,7.263953223,6.779689674,13.55937935,12.10658871,16.94922419,17.43348774,19.37054193,0,0,26.1502316,18.88627838,30.99286708,9.685270964,0,32.92992128,17.91775129,12.59085225,0,0,0,0
sc01,y2030,2030-01-01T05:00:00+01:00,10.57814438,9.616494887,17.79051555,7.212371169,6.73154642,13.46309285,12.02061861,16.82886606,17.3096908,19.23298977,0,0,25.96453619,18.75216503,30.77278365,9.616494887,0,32.69608263,17.79051555,12.50144335,0,0,0,0
sc01,y2030,2030-01-01T06:00:00+01:00,9.854823276,8.958930248,16.57402097,6.719197685,6.271251177,12.54250235,11.19866281,15.67812794,16.12607445,17.9178605,0,0,24.18911168,17.46991398,28.66857679,8.958930248,0,30.46036285,16.57402097,11.64660933,0,0,0,0
sc01,y2030,2030-01-01T07:00:00+01:00,10.71646271,9.742238824,18.02314183,7.306679118,6.819567178,13.63913436,12.17779853,17.04891794,17.53602988,19.48447765,0,0,26.30404482,18.99736571,31.17516424,9.742238824,0,33.123612,18.02314183,12.66491047,0,0,0,0
sc01,y2030,2030-01-01T08:00:00+01:00,12.85286384,11.68442168,21.61618009,8.763316255,8.179095169,16.35819035,14.60552709,20.44773792,21.03195902,23.36884334,0,0,31.54793853,22.78462227,37.39014935,11.68442168,0,39.72703369,21.61618009,15.18974818,0,0,0,0
sc01,y2030,2030-01-01T09:00:00+01:00,15.6396791,14.21789009,26.30309667,10.66341757,9.952523062,19.90504612,17.77236262,24.88130766,25.59220217,28.43578018,0,0,38.38830325,27.72488569,45.4972483,14.21789009,0,48.34082631,26.30309667,18.48325712,0,0,0,0
