,,,Gas_C1,Gas_C2,Ant_C3,Ant_C4,Gas_C5,Gas_C6,Ant_C7,Ant_C8,Sub_C9,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,Gas_C15,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Gas_C21,Gas_C22,Nuc_N23,Nuc_N24,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30,Gas_C31,Gas_C32,Gas_C33,Ons_W100,Ons_W101,Ons_W102,Ons_W103,Ons_W104,Ons_W105,Sol_S106,Sol_S107,Sol_S108,Sol_S109,STATCON_SC001,Ant_CG1,Gas_CG2,Sub_CG3,ESS_CG4,ESS_CG5,ESS_CG6,ESS_CG7,ESS_CG8,ESS_CG9,Ons_CG10,Sol_CG11,STATCON_CG12,STATCON_CG13
sc01,y2030,2030-01-01T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.9833662,434.5165717,1351.691648,377.4956623,551.4381446,527.772,0.000014,0.000014,0.000014,0.000014,,,,,,,,,,,646.7080301,0.00007,,
sc01,y2030,2030-01-01T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,587.743217,400.2991003,1245.248136,347.7684946,508.0132904,486.210816,0.000014,0.000014,0.000014,0.000014,,,,,,,,,,,595.7808282,0.00007,,
sc01,y2030,2030-01-01T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.1473938,371.2880133,1155.000613,322.5644859,471.1957762,450.973404,0.000014,0.000014,0.000014,0.000014,,,,,,,,,,,552.602491,0.00007,,
sc01,y2030,2030-01-01T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.0037966,356.2064915,1108.085102,309.4620878,452.0560542,432.655104,0.000014,0.000014,0.000014,0.000014,,,,,,,,,,,530.1560715,0.00007,,
sc01,y2030,2030-01-01T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,491.022786,334.4249222,1040.327121,290.5388786,424.413407,406.1988,0.000014,0.000014,0.000014,0.000014,,,,,,,,,,,497.7377084,0.00007,,
sc01,y2030,2030-01-01T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.7125217,311.0569487,967.634164,270.2374466,394.7574795,377.81562,0.000014,0.000014,0.000014,0.000014,,,,,,,,,,,462.9582384,0.00007,,
sc01,y2030,2030-01-01T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.5247762,295.2642804,918.5064224,256.5172247,374.7152525,358.633548,0.033509879,0.028664264,0.062354846,0.04453279,,,,,,,,,,,439.4533917,0.00007,,
sc01,y2030,2030-01-01T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.3963029,267.9336513,833.4864591,232.7731501,340.0303813,325.437252,0.288397236,0.246694246,0.536646678,0.38326409,,,,,,,,,,,398.7761462,0.420812938,,
sc01,y2030,2030-01-01T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.1857174,242.5903322,754.648608,210.755594,307.867574,294.65478,5.441640389,4.654765041,10.12574973,7.231641236,,,,,,,,,,,361.0566918,7.940133768,,
sc01,y2030,2030-01-01T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.502249,204.6655349,636.6723672,177.8076068,259.7378104,248.590608,119.0029802,101.7948398,221.4395492,158.1484253,,,,,,,,,,,304.6117309,173.6424155,,
sc01,y2030,2030-01-01T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264.0308833,179.8256825,559.4006972,156.227448,228.2139444,218.419656,301.3937623,257.8114406,560.8304834,400.5357586,,,,,,,,,,,267.6416057,439.7767254,,
sc01,y2030,2030-01-01T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.7773378,185.782702,577.9317594,161.4027374,235.7739042,225.655164,413.1560311,353.4125946,768.7965894,549.0616757,,,,,,,,,,,276.5076712,602.8539042,,
sc01,y2030,2030-01-01T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.8832383,195.3899235,607.817849,169.7492188,247.9662779,237.324276,464.2825533,397.1460889,863.9323081,617.0060162,,,,,,,,,,,290.8064754,677.4548329,,
