,,,Gas_C1,Gas_C2,Ant_C3,Ant_C4,Gas_C5,Gas_C6,Ant_C7,Ant_C8,Sub_C9,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,Gas_C15,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Gas_C21,Gas_C22,Nuc_N23,Nuc_N24,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30,Gas_C31,Gas_C32,Gas_C33,Ons_W100,Ons_W101,Ons_W102,Ons_W103,Ons_W104,Ons_W105,Sol_S106,Sol_S107,Sol_S108,Sol_S109,STATCON_SC001,Ant_CG1,Gas_CG2,Sub_CG3,ESS_CG4,ESS_CG5,ESS_CG6,ESS_CG7,ESS_CG8,ESS_CG9,Ons_CG10,Sol_CG11,STATCON_CG12,STATCON_CG13
sc01,y2030,2030-01-01T00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546.8428853,372.4427758,1158.592841,323.5677106,472.6612668,452.376,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,554.3211686,0.00006,,
sc01,y2030,2030-01-01T01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.7799003,343.1135146,1067.355545,298.0872811,435.4399632,416.752128,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,510.6692813,0.00006,,
sc01,y2030,2030-01-01T02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,467.2691947,318.2468686,990.0005256,276.483845,403.8820939,386.548632,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,473.659278,0.00006,,
sc01,y2030,2030-01-01T03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.2889685,305.3198498,949.7872303,265.2532181,387.4766179,370.847232,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,454.4194898,0.00006,,
sc01,y2030,2030-01-01T04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.8766737,286.6499333,891.708961,249.0333245,363.7829203,348.1704,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,426.6323215,0.00006,,
sc01,y2030,2030-01-01T05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.4678758,266.6202418,829.400712,231.6320971,338.3635538,323.84196,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,396.8213472,0.00006,,
sc01,y2030,2030-01-01T06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.5926653,253.0836689,787.2912192,219.8719069,321.1845022,307.400184,0.028722754,0.024569369,0.053447011,0.038170963,,,,,,,,,,,376.6743358,0.00006,,
sc01,y2030,2030-01-01T07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.196831,229.6574154,714.416965,199.519843,291.4546126,278.946216,0.247197631,0.211452211,0.459982867,0.328512077,,,,,,,,,,,341.8081253,0.360696804,,
sc01,y2030,2030-01-01T08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305.3020435,207.9345704,646.841664,180.647652,263.886492,252.56124,4.66426319,3.989798606,8.679214058,6.198549631,,,,,,,,,,,309.4771644,6.805828944,,
sc01,y2030,2030-01-01T09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.5733563,175.4276014,545.7191719,152.4065201,222.6324089,213.077664,102.0025544,87.25271983,189.8053279,135.5557931,,,,,,,,,,,261.0957694,148.8363562,,
sc01,y2030,2030-01-01T10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.3121857,154.1362993,479.4863119,133.9092412,195.6119524,187.216848,258.3375106,220.9812348,480.7118429,343.3163645,,,,,,,,,,,229.4070906,376.9514789,,
sc01,y2030,2030-01-01T11:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.8091467,159.242316,495.3700795,138.3452035,202.0919179,193.418712,354.133741,302.9250811,658.9685052,470.6242934,,,,,,,,,,,237.0065753,516.7319179,,
sc01,y2030,2030-01-01T12:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.8999186,167.4770773,520.9867277,145.4993304,212.5425239,203.420808,397.9564742,340.4109334,740.513407,528.8622996,,,,,,,,,,,249.2626932,580.675571,,
sc01,y2030,2030-01-01T13:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.4272859,169.8794904,528.46014,147.5864786,215.5913885,206.338824,403.7845939,345.3962916,751.3583131,536.6075503,,,,,,,,,,,252.8382984,589.1796334,,
sc01,y2030,2030-01-01T14:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0784329,171.0040506,531.9584155,148.5634646,217.0185502,207.704736,382.3195994,327.0351914,711.4164674,508.0817518,,,,,,,,,,,254.5120255,557.8591282,,
sc01,y2030,2030-01-01T15:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.6381891,157.0826459,488.65179,136.4689435,199.3511144,190.795536,321.822983,275.2865429,598.8449717,427.6850707,,,,,,,,,,,233.7922536,469.5858882,,
sc01,y2030,2030-01-01T16:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.160197,148.5841573,462.2147407,129.0856979,188.5658164,180.473112,198.5527244,169.8414842,369.4649138,263.865667,,,,,,,,,,,221.1436204,289.7169016,,
sc01,y2030,2030-01-01T17:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.332905,157.5558017,490.1236805,136.8800078,199.9515892,191.37024,44.83946686,38.35556335,83.43682918,59.58918898,,,,,,,,,,,234.49647,65.42721306,,
sc01,y2030,2030-01-01T18:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.7660845,161.256222,501.6349265,140.0948279,204.6477342,195.86484,0.20859737,0.17843365,0.38815589,0.27721445,,,,,,,,,,,240.0039504,0.304373484,,
sc01,y2030,2030-01-01T19:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.4930846,169.9243044,528.5995474,147.6254119,215.6482613,206.393256,0.000012,0.000012,0.037969145,0.027116928,,,,,,,,,,,252.904997,0.00006,,
sc01,y2030,2030-01-01T20:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.2962096,181.3685468,564.2002306,157.5678448,230.1719692,220.293648,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,269.937911,0.00006,,
sc01,y2030,2030-01-01T21:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.5231143,196.5068074,611.2922443,170.7195358,249.3836976,238.680864,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,292.4687772,0.00006,,
sc01,y2030,2030-01-01T22:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.6480554,204.0837623,634.8625922,177.3021792,258.9994918,247.883976,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,303.7458559,0.00006,,
sc01,y2030,2030-01-01T23:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.7155434,204.8108052,637.124273,177.9338134,259.9221706,248.767056,0.000012,0.000012,0.000012,0.000012,,,,,,,,,,,304.8279422,0.00006,,
