,,,Area_1,Area_2,Area_3
2030,sc01,01-01 00:00:00+01:00,49.25098961,55.13379505,62.48180954
2030,sc01,01-01 01:00:00+01:00,49.28624443,54.14685975,59.61918695
2030,sc01,01-01 02:00:00+01:00,50.079478,53.98984731,58.2893072
2030,sc01,01-01 03:00:00+01:00,51.80696435,53.92255625,57.50039545
2030,sc01,01-01 04:00:00+01:00,56.98942355,54.95435225,58.19914585
2030,sc01,01-01 05:00:00+01:00,64.34005445,57.80300645,61.46749445
2030,sc01,01-01 06:00:00+01:00,67.3543419,61.6610263,68.40991774
2030,sc01,01-01 07:00:00+01:00,65.27430725,61.03297655,73.03068651
2030,sc01,01-01 08:00:00+01:00,61.62543295,60.2030537,78.30512495
2030,sc01,01-01 09:00:00+01:00,59.2104775,60.47221785,81.93411894
2030,sc01,01-01 10:00:00+01:00,57.65926521,59.05910595,84.43609616
2030,sc01,01-01 11:00:00+01:00,56.4606012,58.70022035,85.5405726
2030,sc01,01-01 12:00:00+01:00,55.38532905,58.74508105,84.9094432
2030,sc01,01-01 13:00:00+01:00,54.69785995,58.094601,85.13484655
2030,sc01,01-01 14:00:00+01:00,54.38056654,57.8702975,84.2106928
2030,sc01,01-01 15:00:00+01:00,54.5744681,58.094601,82.97097441
2030,sc01,01-01 16:00:00+01:00,58.5230084,59.68715564,84.66149955
2030,sc01,01-01 17:00:00+01:00,64.0051336,70.45372265,94.44400505
2030,sc01,01-01 18:00:00+01:00,63.3000371,71.4182276,93.00142359
2030,sc01,01-01 19:00:00+01:00,62.2600198,70.3415709,89.86831701
2030,sc01,01-01 20:00:00+01:00,60.2328674,68.56957346,85.7885163
2030,sc01,01-01 21:00:00+01:00,55.87889659,64.8461357,80.08581145
2030,sc01,01-01 22:00:00+01:00,51.5601806,60.5395089,73.25608985
2030,sc01,01-01 23:00:00+01:00,49.55065562,56.9282229,66.2009649
2030,sc01,01-02 00:00:00+01:00,48.54589312,54.8646309,61.8055995
2030,sc01,01-02 01:00:00+01:00,48.42250124,54.1244294,59.3937836
2030,sc01,01-02 02:00:00+01:00,48.89844137,53.7431135,57.68071815
2030,sc01,01-02 03:00:00+01:00,50.5730455,53.85526525,56.86926605
