,,,MG1,MG2,MG4,MG5,MG7,MG8,MG10,MG11,MG13,MG14,MG16,MG17,MG19,MG20,MG22,MG23
sc01,y2030,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc01,y2030,C2,0.000181671,0.000272506,0.000181671,0.000272506,0.000181671,0.000272506,0.000181671,0.000272506,0.000181671,0.000272506,0.000181671,0.000272506,0.000181671,0.000272506,0.000181671,0.000272506
sc01,y2030,C3,0.000127567,0.000191351,0.000127567,0.000191351,0.000127567,0.000191351,0.000127567,0.000191351,0.000127567,0.000191351,0.000127567,0.000191351,0.000127567,0.000191351,0.000127567,0.000191351
sc01,y2030,C4,0.000106475,0.000159713,0.000106475,0.000159713,0.000106475,0.000159713,0.000106475,0.000159713,0.000106475,0.000159713,0.000106475,0.000159713,0.000106475,0.000159713,0.000106475,0.000159713
sc01,y2030,C5,0.00015978,0.000239671,0.00015978,0.000239671,0.00015978,0.000239671,0.00015978,0.000239671,0.00015978,0.000239671,0.00015978,0.000239671,0.00015978,0.000239671,0.00015978,0.000239671
sc01,y2030,C6,0.000111563,0.000167345,0.000111563,0.000167345,0.000111563,0.000167345,0.000111563,0.000167345,0.000111563,0.000167345,0.000111563,0.000167345,0.000111563,0.000167345,0.000111563,0.000167345
sc01,y2030,C7,9.42E-05,1.41E-04,9.42E-05,1.41E-04,9.42E-05,1.41E-04,9.42E-05,1.41E-04,9.42E-05,1.41E-04,9.42E-05,1.41E-04,9.42E-05,1.41E-04,9.42E-05,1.41E-04
sc01,y2030,C8,0.000107757,0.000161635,0.000107757,0.000161635,0.000107757,0.000161635,0.000107757,0.000161635,0.000107757,0.000161635,0.000107757,0.000161635,0.000107757,0.000161635,0.000107757,0.000161635
sc01,y2030,C9,9.55E-05,1.43E-04,9.55E-05,1.43E-04,9.55E-05,1.43E-04,9.55E-05,1.43E-04,9.55E-05,1.43E-04,9.55E-05,1.43E-04,9.55E-05,1.43E-04,9.55E-05,1.43E-04
sc01,y2030,C10,9.24E-05,1.39E-04,9.24E-05,1.39E-04,9.24E-05,1.39E-04,9.24E-05,1.39E-04,9.24E-05,1.39E-04,9.24E-05,1.39E-04,9.24E-05,1.39E-04,9.24E-05,1.39E-04
sc01,y2030,C11,8.60E-05,1.29E-04,8.60E-05,1.29E-04,8.60E-05,1.29E-04,8.60E-05,1.29E-04,8.60E-05,1.29E-04,8.60E-05,1.29E-04,8.60E-05,1.29E-04,8.60E-05,1.29E-04
sc01,y2030,C12,0.000101769,0.000152653,0.000101769,0.000152653,0.000101769,0.000152653,0.000101769,0.000152653,0.000101769,0.000152653,0.000101769,0.000152653,0.000101769,0.000152653,0.000101769,0.000152653
sc01,y2030,C13,8.15E-05,1.22E-04,8.15E-05,1.22E-04,8.15E-05,1.22E-04,8.15E-05,1.22E-04,8.15E-05,1.22E-04,8.15E-05,1.22E-04,8.15E-05,1.22E-04,8.15E-05,1.22E-04
sc01,y2030,C14,8.94E-05,1.34E-04,8.94E-05,1.34E-04,8.94E-05,1.34E-04,8.94E-05,1.34E-04,8.94E-05,1.34E-04,8.94E-05,1.34E-04,8.94E-05,1.34E-04,8.94E-05,1.34E-04
sc01,y2030,C15,6.42E-05,9.63E-05,6.42E-05,9.63E-05,6.42E-05,9.63E-05,6.42E-05,9.63E-05,6.42E-05,9.63E-05,6.42E-05,9.63E-05,6.42E-05,9.63E-05,6.42E-05,9.63E-05
sc01,y2030,C16,6.85E-05,1.03E-04,6.85E-05,1.03E-04,6.85E-05,1.03E-04,6.85E-05,1.03E-04,6.85E-05,1.03E-04,6.85E-05,1.03E-04,6.85E-05,1.03E-04,6.85E-05,1.03E-04
sc01,y2030,C17,6.86E-05,1.03E-04,6.86E-05,1.03E-04,6.86E-05,1.03E-04,6.86E-05,1.03E-04,6.86E-05,1.03E-04,6.86E-05,1.03E-04,6.86E-05,1.03E-04,6.86E-05,1.03E-04
sc01,y2030,C18,3.76E-05,5.63E-05,3.76E-05,5.63E-05,3.76E-05,5.63E-05,3.76E-05,5.63E-05,3.76E-05,5.63E-05,3.76E-05,5.63E-05,3.76E-05,5.63E-05,3.76E-05,5.63E-05
sc01,y2030,C19,6.11E-05,9.17E-05,6.11E-05,9.17E-05,6.11E-05,9.17E-05,6.11E-05,9.17E-05,6.11E-05,9.17E-05,6.11E-05,9.17E-05,6.11E-05,9.17E-05,6.11E-05,9.17E-05
sc01,y2030,C20,5.78E-05,8.66E-05,5.78E-05,8.66E-05,5.78E-05,8.66E-05,5.78E-05,8.66E-05,5.78E-05,8.66E-05,5.78E-05,8.66E-05,5.78E-05,8.66E-05,5.78E-05,8.66E-05
sc01,y2030,C21,4.67E-05,7.01E-05,4.67E-05,7.01E-05,4.67E-05,7.01E-05,4.67E-05,7.01E-05,4.67E-05,7.01E-05,4.67E-05,7.01E-05,4.67E-05,7.01E-05,4.67E-05,7.01E-05
sc01,y2030,C22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
