,,,MG1,MG2,MG4,MG5,MG7,MG8,MG10,MG11,MG13,MG14,MG16,MG17,MG19,MG20,MG22,MG23
sc01,y2030,D1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc01,y2030,D2,0.000127687,0.00019153,0.000127687,0.00019153,0.000127687,0.00019153,0.000127687,0.00019153,0.000127687,0.00019153,0.000127687,0.00019153,0.000127687,0.00019153,0.000127687,0.00019153
sc01,y2030,D3,0.00015397,0.000230954,0.00015397,0.000230954,0.00015397,0.000230954,0.00015397,0.000230954,0.00015397,0.000230954,0.00015397,0.000230954,0.00015397,0.000230954,0.00015397,0.000230954
sc01,y2030,D4,7.16E-05,1.07E-04,7.16E-05,1.07E-04,7.16E-05,1.07E-04,7.16E-05,1.07E-04,7.16E-05,1.07E-04,7.16E-05,1.07E-04,7.16E-05,1.07E-04,7.16E-05,1.07E-04
sc01,y2030,D5,0.000158471,0.000237706,0.000158471,0.000237706,0.000158471,0.000237706,0.000158471,0.000237706,0.000158471,0.000237706,0.000158471,0.000237706,0.000158471,0.000237706,0.000158471,0.000237706
sc01,y2030,D6,6.61E-05,9.91E-05,6.61E-05,9.91E-05,6.61E-05,9.91E-05,6.61E-05,9.91E-05,6.61E-05,9.91E-05,6.61E-05,9.91E-05,6.61E-05,9.91E-05,6.61E-05,9.91E-05
sc01,y2030,D7,0.000159574,0.000239361,0.000159574,0.000239361,0.000159574,0.000239361,0.000159574,0.000239361,0.000159574,0.000239361,0.000159574,0.000239361,0.000159574,0.000239361,0.000159574,0.000239361
sc01,y2030,D8,0.000162501,0.000243752,0.000162501,0.000243752,0.000162501,0.000243752,0.000162501,0.000243752,0.000162501,0.000243752,0.000162501,0.000243752,0.000162501,0.000243752,0.000162501,0.000243752
sc01,y2030,D9,0.000169457,0.000254186,0.000169457,0.000254186,0.000169457,0.000254186,0.000169457,0.000254186,0.000169457,0.000254186,0.000169457,0.000254186,0.000169457,0.000254186,0.000169457,0.000254186
sc01,y2030,D10,0.000172862,0.000259292,0.000172862,0.000259292,0.000172862,0.000259292,0.000172862,0.000259292,0.000172862,0.000259292,0.000172862,0.000259292,0.000172862,0.000259292,0.000172862,0.000259292
sc01,y2030,D11,0.000173476,0.000260214,0.000173476,0.000260214,0.000173476,0.000260214,0.000173476,0.000260214,0.000173476,0.000260214,0.000173476,0.000260214,0.000173476,0.000260214,0.000173476,0.000260214
sc01,y2030,D12,0.000172826,0.000259238,0.000172826,0.000259238,0.000172826,0.000259238,0.000172826,0.000259238,0.000172826,0.000259238,0.000172826,0.000259238,0.000172826,0.000259238,0.000172826,0.000259238
sc01,y2030,D13,0.00017341,0.000260115,0.00017341,0.000260115,0.00017341,0.000260115,0.00017341,0.000260115,0.00017341,0.000260115,0.00017341,0.000260115,0.00017341,0.000260115,0.00017341,0.000260115
sc01,y2030,D14,0.000173738,0.000260607,0.000173738,0.000260607,0.000173738,0.000260607,0.000173738,0.000260607,0.000173738,0.000260607,0.000173738,0.000260607,0.000173738,0.000260607,0.000173738,0.000260607
sc01,y2030,D15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
