,,,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
sc01,y2030,2030-01-01T00:00:00+01:00,103.4503065,97,175.4503065,69.4503065,66.4503065,136,125,166.4503065,175,195,0,0,260.4503065,194,312.4503065,100,0,333,176.4503065,128,0,0,0,0
sc01,y2030,2030-01-01T01:00:00+01:00,90.77782433,85.50607736,154.2462529,60.80662196,58.16210411,119.8848095,110.1882441,146.3126993,154.2635416,171.8936606,0,0,229.1742588,171.0121547,275.0125683,88.15059521,0,293.5414821,155.1277588,112.8327619,0,0,0,0
sc01,y2030,2030-01-01T02:00:00+01:00,77.87156543,73.97825975,132.7832634,51.9410414,49.65305398,103.7220961,95.33280896,125.9193011,133.4659325,148.719182,0,0,197.6095734,147.9565195,237.268022,76.26624716,0,253.966603,133.5459259,97.62079633,0,0,0,0
sc01,y2030,2030-01-01T03:00:00+01:00,66.63733917,63.81846199,114.0077439,44.26798135,42.29421449,89.47743128,82.24028607,108.0864433,115.1364005,128.2948463,0,0,169.9311385,127.636924,204.1430975,65.79222886,0,219.0881221,114.6656662,84.21405294,0,0,0,0
sc01,y2030,2030-01-01T04:00:00+01:00,63.0095595,60.43191881,107.8662415,41.82723744,39.95820903,84.72928819,77.87618402,102.2591562,109.0266576,121.4868471,0,0,160.8220466,120.8638376,193.2185392,62.30094722,0,207.4621543,108.489251,79.74521244,0,0,0,0
sc01,y2030,2030-01-01T05:00:00+01:00,62.13879678,59.70206726,106.4537333,41.21229898,39.36584329,83.7059912,76.93565368,100.9143662,107.7099152,120.0196197,0,0,158.7699778,119.4041345,190.7752098,61.54852295,0,204.9565814,107.0692186,78.78210937,0,0,0,0
sc01,y2030,2030-01-01T06:00:00+01:00,59.74234956,57.59153118,102.4907026,39.55562729,37.77444591,80.74688909,74.21589069,97.1471585,103.902247,115.7767895,0,0,152.9575083,115.1830623,183.8313188,59.37271255,0,197.7111328,103.0844297,75.99707206,0,0,0,0
sc01,y2030,2030-01-01T07:00:00+01:00,63.03674745,60.59370982,108.0135218,41.79771514,39.92368288,84.95612922,78.08467761,102.3914249,109.3185486,121.8120971,0,0,161.1111025,121.1874196,193.5943284,62.46774208,0,208.0175811,108.6381992,79.95870986,0,0,0,0
sc01,y2030,2030-01-01T08:00:00+01:00,69.09227281,66.15097038,118.194024,45.90533474,43.85942844,92.74775229,85.24609582,112.0563051,119.3445342,132.9839095,0,0,176.1613692,132.3019408,211.6237451,68.19687667,0,227.0955993,118.8759928,87.29200215,0,0,0,0
sc01,y2030,2030-01-01T09:00:00+01:00,77.01018095,73.29902488,131.4177046,51.31773922,49.05075907,102.7697668,94.45750631,124.6167641,132.2405088,147.3537098,0,0,195.6488088,146.5980498,234.9431315,75.56600503,0,251.6347967,132.1733646,96.72448643,0,0,0,0
sc01,y2030,2030-01-01T10:00:00+01:00,90.52130614,85.39826166,153.9097065,60.58789481,57.94671146,119.7336452,110.0493062,145.9861565,154.0690288,171.6769178,0,0,228.7432348,170.7965233,274.5237462,88.03944502,0,293.1713519,154.7901009,112.6904896,0,0,0,0
sc01,y2030,2030-01-01T11:00:00+01:00,102.4666068,96.14340944,173.8307869,68.766855,65.7933475,134.799007,123.8961462,164.9102644,173.4546046,193.277988,0,0,258.0801663,192.2868188,309.6209631,99.11691691,0,330.0593333,174.8219561,126.8696536,0,0,0,0
sc01,y2030,2030-01-01T12:00:00+01:00,104.9115127,98.3957929,177.9475651,70.42226569,67.37909684,137.956988,126.7987022,168.8180586,177.518183,197.8059754,0,0,264.1706826,196.7915858,316.9189428,101.4389618,0,337.7917426,178.9619548,129.8418711,0,0,0,0
sc01,y2030,2030-01-01T13:00:00+01:00,108.3692937,101.4670734,183.6850595,72.8035154,69.66535849,142.2631132,130.7565378,174.2705888,183.059153,203.980199,0,0,272.5995052,202.9341467,326.994225,104.6052303,0,348.3354168,184.7311118,133.8946947,0,0,0,0
sc01,y2030,2030-01-01T14:00:00+01:00,106.4130102,99.56580735,180.317527,71.51365502,68.43430015,139.5974206,128.3064527,171.0794623,179.6290338,200.1580662,0,0,267.5659148,199.1316146,320.9413991,102.6451622,0,341.8083901,181.3439786,131.3858076,0,0,0,0
sc01,y2030,2030-01-01T15:00:00+01:00,100.4324092,94.13611476,170.3066388,67.43624532,64.52481908,131.9846557,121.3094262,161.57236,169.8331966,189.2427048,0,0,252.7970485,188.2722294,303.2617698,97.04754094,0,323.1683114,171.2771142,124.2208524,0,0,0,0
sc01,y2030,2030-01-01T16:00:00+01:00,96.623425,90.80705204,164.0265976,64.794149,61.98568347,127.3171039,117.019397,155.601201,163.8271557,182.5502592,0,0,243.5997875,181.6141041,292.2798566,93.6155176,0,311.7396735,164.9627528,119.8278625,0,0,0,0
sc01,y2030,2030-01-01T17:00:00+01:00,98.300017,92.33641207,166.8383848,65.93467676,63.07891144,129.4613612,118.9902217,158.2710888,166.5863104,185.6247459,0,0,247.7517356,184.6728241,297.2516678,95.1921774,0,316.9899506,167.7903066,121.8459871,0,0,0,0
sc01,y2030,2030-01-01T18:00:00+01:00,115.3966817,107.6637638,195.3120527,77.65886752,74.32906039,150.9512565,138.7419637,185.3226313,194.2387492,216.4374634,0,0,289.656588,215.3275277,347.373245,110.993571,0,369.6085913,196.4219885,142.0717708,0,0,0,0
sc01,y2030,2030-01-01T19:00:00+01:00,141.9123186,131.4660554,239.49537,95.8314332,91.76547275,184.3235416,169.4150198,227.2974886,237.1810278,264.2874309,0,0,354.6975836,262.9321107,425.1742317,135.5320158,0,451.3216128,240.8506902,173.4809803,0,0,0,0
sc01,y2030,2030-01-01T20:00:00+01:00,147.3647866,136.2350343,248.4876988,99.6123004,95.39884571,191.0099451,175.5606113,235.8473347,245.7848558,273.8745536,0,0,367.8689144,272.4700687,440.9021287,140.4484891,0,467.6934685,249.8921836,179.774066,0,0,0,0
sc01,y2030,2030-01-01T21:00:00+01:00,149.6688841,138.3003502,252.3248141,101.1924726,96.9151422,193.9056456,178.2221007,239.4928228,249.5109411,278.0264771,0,0,373.5158426,276.6007004,447.6562365,142.5776806,0,474.7836764,253.7505908,182.4994311,0,0,0,0
sc01,y2030,2030-01-01T22:00:00+01:00,138.4195668,128.1550261,233.544947,93.49924837,89.53569086,179.6812737,165.1482295,221.6542745,231.2075213,257.6312381,0,0,345.845743,256.3100522,414.5474066,132.1185836,0,439.9548834,234.8661328,169.111787,0,0,0,0
sc01,y2030,2030-01-01T23:00:00+01:00,113.3465858,105.6638859,191.7775114,76.30975988,73.04180465,148.1473039,136.1648013,181.9736457,190.6307219,212.4170901,0,0,284.3695763,211.3277716,341.0141337,108.9318411,0,362.7430307,192.8668298,139.4327565,0,0,0,0
sc01,y2030,2030-01-02T00:00:00+01:00,102.1795036,95.85863074,173.3323017,68.5795712,65.61487127,134.3997297,123.5291633,164.438202,172.9408287,192.7054948,0,0,257.3321328,191.7172615,308.7202647,98.8233307,0,329.0816911,174.320535,126.4938633,0,0,0,0
sc01,y2030,2030-01-02T01:00:00+01:00,84.80511514,80.14169962,144.2917375,56.71421007,54.23560081,112.3636201,103.2753861,136.8559097,144.5855405,161.1096023,0,0,214.5190001,160.2833992,257.4815607,82.62030889,0,275.1256286,145.1179406,105.7539954,0,0,0,0
sc01,y2030,2030-01-02T02:00:00+01:00,71.62112436,68.36443768,122.3658616,47.65833178,45.54396773,95.85117039,88.09850217,116.0227694,123.3379031,137.4336634,0,0,182.2728431,136.7288754,218.92182,70.47880173,0,234.6944097,123.0706497,90.21286623,0,0,0,0
sc01,y2030,2030-01-02T03:00:00+01:00,64.22718956,61.65379059,109.990828,42.61658255,40.70976428,86.44242804,79.45076105,104.2703731,111.2310655,123.9431873,0,0,164.0173455,123.3075812,197.0688621,63.56060885,0,211.6568275,110.626434,81.35757934,0,0,0,0
sc01,y2030,2030-01-02T04:00:00+01:00,64.75837724,62.00261622,110.7809377,43.02550145,41.10789476,86.93150315,79.90027867,105.0281176,111.8603901,124.6444347,0,0,165.1131272,124.0052325,198.3516431,63.92022291,0,212.8543423,111.42014,81.81788528,0,0,0,0
sc01,y2030,2030-01-02T05:00:00+01:00,66.92783146,64.00332989,114.4354578,44.4936746,42.51419016,89.7366275,82.47851793,108.4970045,115.4699251,128.6664879,0,0,170.52085,128.0066598,204.8319134,65.98281432,0,219.7227717,115.0952859,84.45800236,0,0,0,0
sc01,y2030,2030-01-02T06:00:00+01:00,75.10083883,71.38572987,128.0881847,50.0790366,47.87123052,100.0872089,91.99191995,121.4647665,128.7886879,143.5073951,0,0,190.6426903,142.7714597,228.911329,73.59353595,0,245.0664747,128.82412,94.19972604,0,0,0,0
sc01,y2030,2030-01-02T07:00:00+01:00,96.3792531,90.54021946,163.5843644,64.643506,61.84329302,126.9429881,116.6755406,155.1837254,163.3457568,182.0138433,0,0,242.923732,181.0804389,291.4607568,93.34043243,0,310.8236399,164.5177687,119.4757535,0,0,0,0
sc01,y2030,2030-01-02T08:00:00+01:00,125.2651814,116.6025642,211.8155384,84.39417955,80.78791467,163.4840076,150.2610364,200.9967437,210.365451,234.4072167,0,0,313.9930432,233.2051285,376.5016344,120.2088291,0,400.2954009,213.0176267,153.8673013,0,0,0,0
sc01,y2030,2030-01-02T09:00:00+01:00,154.1082563,142.5445184,259.9144967,104.1441982,99.7356049,199.856232,183.6913897,246.6887166,257.1679455,286.5585679,0,0,384.8246417,285.0890368,461.2402598,146.9531117,0,489.3538622,261.3840278,188.099983,0,0,0,0
sc01,y2030,2030-01-02T10:00:00+01:00,173.2422064,159.6938851,291.7778737,117.2670302,112.3280441,223.9007049,205.791089,276.9609153,288.1075247,321.0340989,0,0,431.7158142,319.3877702,517.3249073,164.6328712,0,548.2274612,293.4242024,210.7300752,0,0,0,0
sc01,y2030,2030-01-02T11:00:00+01:00,181.4594427,167.0906786,305.4855133,122.8915759,117.7238229,234.2714669,215.3230395,289.9822546,301.4522553,335.9039416,0,0,451.9051803,334.1813573,541.4795646,172.2584316,0,573.6205772,307.2080977,220.4907925,0,0,0,0
sc01,y2030,2030-01-02T12:00:00+01:00,177.3065966,163.4173034,298.6060384,120.0263047,114.9721613,229.1211678,210.5893086,283.4436083,294.8250322,328.5193215,0,0,441.8067683,326.834607,529.4119207,168.471447,0,561.0099182,300.2907529,215.643452,0,0,0,0
sc01,y2030,2030-01-02T13:00:00+01:00,175.1110285,161.4110389,294.9212842,118.5339633,113.5418693,226.3082607,208.003916,279.9450022,291.2054825,324.4861091,0,0,436.3639471,322.8220778,522.8935761,166.4031329,0,554.1224325,296.5853155,212.9960101,0,0,0,0
sc01,y2030,2030-01-02T14:00:00+01:00,166.1170767,153.1889041,279.8243046,112.4219969,107.6841958,214.7803191,197.4083816,265.6109011,276.3717343,307.9570753,0,0,414.062004,306.3778083,496.1838908,157.9267053,0,525.8959286,281.4035715,202.1461827,0,0,0,0
