,,,MG1,MG2,MG4,MG5,MG7,MG8,MG10,MG11,MG13,MG14,MG16,MG17,MG19,MG20,MG22,MG23
sc01,y2030,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc01,y2030,C2,0.000169619,0.000254429,0.000169619,0.000254429,0.000169619,0.000254429,0.000169619,0.000254429,0.000169619,0.000254429,0.000169619,0.000254429,0.000169619,0.000254429,0.000169619,0.000254429
sc01,y2030,C3,0.000118378,0.000177567,0.000118378,0.000177567,0.000118378,0.000177567,0.000118378,0.000177567,0.000118378,0.000177567,0.000118378,0.000177567,0.000118378,0.000177567,0.000118378,0.000177567
sc01,y2030,C4,9.60E-05,1.44E-04,9.60E-05,1.44E-04,9.60E-05,1.44E-04,9.60E-05,1.44E-04,9.60E-05,1.44E-04,9.60E-05,1.44E-04,9.60E-05,1.44E-04,9.60E-05,1.44E-04
sc01,y2030,C5,0.000142993,0.000214489,0.000142993,0.000214489,0.000142993,0.000214489,0.000142993,0.000214489,0.000142993,0.000214489,0.000142993,0.000214489,0.000142993,0.000214489,0.000142993,0.000214489
sc01,y2030,C6,0.000105792,0.000158688,0.000105792,0.000158688,0.000105792,0.000158688,0.000105792,0.000158688,0.000105792,0.000158688,0.000105792,0.000158688,0.000105792,0.000158688,0.000105792,0.000158688
sc01,y2030,C7,8.69E-05,1.30E-04,8.69E-05,1.30E-04,8.69E-05,1.30E-04,8.69E-05,1.30E-04,8.69E-05,1.30E-04,8.69E-05,1.30E-04,8.69E-05,1.30E-04,8.69E-05,1.30E-04
sc01,y2030,C8,0.00010152,0.00015228,0.00010152,0.00015228,0.00010152,0.00015228,0.00010152,0.00015228,0.00010152,0.00015228,0.00010152,0.00015228,0.00010152,0.00015228,0.00010152,0.00015228
sc01,y2030,C9,8.75E-05,1.31E-04,8.75E-05,1.31E-04,8.75E-05,1.31E-04,8.75E-05,1.31E-04,8.75E-05,1.31E-04,8.75E-05,1.31E-04,8.75E-05,1.31E-04,8.75E-05,1.31E-04
sc01,y2030,C10,8.44E-05,1.27E-04,8.44E-05,1.27E-04,8.44E-05,1.27E-04,8.44E-05,1.27E-04,8.44E-05,1.27E-04,8.44E-05,1.27E-04,8.44E-05,1.27E-04,8.44E-05,1.27E-04
sc01,y2030,C11,7.88E-05,1.18E-04,7.88E-05,1.18E-04,7.88E-05,1.18E-04,7.88E-05,1.18E-04,7.88E-05,1.18E-04,7.88E-05,1.18E-04,7.88E-05,1.18E-04,7.88E-05,1.18E-04
sc01,y2030,C12,9.31E-05,1.40E-04,9.31E-05,1.40E-04,9.31E-05,1.40E-04,9.31E-05,1.40E-04,9.31E-05,1.40E-04,9.31E-05,1.40E-04,9.31E-05,1.40E-04,9.31E-05,1.40E-04
sc01,y2030,C13,7.43E-05,1.11E-04,7.43E-05,1.11E-04,7.43E-05,1.11E-04,7.43E-05,1.11E-04,7.43E-05,1.11E-04,7.43E-05,1.11E-04,7.43E-05,1.11E-04,7.43E-05,1.11E-04
sc01,y2030,C14,8.09E-05,1.21E-04,8.09E-05,1.21E-04,8.09E-05,1.21E-04,8.09E-05,1.21E-04,8.09E-05,1.21E-04,8.09E-05,1.21E-04,8.09E-05,1.21E-04,8.09E-05,1.21E-04
sc01,y2030,C15,5.82E-05,8.73E-05,5.82E-05,8.73E-05,5.82E-05,8.73E-05,5.82E-05,8.73E-05,5.82E-05,8.73E-05,5.82E-05,8.73E-05,5.82E-05,8.73E-05,5.82E-05,8.73E-05
sc01,y2030,C16,6.19E-05,9.28E-05,6.19E-05,9.28E-05,6.19E-05,9.28E-05,6.19E-05,9.28E-05,6.19E-05,9.28E-05,6.19E-05,9.28E-05,6.19E-05,9.28E-05,6.19E-05,9.28E-05
sc01,y2030,C17,6.26E-05,9.39E-05,6.26E-05,9.39E-05,6.26E-05,9.39E-05,6.26E-05,9.39E-05,6.26E-05,9.39E-05,6.26E-05,9.39E-05,6.26E-05,9.39E-05,6.26E-05,9.39E-05
sc01,y2030,C18,3.39E-05,5.08E-05,3.39E-05,5.08E-05,3.39E-05,5.08E-05,3.39E-05,5.08E-05,3.39E-05,5.08E-05,3.39E-05,5.08E-05,3.39E-05,5.08E-05,3.39E-05,5.08E-05
sc01,y2030,C19,5.57E-05,8.35E-05,5.57E-05,8.35E-05,5.57E-05,8.35E-05,5.57E-05,8.35E-05,5.57E-05,8.35E-05,5.57E-05,8.35E-05,5.57E-05,8.35E-05,5.57E-05,8.35E-05
sc01,y2030,C20,5.23E-05,7.84E-05,5.23E-05,7.84E-05,5.23E-05,7.84E-05,5.23E-05,7.84E-05,5.23E-05,7.84E-05,5.23E-05,7.84E-05,5.23E-05,7.84E-05,5.23E-05,7.84E-05
sc01,y2030,C21,4.29E-05,6.43E-05,4.29E-05,6.43E-05,4.29E-05,6.43E-05,4.29E-05,6.43E-05,4.29E-05,6.43E-05,4.29E-05,6.43E-05,4.29E-05,6.43E-05,4.29E-05,6.43E-05
sc01,y2030,C22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
