,,,MG1,MG2,MG3,MG4,MG5,MG6,MG7,MG8,MG9,MG10,MG11,MG12,MG13,MG14,MG15,MG16,MG17,MG18,MG19,MG20,MG21,MG22,MG23,MG24
sc01,y2030,C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc01,y2030,C2,0.000169619,0.000254429,0.001319327,0.000169619,0.000254429,0.001319327,0.000169619,0.000254429,0.001319327,0.000169619,0.000254429,0.001319327,0.000169619,0.000254429,0.001319327,0.000169619,0.000254429,0.001319327,0.000169619,0.000254429,0.001319327,0.000169619,0.000254429,0.001319327
sc01,y2030,C3,0.000118378,0.000177567,0.000920766,0.000118378,0.000177567,0.000920766,0.000118378,0.000177567,0.000920766,0.000118378,0.000177567,0.000920766,0.000118378,0.000177567,0.000920766,0.000118378,0.000177567,0.000920766,0.000118378,0.000177567,0.000920766,0.000118378,0.000177567,0.000920766
sc01,y2030,C4,9.60E-05,1.44E-04,7.47E-04,9.60E-05,1.44E-04,7.47E-04,9.60E-05,1.44E-04,7.47E-04,9.60E-05,1.44E-04,7.47E-04,9.60E-05,1.44E-04,7.47E-04,9.60E-05,1.44E-04,7.47E-04,9.60E-05,1.44E-04,7.47E-04,9.60E-05,1.44E-04,7.47E-04
sc01,y2030,C5,0.000142993,0.000214489,0.001112222,0.000142993,0.000214489,0.001112222,0.000142993,0.000214489,0.001112222,0.000142993,0.000214489,0.001112222,0.000142993,0.000214489,0.001112222,0.000142993,0.000214489,0.001112222,0.000142993,0.000214489,0.001112222,0.000142993,0.000214489,0.001112222
sc01,y2030,C6,0.000105792,0.000158688,0.000822866,0.000105792,0.000158688,0.000822866,0.000105792,0.000158688,0.000822866,0.000105792,0.000158688,0.000822866,0.000105792,0.000158688,0.000822866,0.000105792,0.000158688,0.000822866,0.000105792,0.000158688,0.000822866,0.000105792,0.000158688,0.000822866
sc01,y2030,C7,8.69E-05,1.30E-04,6.76E-04,8.69E-05,1.30E-04,6.76E-04,8.69E-05,1.30E-04,6.76E-04,8.69E-05,1.30E-04,6.76E-04,8.69E-05,1.30E-04,6.76E-04,8.69E-05,1.30E-04,6.76E-04,8.69E-05,1.30E-04,6.76E-04,8.69E-05,1.30E-04,6.76E-04
sc01,y2030,C8,0.00010152,0.00015228,0.000789641,0.00010152,0.00015228,0.000789641,0.00010152,0.00015228,0.000789641,0.00010152,0.00015228,0.000789641,0.00010152,0.00015228,0.000789641,0.00010152,0.00015228,0.000789641,0.00010152,0.00015228,0.000789641,0.00010152,0.00015228,0.000789641
sc01,y2030,C9,8.75E-05,1.31E-04,6.81E-04,8.75E-05,1.31E-04,6.81E-04,8.75E-05,1.31E-04,6.81E-04,8.75E-05,1.31E-04,6.81E-04,8.75E-05,1.31E-04,6.81E-04,8.75E-05,1.31E-04,6.81E-04,8.75E-05,1.31E-04,6.81E-04,8.75E-05,1.31E-04,6.81E-04
sc01,y2030,C10,8.44E-05,1.27E-04,6.56E-04,8.44E-05,1.27E-04,6.56E-04,8.44E-05,1.27E-04,6.56E-04,8.44E-05,1.27E-04,6.56E-04,8.44E-05,1.27E-04,6.56E-04,8.44E-05,1.27E-04,6.56E-04,8.44E-05,1.27E-04,6.56E-04,8.44E-05,1.27E-04,6.56E-04
