,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
sc01,y2030,2030-01-01T00:00:00+01:00,,,,,,,,,,,,,,157.075,0,
sc01,y2030,2030-01-01T01:00:00+01:00,,,,,,,,,,,,,,144.7056,0,
sc01,y2030,2030-01-01T02:00:00+01:00,,,,,,,,,,,,,,134.218275,0,
sc01,y2030,2030-01-01T03:00:00+01:00,,,,,,,,,,,,,,128.7664,0,
sc01,y2030,2030-01-01T04:00:00+01:00,,,,,,,,,,,,,,120.8925,0,
sc01,y2030,2030-01-01T05:00:00+01:00,,,,,,,,,,,,,,112.445125,0,
sc01,y2030,2030-01-01T06:00:00+01:00,,,,,,,,,,,,,,106.736175,0,
sc01,y2030,2030-01-01T07:00:00+01:00,,,,,,,,,,,,,,96.856325,0.04755,
sc01,y2030,2030-01-01T08:00:00+01:00,,,,,,,,,,,,,,87.694875,0.8972,
sc01,y2030,2030-01-01T09:00:00+01:00,,,,,,,,,,,,,,73.9853,19.620825,
sc01,y2030,2030-01-01T10:00:00+01:00,,,,,,,,,,,,,,65.00585,49.692825,
sc01,y2030,2030-01-01T11:00:00+01:00,,,,,,,,,,,,,,67.159275,68.119825,
sc01,y2030,2030-01-01T12:00:00+01:00,,,,,,,,,,,,,,70.632225,76.5494,
sc01,y2030,2030-01-01T13:00:00+01:00,,,,,,,,,,,,,,71.645425,77.670475,
sc01,y2030,2030-01-01T14:00:00+01:00,,,,,,,,,,,,,,72.1197,73.54155,
sc01,y2030,2030-01-01T15:00:00+01:00,,,,,,,,,,,,,,66.24845,61.90465,
sc01,y2030,2030-01-01T16:00:00+01:00,,,,,,,,,,,,,,62.664275,38.19285,
sc01,y2030,2030-01-01T17:00:00+01:00,,,,,,,,,,,,,,66.448,8.62515,
sc01,y2030,2030-01-01T18:00:00+01:00,,,,,,,,,,,,,,68.008625,0.040125,
sc01,y2030,2030-01-01T19:00:00+01:00,,,,,,,,,,,,,,71.664325,0,
sc01,y2030,2030-01-01T20:00:00+01:00,,,,,,,,,,,,,,76.49085,0,
sc01,y2030,2030-01-01T21:00:00+01:00,,,,,,,,,,,,,,82.8753,0,
sc01,y2030,2030-01-01T22:00:00+01:00,,,,,,,,,,,,,,86.070825,0,
sc01,y2030,2030-01-01T23:00:00+01:00,,,,,,,,,,,,,,86.37745,0,
sc01,y2030,2030-01-02T00:00:00+01:00,,,,,,,,,,,,,,82.447875,0,
sc01,y2030,2030-01-02T01:00:00+01:00,,,,,,,,,,,,,,75.531725,0,
sc01,y2030,2030-01-02T02:00:00+01:00,,,,,,,,,,,,,,73.82505,0,
sc01,y2030,2030-01-02T03:00:00+01:00,,,,,,,,,,,,,,69.21735,0,
sc01,y2030,2030-01-02T04:00:00+01:00,,,,,,,,,,,,,,71.969075,0,
sc01,y2030,2030-01-02T05:00:00+01:00,,,,,,,,,,,,,,76.3894,0,
sc01,y2030,2030-01-02T06:00:00+01:00,,,,,,,,,,,,,,77.010675,0,
sc01,y2030,2030-01-02T07:00:00+01:00,,,,,,,,,,,,,,80.64685,0.048825,
sc01,y2030,2030-01-02T08:00:00+01:00,,,,,,,,,,,,,,75.846275,1.09305,
sc01,y2030,2030-01-02T09:00:00+01:00,,,,,,,,,,,,,,69.022375,21.06315,
sc01,y2030,2030-01-02T10:00:00+01:00,,,,,,,,,,,,,,55.480775,50.20345,
sc01,y2030,2030-01-02T11:00:00+01:00,,,,,,,,,,,,,,43.867975,67.392975,
sc01,y2030,2030-01-02T12:00:00+01:00,,,,,,,,,,,,,,35.6382,74.4203,
sc01,y2030,2030-01-02T13:00:00+01:00,,,,,,,,,,,,,,33.554875,74.127325,
sc01,y2030,2030-01-02T14:00:00+01:00,,,,,,,,,,,,,,33.443825,68.30635,
sc01,y2030,2030-01-02T15:00:00+01:00,,,,,,,,,,,,,,37.132775,55.007575,
sc01,y2030,2030-01-02T16:00:00+01:00,,,,,,,,,,,,,,41.31305,31.9986,
sc01,y2030,2030-01-02T17:00:00+01:00,,,,,,,,,,,,,,46.6441,6.9971,
sc01,y2030,2030-01-02T18:00:00+01:00,,,,,,,,,,,,,,46.718625,0.0478,
sc01,y2030,2030-01-02T19:00:00+01:00,,,,,,,,,,,,,,45.963725,0,
sc01,y2030,2030-01-02T20:00:00+01:00,,,,,,,,,,,,,,43.373025,0,
sc01,y2030,2030-01-02T21:00:00+01:00,,,,,,,,,,,,,,45.382225,0,
sc01,y2030,2030-01-02T22:00:00+01:00,,,,,,,,,,,,,,49.2963,0,
