,,,LineType,LossesCoeff,X,TTC,FixedCost,FxChargeRate,,
LaNinha_500_kV,Piura_500_kV,cc1,AC,0,0.0114192,1372,0,0,,LaNinha_500_kVPiura_500_kV
Trujillo_500_kV,LaNinha_500_kV,cc1,AC,0,0.04148976,686.98,0,0,,Trujillo_500_kVLaNinha_500_kV
Chimbote_500_kV,Trujillo_500_kV,cc1,AC,0,0.018403752,980,0,0,,Chimbote_500_kVTrujillo_500_kV
Carabayllo_500_kV,Chimbote_500_kV,cc1,AC,0,0.0238384,980,0,0,,Carabayllo_500_kVChimbote_500_kV
Carapongo_500_kV,Carabayllo_500_kV,cc1,AC,0,0.003487,1372,0,0,,Carapongo_500_kVCarabayllo_500_kV
Chilca_500_kV,Carapongo_500_kV,cc1,AC,0,0.00789964,1372,0,0,,Chilca_500_kVCarapongo_500_kV
Planicie_500_kV,Carabayllo_500_kV,cc1,AC,0,0.00503396,1372,0,0,,Planicie_500_kVCarabayllo_500_kV
Chilca_500_kV,Planicie_500_kV,cc1,AC,0,0.00635268,1372,0,0,,Chilca_500_kVPlanicie_500_kV
Chilca_500_kV,Independencia_500_kV,cc1,AC,0,0.023903605,824.18,0,0,,Chilca_500_kVIndependencia_500_kV
Independencia_500_kV,Poroma_500_kV,cc1,AC,0,0.026181478,824.18,0,0,,Independencia_500_kVPoroma_500_kV
Poroma_500_kV,Oconha_500_kV,cc1,AC,0,0.014509048,824.18,0,0,,Poroma_500_kVOconha_500_kV
Oconha_500_kV,SanJose_500_kV,cc1,AC,0,0.006994668,824.18,0,0,,Oconha_500_kVSanJose_500_kV
SanJose_500_kV,Montalvo_500_kV,cc1,AC,0,0.00593026,824.18,0,0,,SanJose_500_kVMontalvo_500_kV
Yarabamba_500_kV,Montalvo_500_kV,cc1,AC,0,0.011122168,1372,0,0,,Yarabamba_500_kVMontalvo_500_kV
Poroma_500_kV,Yarabamba_500_kV,cc1,AC,0,0.0239672,1372,0,0,,Poroma_500_kVYarabamba_500_kV
Colcabamba_500_kV,Poroma_500_kV,cc1,AC,0,0.023872064,980,0,0,,Colcabamba_500_kVPoroma_500_kV
Colcabamba_500_kV,Yanango_500_kV,cc1,AC,0,0.0113484,980,0,0,,Colcabamba_500_kVYanango_500_kV
Yanango_500_kV,Carapongo_500_kV,cc1,AC,0,0.0133788,980,0,0,,Yanango_500_kVCarapongo_500_kV
Huanuco_500_kV,Yanango_500_kV,cc1,AC,0,0.0233312,980,0,0,,Huanuco_500_kVYanango_500_kV
LaNinha_500_kV,LaNinha_220_kV,cc1,AC,0,0.026665,588,0,0,,LaNinha_500_kVLaNinha_220_kV
Trujillo_500_kV,TrujilloNueva_220_kV,cc1,AC,0,0.022365333,735,0,0,,Trujillo_500_kVTrujilloNueva_220_kV
Chimbote_500_kV,Chimbote_220_kV,cc1,AC,0,0.022365333,735,0,0,,Chimbote_500_kVChimbote_220_kV
Carabayllo_500_kV,Carabayllo_220_kV,cc1,AC,0,0.02715,588,0,0,,Carabayllo_500_kVCarabayllo_220_kV
Carapongo_500_kV,Carapongo_220_kV,cc1,AC,0,0.021333333,735,0,0,,Carapongo_500_kVCarapongo_220_kV
Planicie_500_kV,Planicie_220_kV,cc1,AC,0,0.02715,588,0,0,,Planicie_500_kVPlanicie_220_kV
Chilca_500_kV,ChilcaCTM_220_kV,cc1,AC,0,0.027066667,588,0,0,,Chilca_500_kVChilcaCTM_220_kV
Poroma_500_kV,Poroma_220_kV,cc1,AC,0,0.032444444,441,0,0,,Poroma_500_kVPoroma_220_kV
SanJose_500_kV,SanJose_220_kV,cc1,AC,0,0.028216667,588,0,0,,SanJose_500_kVSanJose_220_kV
Montalvo_500_kV,Montalvo_220_kV,cc1,AC,0,0.022533333,735,0,0,,Montalvo_500_kVMontalvo_220_kV
Yarabamba_500_kV,Yarabamba_220_kV,cc1,AC,0,0.0216,735,0,0,,Yarabamba_500_kVYarabamba_220_kV
Colcabamba_500_kV,Colcabamba_220_kV,cc1,AC,0,0.0216,735,0,0,,Colcabamba_500_kVColcabamba_220_kV
Yanango_500_kV,YanangoNueva_220_kV,cc1,AC,0,0.027166667,588,0,0,,Yanango_500_kVYanangoNueva_220_kV
Huanuco_500_kV,Huanuco_220_kV,cc1,AC,0,0.027166667,588,0,0,,Huanuco_500_kVHuanuco_220_kV
Zorritos_220_kV,Tumbes_220_kV,cc1,AC,0,0.028106973,148.96,0,0,,Zorritos_220_kVTumbes_220_kV
Tumbes_220_kV,Machala_220_kV,cc1,AC,0,0.027103152,148.96,0,0,,Tumbes_220_kVMachala_220_kV
Talara_220_kV,Parinhas_220_kV,cc1,AC,0,0.011165122,148.96,0,0,,Talara_220_kVParinhas_220_kV
Parinhas_220_kV,Zorritos_220_kV,cc1,AC,0,0.130335498,148.96,0,0,,Parinhas_220_kVZorritos_220_kV
Parinhas_220_kV,Tumbes_220_kV,cc1,AC,0,0.159059091,245,0,0,,Parinhas_220_kVTumbes_220_kV
Parinhas_220_kV,PiuraOeste_220_kV,cc1,AC,0,0.098822261,176.4,0,0,,Parinhas_220_kVPiuraOeste_220_kV
Parinhas_220_kV,Chira_220_kV,cc1,AC,0,0.065082645,176.4,0,0,,Parinhas_220_kVChira_220_kV
Chira_220_kV,PiuraOeste_220_kV,cc1,AC,0,0.030991736,176.4,0,0,,Chira_220_kVPiuraOeste_220_kV
PiuraOeste_220_kV,PiuraEste_220_kV,cc1,AC,0,0.028153636,441,0,0,,PiuraOeste_220_kVPiuraEste_220_kV
PiuraEste_220_kV,LaNinha_220_kV,cc1,AC,0,0.112515091,176.4,0,0,,PiuraEste_220_kVLaNinha_220_kV
LaNinha_220_kV,Chiclayo_220_kV,cc1,AC,0,0.125176574,176.4,0,0,,LaNinha_220_kVChiclayo_220_kV
LaNinha_220_kV,Felam_220_kV,cc1,AC,0,0.040301609,176.4,0,0,,LaNinha_220_kVFelam_220_kV
Felam_220_kV,Chiclayo_220_kV,cc1,AC,0,0.068028347,176.4,0,0,,Felam_220_kVChiclayo_220_kV
Chiclayo_220_kV,Reque_220_kV,cc1,AC,0,0.012590781,148.96,0,0,,Chiclayo_220_kVReque_220_kV
Reque_220_kV,Guadalupe_220_kV,cc1,AC,0,0.066335655,148.96,0,0,,Reque_220_kVGuadalupe_220_kV
Reque_220_kV,Carhuaquero_220_kV,cc1,AC,0,0.053669421,441,0,0,,Reque_220_kVCarhuaquero_220_kV
Chiclayo_220_kV,Carhuaquero_220_kV,cc1,AC,0,0.084028926,147,0,0,,Chiclayo_220_kVCarhuaquero_220_kV
Trujillo_220_kV,Guadalupe_220_kV,cc1,AC,0,0.113706353,148.96,0,0,,Trujillo_220_kVGuadalupe_220_kV
Trujillo_220_kV,TrujilloNueva_220_kV,cc1,AC,0,0.002305785,367.5,0,0,,Trujillo_220_kVTrujilloNueva_220_kV
Trujillo_220_kV,Cajamarca_220_kV,cc1,AC,0,0.141943804,245,0,0,,Trujillo_220_kVCajamarca_220_kV
Carhuaquero_220_kV,Cajamarca_220_kV,cc1,AC,0,0.076971921,294,0,0,,Carhuaquero_220_kVCajamarca_220_kV
Cajamarca_220_kV,Caclic_220_kV,cc1,AC,0,0.123927066,215.6,0,0,,Cajamarca_220_kVCaclic_220_kV
Caclic_220_kV,Moyobamba_220_kV,cc1,AC,0,0.109743802,215.6,0,0,,Caclic_220_kVMoyobamba_220_kV
Moyobamba_220_kV,Iquitos_220_kV,cc1,AC,0,0.15470426,147,0,0,,Moyobamba_220_kVIquitos_220_kV
CerroCorona_220_kV,Cajamarca_220_kV,cc1,AC,0,0.034516041,336.0871387,0,0,,CerroCorona_220_kVCajamarca_220_kV
Chimbote_220_kV,Trujillo_220_kV,cc1,AC,0,0.133446023,148.96,0,0,,Chimbote_220_kVTrujillo_220_kV
Chimbote_220_kV,Viru_220_kV,cc1,AC,0,0.074380165,148.96,0,0,,Chimbote_220_kVViru_220_kV
Viru_220_kV,Trujillo_220_kV,cc1,AC,0,0.058264463,148.96,0,0,,Viru_220_kVTrujillo_220_kV
Paramonga_220_kV,Chimbote_220_kV,cc1,AC,0,0.219342149,176.4,0,0,,Paramonga_220_kVChimbote_220_kV
Paramonga_220_kV,Huarmey_220_kV,cc1,AC,0,0.089256198,176.4,0,0,,Paramonga_220_kVHuarmey_220_kV
Huarmey_220_kV,Chimbote_220_kV,cc1,AC,0,0.13008595,176.4,0,0,,Huarmey_220_kVChimbote_220_kV
Conococha_220_kV,Paramonga_220_kV,cc1,AC,0,0.103838017,187.18,0,0,,Conococha_220_kVParamonga_220_kV
Cajamarca_220_kV,LaRamada_220_kV,cc1,AC,0,0.088285913,235.2,0,0,,Cajamarca_220_kVLaRamada_220_kV
LaRamada_220_kV,KimanAyllu_220_kV,cc1,AC,0,0.084476178,235.2,0,0,,LaRamada_220_kVKimanAyllu_220_kV
Conococha_220_kV,KimanAyllu_220_kV,cc1,AC,0,0.180201942,176.4,0,0,,Conococha_220_kVKimanAyllu_220_kV
Huacho_220_kV,MedioMundo_220_kV,cc1,AC,0,0.028719008,176.4,0,0,,Huacho_220_kVMedioMundo_220_kV
MedioMundo_220_kV,Paramonga_220_kV,cc1,AC,0,0.027479339,176.4,0,0,,MedioMundo_220_kVParamonga_220_kV
Zapallal_220_kV,Huacho_220_kV,cc1,AC,0,0.106519776,176.4,0,0,,Zapallal_220_kVHuacho_220_kV
Lomera_220_kV,Huacho_220_kV,cc1,AC,0,0.049712646,176.4,0,0,,Lomera_220_kVHuacho_220_kV
Zapallal_220_kV,Lomera_220_kV,cc1,AC,0,0.059031864,176.4,0,0,,Zapallal_220_kVLomera_220_kV
Carabayllo_220_kV,Zapallal_220_kV,cc1,AC,0,0.006277902,466.48,0,0,,Carabayllo_220_kVZapallal_220_kV
Carabayllo_220_kV,Mirador_220_kV,cc1,AC,0,0.013975483,383.18,0,0,,Carabayllo_220_kVMirador_220_kV
Mirador_220_kV,Malvinas_220_kV,cc1,AC,0,0.018127309,383.18,0,0,,Mirador_220_kVMalvinas_220_kV
Zapallal_220_kV,Ventanilla_220_kV,cc1,AC,0,0.018429545,264.6,0,0,,Zapallal_220_kVVentanilla_220_kV
Ventanilla_220_kV,Chillon_220_kV,cc1,AC,0,0.001296313,224.42,0,0,,Ventanilla_220_kVChillon_220_kV
Ventanilla_220_kV,Chavarria_220_kV,cc1,AC,0,0.010921445,185.22,0,0,,Ventanilla_220_kVChavarria_220_kV
Ventanilla_220_kV,Aeropuerto_220_kV,cc1,AC,0,0.007638451,185.22,0,0,,Ventanilla_220_kVAeropuerto_220_kV
Aeropuerto_220_kV,Chavarria_220_kV,cc1,AC,0,0.0049229,185.22,0,0,,Aeropuerto_220_kVChavarria_220_kV
Chavarria_220_kV,Barsi_220_kV,cc1,AC,0,0.009925413,321.44,0,0,,Chavarria_220_kVBarsi_220_kV
Chavarria_220_kV,SantaRosa_220_kV,cc1,AC,0,0.008701215,148.96,0,0,,Chavarria_220_kVSantaRosa_220_kV
SantaRosa_220_kV,Industriales_220_kV,cc1,AC,0,0.006989231,148.96,0,0,,SantaRosa_220_kVIndustriales_220_kV
Industriales_220_kV,SanJuan_220_kV,cc1,AC,0,0.020855785,148.96,0,0,,Industriales_220_kVSanJuan_220_kV
Planicie_220_kV,Industriales_220_kV,cc1,AC,0,0.01149229,392,0,0,,Planicie_220_kVIndustriales_220_kV
Planicie_220_kV,Manchay_220_kV,cc1,AC,0,0.001500814,321.44,0,0,,Planicie_220_kVManchay_220_kV
Planicie_220_kV,Pachacutec_220_kV,cc1,AC,0,0.021203409,321.44,0,0,,Planicie_220_kVPachacutec_220_kV
Industriales_220_kV,SanLuis_220_kV,cc1,AC,0,0.002660826,323.4,0,0,,Industriales_220_kVSanLuis_220_kV
Industriales_220_kV,LosSauces_220_kV,cc1,AC,0,0.001286546,304.78,0,0,,Industriales_220_kVLosSauces_220_kV
SanJuan_220_kV,Balnearios_220_kV,cc1,AC,0,0.009759525,485.1,0,0,,SanJuan_220_kVBalnearios_220_kV
SanJuan_220_kV,AltoPraderas_220_kV,cc1,AC,0,0.014215384,343.98,0,0,,SanJuan_220_kVAltoPraderas_220_kV
AltoPraderas_220_kV,ChilcaREP_220_kV,cc1,AC,0,0.02270615,343.98,0,0,,AltoPraderas_220_kVChilcaREP_220_kV
ChilcaCTM_220_kV,ChilcaREP_220_kV,cc1,AC,0,0.026872293,641.9,0,0,,ChilcaCTM_220_kVChilcaREP_220_kV
ChilcaREP_220_kV,Asia_220_kV,cc1,AC,0,0.029258264,148.96,0,0,,ChilcaREP_220_kVAsia_220_kV
Asia_220_kV,Cantera_220_kV,cc1,AC,0,0.055793182,148.96,0,0,,Asia_220_kVCantera_220_kV
Cantera_220_kV,Independencia_220_kV,cc1,AC,0,0.083229132,148.96,0,0,,Cantera_220_kVIndependencia_220_kV
ChilcaREP_220_kV,Desierto_220_kV,cc1,AC,0,0.106810711,148.96,0,0,,ChilcaREP_220_kVDesierto_220_kV
Desierto_220_kV,Chincha_220_kV,cc1,AC,0,0.017594008,148.96,0,0,,Desierto_220_kVChincha_220_kV
Chincha_220_kV,Independencia_220_kV,cc1,AC,0,0.041220248,148.96,0,0,,Chincha_220_kVIndependencia_220_kV
ChilcaREP_220_kV,Independencia_220_kV,cc1,AC,0,0.164317983,176.4,0,0,,ChilcaREP_220_kVIndependencia_220_kV
Independencia_220_kV,Aceros_220_kV,cc1,AC,0,0.024904959,450,0,0,,Independencia_220_kVAceros_220_kV
Independencia_220_kV,Ica_220_kV,cc1,AC,0,0.056065209,176.4,0,0,,Independencia_220_kVIca_220_kV
Ica_220_kV,Nazca_220_kV,cc1,AC,0,0.117438017,176.4,0,0,,Ica_220_kVNazca_220_kV
Nazca_220_kV,Marcona_220_kV,cc1,AC,0,0.061756198,176.4,0,0,,Nazca_220_kVMarcona_220_kV
Marcona_220_kV,Poroma_220_kV,cc1,AC,0,0.028043182,441,0,0,,Marcona_220_kVPoroma_220_kV
Mantaro_220_kV,Huancavelica_220_kV,cc1,AC,0,0.072787397,245,0,0,,Mantaro_220_kVHuancavelica_220_kV
Huancavelica_220_kV,Independencia_220_kV,cc1,AC,0,0.189002603,148.96,0,0,,Huancavelica_220_kVIndependencia_220_kV
Huancavelica_220_kV,Caudalosa_220_kV,cc1,AC,0,0.098553719,148.96,0,0,,Huancavelica_220_kVCaudalosa_220_kV
Caudalosa_220_kV,Independencia_220_kV,cc1,AC,0,0.099407851,148.96,0,0,,Caudalosa_220_kVIndependencia_220_kV
Huancavelica_220_kV,Mollepata_220_kV,cc1,AC,0,0.09654883,245,0,0,,Huancavelica_220_kVMollepata_220_kV
Mantaro_220_kV,Huayucachi_220_kV,cc1,AC,0,0.079121901,148.96,0,0,,Mantaro_220_kVHuayucachi_220_kV
Huayucachi_220_kV,Orcotuna_220_kV,cc1,AC,0,0.026998967,148.96,0,0,,Huayucachi_220_kVOrcotuna_220_kV
Orcotuna_220_kV,Huanza_220_kV,cc1,AC,0,0.154136364,148.96,0,0,,Orcotuna_220_kVHuanza_220_kV
Huanza_220_kV,Carabayllo_220_kV,cc1,AC,0,0.076088843,245,0,0,,Huanza_220_kVCarabayllo_220_kV
Mantaro_220_kV,Pomacocha_220_kV,cc1,AC,0,0.20049407,148.96,0,0,,Mantaro_220_kVPomacocha_220_kV
Mantaro_220_kV,Pachachaca_220_kV,cc1,AC,0,0.20222638,148.96,0,0,,Mantaro_220_kVPachachaca_220_kV
Pomacocha_220_kV,SanJuan_220_kV,cc1,AC,0,0.113580785,245,0,0,,Pomacocha_220_kVSanJuan_220_kV
Pachachaca_220_kV,Pomacocha_220_kV,cc1,AC,0,0.013995341,245,0,0,,Pachachaca_220_kVPomacocha_220_kV
Pachachaca_220_kV,Callahuanca_220_kV,cc1,AC,0,0.073360397,245,0,0,,Pachachaca_220_kVCallahuanca_220_kV
Matucana_220_kV,Callahuanca_220_kV,cc1,AC,0,0.023290289,224.42,0,0,,Matucana_220_kVCallahuanca_220_kV
Callahuanca_220_kV,Carapongo_220_kV,cc1,AC,0,0.031823678,333.2,0,0,,Callahuanca_220_kVCarapongo_220_kV
Carapongo_220_kV,Cajamarquilla_220_kV,cc1,AC,0,0.005543479,333.2,0,0,,Carapongo_220_kVCajamarquilla_220_kV
Cajamarquilla_220_kV,Chavarria_220_kV,cc1,AC,0,0.021989135,333.2,0,0,,Cajamarquilla_220_kVChavarria_220_kV
Huinco_220_kV,Carapongo_220_kV,cc1,AC,0,0.042562066,336.14,0,0,,Huinco_220_kVCarapongo_220_kV
Carapongo_220_kV,SantaRosa_220_kV,cc1,AC,0,0.021800083,336.14,0,0,,Carapongo_220_kVSantaRosa_220_kV
Carapongo_220_kV,SanMiguel_220_kV,cc1,AC,0,0.005848926,321.44,0,0,,Carapongo_220_kVSanMiguel_220_kV
Yanango_220_kV,Pachachaca_220_kV,cc1,AC,0,0.096049587,197.5,0,0,,Yanango_220_kVPachachaca_220_kV
Yanango_220_kV,YanangoNueva_220_kV,cc1,AC,0,0.008285021,441,0,0,,Yanango_220_kVYanangoNueva_220_kV
Pomacocha_220_kV,Carhuamayo_220_kV,cc1,AC,0,0.112504545,176.4,0,0,,Pomacocha_220_kVCarhuamayo_220_kV
Oroya_220_kV,Pachachaca_220_kV,cc1,AC,0,0.022738314,245,0,0,,Oroya_220_kVPachachaca_220_kV
Oroya_220_kV,Carhuamayo_220_kV,cc1,AC,0,0.077911523,245,0,0,,Oroya_220_kVCarhuamayo_220_kV
Yuncan_220_kV,Carhuamayo_220_kV,cc1,AC,0,0.055920455,254.8,0,0,,Yuncan_220_kVCarhuamayo_220_kV
Paragsha_220_kV,Carhuamayo_220_kV,cc1,AC,0,0.043547898,147,0,0,,Paragsha_220_kVCarhuamayo_220_kV
Paragsha_220_kV,Francoise_220_kV,cc1,AC,0,0.046232541,147,0,0,,Paragsha_220_kVFrancoise_220_kV
Paragsha_220_kV,Vizcarra_220_kV,cc1,AC,0,0.127857453,245,0,0,,Paragsha_220_kVVizcarra_220_kV
Vizcarra_220_kV,Conococha_220_kV,cc1,AC,0,0.053899393,187.18,0,0,,Vizcarra_220_kVConococha_220_kV
Paragsha_220_kV,Conococha_220_kV,cc1,AC,0,0.14332339,176.4,0,0,,Paragsha_220_kVConococha_220_kV
Vizcarra_220_kV,Antamina_220_kV,cc1,AC,0,0.054888446,186.2,0,0,,Vizcarra_220_kVAntamina_220_kV
Vizcarra_220_kV,Yungas_220_kV,cc1,AC,0,0.010539256,176.4,0,0,,Vizcarra_220_kVYungas_220_kV
Yungas_220_kV,Antamina_220_kV,cc1,AC,0,0.04434919,176.4,0,0,,Yungas_220_kVAntamina_220_kV
Chaglla_220_kV,Huanuco_220_kV,cc1,AC,0,0.04376769,237.16,0,0,,Chaglla_220_kVHuanuco_220_kV
Huanuco_220_kV,Paragsha_220_kV,cc1,AC,0,0.081282425,237.16,0,0,,Huanuco_220_kVParagsha_220_kV
TingoMaria_220_kV,Huanuco_220_kV,cc1,AC,0,0.109201033,187.18,0,0,,TingoMaria_220_kVHuanuco_220_kV
Huanuco_220_kV,Vizcarra_220_kV,cc1,AC,0,0.106467355,187.18,0,0,,Huanuco_220_kVVizcarra_220_kV
Huanuco_220_kV,Yungas_220_kV,cc1,AC,0,0.105382231,441,0,0,,Huanuco_220_kVYungas_220_kV
TingoMaria_220_kV,TingoMariaN_220_kV,cc1,AC,0,0.004695248,441,0,0,,TingoMaria_220_kVTingoMariaN_220_kV
TingoMariaN_220_kV,Chaglla_220_kV,cc1,AC,0,0.035370868,441,0,0,,TingoMariaN_220_kVChaglla_220_kV
Aguaytia_220_kV,TingoMaria_220_kV,cc1,AC,0,0.076621009,187.18,0,0,,Aguaytia_220_kVTingoMaria_220_kV
Aguaytia_220_kV,TingoMariaN_220_kV,cc1,AC,0,0.07644594,441,0,0,,Aguaytia_220_kVTingoMariaN_220_kV
Mantaro_220_kV,Colcabamba_220_kV,cc1,AC,0,0.03290317,980,0,0,,Mantaro_220_kVColcabamba_220_kV
Colcabamba_220_kV,CAguila_220_kV,cc1,AC,0,0.015668771,602.7,0,0,,Colcabamba_220_kVCAguila_220_kV
Mantaro_220_kV,Cotaruse_220_kV,cc1,AC,0,0.237020856,247.45,0,0,,Mantaro_220_kVCotaruse_220_kV
Cotaruse_220_kV,Socabaya_220_kV,cc1,AC,0,0.091311566,247.45,0,0,,Cotaruse_220_kVSocabaya_220_kV
CerroVerde_220_kV,Socabaya_220_kV,cc1,AC,0,0.009619692,282.24,0,0,,CerroVerde_220_kVSocabaya_220_kV
CerroVerde_220_kV,SanLuisCV_220_kV,cc1,AC,0,0.015130285,588,0,0,,CerroVerde_220_kVSanLuisCV_220_kV
Socabaya_220_kV,Yarabamba_220_kV,cc1,AC,0,0.002028657,588,0,0,,Socabaya_220_kVYarabamba_220_kV
SanJose_220_kV,SanLuisCV_220_kV,cc1,AC,0,0.029724117,588,0,0,,SanJose_220_kVSanLuisCV_220_kV
Socabaya_220_kV,Moquegua_220_kV,cc1,AC,0,0.108270528,147,0,0,,Socabaya_220_kVMoquegua_220_kV
Moquegua_220_kV,Montalvo_220_kV,cc1,AC,0,0.00402062,686,0,0,,Moquegua_220_kVMontalvo_220_kV
Moquegua_220_kV,Ilo2_220_kV,cc1,AC,0,0.058308778,392,0,0,,Moquegua_220_kVIlo2_220_kV
Ilo3_220_kV,Ilo2_220_kV,cc1,AC,0,0.022132386,392,0,0,,Ilo3_220_kVIlo2_220_kV
Moquegua_220_kV,Ilo3_220_kV,cc1,AC,0,0.036176392,392,0,0,,Moquegua_220_kVIlo3_220_kV
Moquegua_220_kV,TiaMaria_220_kV,cc1,AC,0,0.101974388,294,0,0,,Moquegua_220_kVTiaMaria_220_kV
Ilo3_220_kV,TiaMaria_220_kV,cc1,AC,0,0.119208645,294,0,0,,Ilo3_220_kVTiaMaria_220_kV
Moquegua_220_kV,LosHeroes_220_kV,cc1,AC,0,0.131407049,147,0,0,,Moquegua_220_kVLosHeroes_220_kV
Montalvo_220_kV,LosHeroes_220_kV,cc1,AC,0,0.136131488,245,0,0,,Montalvo_220_kVLosHeroes_220_kV
Puno_220_kV,Moquegua_220_kV,cc1,AC,0,0.201874041,147,0,0,,Puno_220_kVMoquegua_220_kV
Juliaca_220_kV,Puno_220_kV,cc1,AC,0,0.02931195,441,0,0,,Juliaca_220_kVPuno_220_kV
Azangaro_220_kV,Juliaca_220_kV,cc1,AC,0,0.06179276,441,0,0,,Azangaro_220_kVJuliaca_220_kV
Tintaya_220_kV,Azangaro_220_kV,cc1,AC,0,0.129163636,441,0,0,,Tintaya_220_kVAzangaro_220_kV
Tintaya_220_kV,Socabaya_220_kV,cc1,AC,0,0.210476912,196,0,0,,Tintaya_220_kVSocabaya_220_kV
Tintaya_220_kV,Constancia_220_kV,cc1,AC,0,0.072622492,147,0,0,,Tintaya_220_kVConstancia_220_kV
Cotaruse_220_kV,LasBambas_220_kV,cc1,AC,0,0.133295207,147,0,0,,Cotaruse_220_kVLasBambas_220_kV
Onocora_220_kV,Tintaya_220_kV,cc1,AC,0,0.050868057,294,0,0,,Onocora_220_kVTintaya_220_kV
Kayra_220_kV,Onocora_220_kV,cc1,AC,0,0.086451198,294,0,0,,Kayra_220_kVOnocora_220_kV
Suriray_220_kV,Kayra_220_kV,cc1,AC,0,0.112115446,294,0,0,,Suriray_220_kVKayra_220_kV
Suriray_220_kV,Abancay_220_kV,cc1,AC,0,0.061168376,245,0,0,,Suriray_220_kVAbancay_220_kV
Abancay_220_kV,Cotaruse_220_kV,cc1,AC,0,0.136865558,245,0,0,,Abancay_220_kVCotaruse_220_kV
Suriray_220_kV,Cotaruse_220_kV,cc1,AC,0,0.198349778,245,0,0,,Suriray_220_kVCotaruse_220_kV
Carhuaquero_220_kV,Carhuaquero_138_kV,cc1,AC,0,0.342857143,9999,0,0,,Carhuaquero_220_kVCarhuaquero_138_kV
Guadalupe_220_kV,Guadalupe_60_kV,cc1,AC,0,0.082903161,9999,0,0,,Guadalupe_220_kVGuadalupe_60_kV
Chimbote_220_kV,Chimbote_138_kV,cc1,AC,0,0.044868229,235.2,0,0,,Chimbote_220_kVChimbote_138_kV
KimanAyllu_220_kV,KimanAyllu_138_kV,cc1,AC,0,0.12533,98,0,0,,KimanAyllu_220_kVKimanAyllu_138_kV
Paramonga_220_kV,SEPANU_138_kV,cc1,AC,0,0.179846154,9999,0,0,,Paramonga_220_kVSEPANU_138_kV
Lomera_220_kV,Lomera_60_kV,cc1,AC,0,0.104,9999,0,0,,Lomera_220_kVLomera_60_kV
