,,,Area1
2030,sc01,01-01 00:00:00+01:00,13.01333333
2030,sc01,01-01 01:00:00+01:00,12.45989194
2030,sc01,01-01 02:00:00+01:00,11.94768342
2030,sc01,01-01 03:00:00+01:00,11.59142945
2030,sc01,01-01 04:00:00+01:00,11.31442929
2030,sc01,01-01 05:00:00+01:00,11.25354179
2030,sc01,01-01 06:00:00+01:00,11.23317834
2030,sc01,01-01 07:00:00+01:00,11.35444966
2030,sc01,01-01 08:00:00+01:00,11.68667189
2030,sc01,01-01 09:00:00+01:00,12.31265826
2030,sc01,01-01 10:00:00+01:00,12.78233004
2030,sc01,01-01 11:00:00+01:00,13.12905471
2030,sc01,01-01 12:00:00+01:00,13.09274036
2030,sc01,01-01 13:00:00+01:00,13.08513406
2030,sc01,01-01 14:00:00+01:00,13.29439295
2030,sc01,01-01 15:00:00+01:00,13.90295448
2030,sc01,01-01 16:00:00+01:00,14.63032922
2030,sc01,01-01 17:00:00+01:00,15.03151714
2030,sc01,01-01 18:00:00+01:00,14.9704986
2030,sc01,01-01 19:00:00+01:00,14.75430254
2030,sc01,01-01 20:00:00+01:00,14.45729467
2030,sc01,01-01 21:00:00+01:00,14.07337142
2030,sc01,01-01 22:00:00+01:00,13.42632203
2030,sc01,01-01 23:00:00+01:00,12.70600326
2030,sc01,01-02 00:00:00+01:00,12.31279625
2030,sc01,01-02 01:00:00+01:00,12.02063378
2030,sc01,01-02 02:00:00+01:00,11.8151696
2030,sc01,01-02 03:00:00+01:00,11.93179308
2030,sc01,01-02 04:00:00+01:00,12.56177305
2030,sc01,01-02 05:00:00+01:00,13.72071725
2030,sc01,01-02 06:00:00+01:00,14.90568436
2030,sc01,01-02 07:00:00+01:00,15.86979467
2030,sc01,01-02 08:00:00+01:00,16.55058911
2030,sc01,01-02 09:00:00+01:00,17.09148317
2030,sc01,01-02 10:00:00+01:00,17.30735592
2030,sc01,01-02 11:00:00+01:00,17.29025274
2030,sc01,01-02 12:00:00+01:00,17.19361513
2030,sc01,01-02 13:00:00+01:00,17.06997737
2030,sc01,01-02 14:00:00+01:00,17.208653
2030,sc01,01-02 15:00:00+01:00,17.71285082
2030,sc01,01-02 16:00:00+01:00,18.29209773
2030,sc01,01-02 17:00:00+01:00,18.46455283
2030,sc01,01-02 18:00:00+01:00,17.99776042
2030,sc01,01-02 19:00:00+01:00,17.39179995
2030,sc01,01-02 20:00:00+01:00,16.68561267
2030,sc01,01-02 21:00:00+01:00,15.9669558
2030,sc01,01-02 22:00:00+01:00,15.10082865
2030,sc01,01-02 23:00:00+01:00,14.27747782
2030,sc01,01-03 00:00:00+01:00,13.80133877
2030,sc01,01-03 01:00:00+01:00,13.45096235
2030,sc01,01-03 02:00:00+01:00,13.23239818
2030,sc01,01-03 03:00:00+01:00,13.2963368
2030,sc01,01-03 04:00:00+01:00,13.84033824
2030,sc01,01-03 05:00:00+01:00,15.00689469
2030,sc01,01-03 06:00:00+01:00,16.19690212
2030,sc01,01-03 07:00:00+01:00,17.19753923
2030,sc01,01-03 08:00:00+01:00,17.75820934
2030,sc01,01-03 09:00:00+01:00,18.10042119
2030,sc01,01-03 10:00:00+01:00,18.14768485
2030,sc01,01-03 11:00:00+01:00,17.99832299
2030,sc01,01-03 12:00:00+01:00,17.85967548
2030,sc01,01-03 13:00:00+01:00,17.7231952
2030,sc01,01-03 14:00:00+01:00,17.86216073
2030,sc01,01-03 15:00:00+01:00,18.33794337
2030,sc01,01-03 16:00:00+01:00,18.91402365
2030,sc01,01-03 17:00:00+01:00,19.06731789
2030,sc01,01-03 18:00:00+01:00,18.54943799
2030,sc01,01-03 19:00:00+01:00,17.81756565
2030,sc01,01-03 20:00:00+01:00,17.05911907
2030,sc01,01-03 21:00:00+01:00,16.30524984
2030,sc01,01-03 22:00:00+01:00,15.38186742
2030,sc01,01-03 23:00:00+01:00,14.51557745
2030,sc01,01-04 00:00:00+01:00,14.01227346
2030,sc01,01-04 01:00:00+01:00,13.63764688
2030,sc01,01-04 02:00:00+01:00,13.38666699
2030,sc01,01-04 03:00:00+01:00,13.44026322
2030,sc01,01-04 04:00:00+01:00,13.98425208
2030,sc01,01-04 05:00:00+01:00,15.13117544
2030,sc01,01-04 06:00:00+01:00,16.38130725
2030,sc01,01-04 07:00:00+01:00,17.41822197
2030,sc01,01-04 08:00:00+01:00,17.9390931
2030,sc01,01-04 09:00:00+01:00,18.24389722
2030,sc01,01-04 10:00:00+01:00,18.27480625
2030,sc01,01-04 11:00:00+01:00,18.09485405
2030,sc01,01-04 12:00:00+01:00,17.97474163
2030,sc01,01-04 13:00:00+01:00,17.8573739
2030,sc01,01-04 14:00:00+01:00,17.97204526
2030,sc01,01-04 15:00:00+01:00,18.38450513
2030,sc01,01-04 16:00:00+01:00,18.92539985
2030,sc01,01-04 17:00:00+01:00,19.08076766
2030,sc01,01-04 18:00:00+01:00,18.52011674
2030,sc01,01-04 19:00:00+01:00,17.81014698
2030,sc01,01-04 20:00:00+01:00,17.04108963
2030,sc01,01-04 21:00:00+01:00,16.3002082
2030,sc01,01-04 22:00:00+01:00,15.4263619
2030,sc01,01-04 23:00:00+01:00,14.54479909
2030,sc01,01-05 00:00:00+01:00,14.06092435
2030,sc01,01-05 01:00:00+01:00,13.69042804
2030,sc01,01-05 02:00:00+01:00,13.44926934
2030,sc01,01-05 03:00:00+01:00,13.49808436
2030,sc01,01-05 04:00:00+01:00,13.98846806
2030,sc01,01-05 05:00:00+01:00,15.16021408
2030,sc01,01-05 06:00:00+01:00,16.37502332
2030,sc01,01-05 07:00:00+01:00,17.40452434
2030,sc01,01-05 08:00:00+01:00,17.90062741
2030,sc01,01-05 09:00:00+01:00,18.19633905
2030,sc01,01-05 10:00:00+01:00,18.19941731
2030,sc01,01-05 11:00:00+01:00,17.95209579
2030,sc01,01-05 12:00:00+01:00,17.73743158
2030,sc01,01-05 13:00:00+01:00,17.52604517
