,,,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1
2030,sc01,01-01 00:00:00+01:00,,,,,,,,,,,,,,157.075,0.000001,
2030,sc01,01-01 01:00:00+01:00,,,,,,,,,,,,,,144.7056,0.000001,
2030,sc01,01-01 02:00:00+01:00,,,,,,,,,,,,,,134.218275,0.000001,
2030,sc01,01-01 03:00:00+01:00,,,,,,,,,,,,,,128.7664,0.000001,
2030,sc01,01-01 04:00:00+01:00,,,,,,,,,,,,,,120.8925,0.000001,
2030,sc01,01-01 05:00:00+01:00,,,,,,,,,,,,,,112.445125,0.000001,
2030,sc01,01-01 06:00:00+01:00,,,,,,,,,,,,,,106.736175,0.000001,
2030,sc01,01-01 07:00:00+01:00,,,,,,,,,,,,,,96.856325,0.04755,
2030,sc01,01-01 08:00:00+01:00,,,,,,,,,,,,,,87.694875,0.8972,
2030,sc01,01-01 09:00:00+01:00,,,,,,,,,,,,,,73.9853,19.620825,
2030,sc01,01-01 10:00:00+01:00,,,,,,,,,,,,,,65.00585,49.692825,
2030,sc01,01-01 11:00:00+01:00,,,,,,,,,,,,,,67.159275,68.119825,
2030,sc01,01-01 12:00:00+01:00,,,,,,,,,,,,,,70.632225,76.5494,
2030,sc01,01-01 13:00:00+01:00,,,,,,,,,,,,,,71.645425,77.670475,
2030,sc01,01-01 14:00:00+01:00,,,,,,,,,,,,,,72.1197,73.54155,
2030,sc01,01-01 15:00:00+01:00,,,,,,,,,,,,,,66.24845,61.90465,
2030,sc01,01-01 16:00:00+01:00,,,,,,,,,,,,,,62.664275,38.19285,
2030,sc01,01-01 17:00:00+01:00,,,,,,,,,,,,,,66.448,8.62515,
2030,sc01,01-01 18:00:00+01:00,,,,,,,,,,,,,,68.008625,0.040125,
2030,sc01,01-01 19:00:00+01:00,,,,,,,,,,,,,,71.664325,0.000001,
2030,sc01,01-01 20:00:00+01:00,,,,,,,,,,,,,,76.49085,0.000001,
2030,sc01,01-01 21:00:00+01:00,,,,,,,,,,,,,,82.8753,0.000001,
2030,sc01,01-01 22:00:00+01:00,,,,,,,,,,,,,,86.070825,0.000001,
2030,sc01,01-01 23:00:00+01:00,,,,,,,,,,,,,,86.37745,0.000001,
2030,sc01,01-02 00:00:00+01:00,,,,,,,,,,,,,,82.447875,0.000001,
2030,sc01,01-02 01:00:00+01:00,,,,,,,,,,,,,,75.531725,0.000001,
2030,sc01,01-02 02:00:00+01:00,,,,,,,,,,,,,,73.82505,0.000001,
2030,sc01,01-02 03:00:00+01:00,,,,,,,,,,,,,,69.21735,0.000001,
2030,sc01,01-02 04:00:00+01:00,,,,,,,,,,,,,,71.969075,0.000001,
2030,sc01,01-02 05:00:00+01:00,,,,,,,,,,,,,,76.3894,0.000001,
2030,sc01,01-02 06:00:00+01:00,,,,,,,,,,,,,,77.010675,0.000001,
2030,sc01,01-02 07:00:00+01:00,,,,,,,,,,,,,,80.64685,0.048825,
2030,sc01,01-02 08:00:00+01:00,,,,,,,,,,,,,,75.846275,1.09305,
2030,sc01,01-02 09:00:00+01:00,,,,,,,,,,,,,,69.022375,21.06315,
2030,sc01,01-02 10:00:00+01:00,,,,,,,,,,,,,,55.480775,50.20345,
