Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-01T03:00:00+01:00,-115.55820411963009
sc01,y2030,2030-01-01T07:00:00+01:00,-187.87206146662982
sc01,y2030,2030-01-01T11:00:00+01:00,-98.71363995463003
sc01,y2030,2030-01-01T15:00:00+01:00,-33.75413457937998
sc01,y2030,2030-01-01T19:00:00+01:00,78.96009636512031
sc01,y2030,2030-01-01T23:00:00+01:00,-9.608455934879657
sc01,y2030,2030-01-02T03:00:00+01:00,-133.03218070687979
sc01,y2030,2030-01-02T07:00:00+01:00,35.29738060112004
sc01,y2030,2030-01-02T11:00:00+01:00,244.95447338637018
sc01,y2030,2030-01-02T15:00:00+01:00,262.68101175062
sc01,y2030,2030-01-02T19:00:00+01:00,318.2019105898703
sc01,y2030,2030-01-02T23:00:00+01:00,128.5393607793701
sc01,y2030,2030-01-03T03:00:00+01:00,-26.14511743037974
sc01,y2030,2030-01-03T07:00:00+01:00,132.49184850687038
sc01,y2030,2030-01-03T11:00:00+01:00,315.5474252328704
sc01,y2030,2030-01-03T15:00:00+01:00,311.3912326688703
sc01,y2030,2030-01-03T19:00:00+01:00,359.4919276076207
sc01,y2030,2030-01-03T23:00:00+01:00,151.61946393362064
sc01,y2030,2030-01-04T03:00:00+01:00,-13.09859647837925
sc01,y2030,2030-01-04T07:00:00+01:00,145.1158945528707
sc01,y2030,2030-01-04T11:00:00+01:00,325.82265490737086
sc01,y2030,2030-01-04T15:00:00+01:00,318.9979415828709
sc01,y2030,2030-01-04T19:00:00+01:00,359.26854109812143
sc01,y2030,2030-01-04T23:00:00+01:00,152.56905855387117
sc01,y2030,2030-01-05T03:00:00+01:00,-8.938805069628415
sc01,y2030,2030-01-05T07:00:00+01:00,145.3647643248712
sc01,y2030,2030-01-05T11:00:00+01:00,320.11944739937144
sc01,y2030,2030-01-05T15:00:00+01:00,293.9969385738714
sc01,y2030,2030-01-05T19:00:00+01:00,320.67191368587123
sc01,y2030,2030-01-05T23:00:00+01:00,122.87175663287167
sc01,y2030,2030-01-06T03:00:00+01:00,-50.1041172633785
sc01,y2030,2030-01-06T07:00:00+01:00,-43.90413194462849
sc01,y2030,2030-01-06T11:00:00+01:00,106.87448171487131
sc01,y2030,2030-01-06T15:00:00+01:00,107.92811275737154
sc01,y2030,2030-01-06T19:00:00+01:00,186.19612598387107
sc01,y2030,2030-01-06T23:00:00+01:00,49.09684002412132
sc01,y2030,2030-01-07T03:00:00+01:00,-106.62344899212894
sc01,y2030,2030-01-07T07:00:00+01:00,-117.18211556112885
sc01,y2030,2030-01-07T11:00:00+01:00,28.550507035871078
sc01,y2030,2030-01-07T15:00:00+01:00,54.53493954987084
sc01,y2030,2030-01-07T19:00:00+01:00,168.9266980678708
sc01,y2030,2030-01-07T23:00:00+01:00,44.510422656121136
sc01,y2030,2030-01-08T03:00:00+01:00,-81.42677016337893
sc01,y2030,2030-01-08T07:00:00+01:00,157.8784449388711
sc01,y2030,2030-01-08T11:00:00+01:00,341.72919030437083
sc01,y2030,2030-01-08T15:00:00+01:00,336.82042533187087
sc01,y2030,2030-01-08T19:00:00+01:00,365.06161320787123
sc01,y2030,2030-01-08T23:00:00+01:00,132.81617537162128
sc01,y2030,2030-01-09T03:00:00+01:00,-26.224564170878693
sc01,y2030,2030-01-09T07:00:00+01:00,178.92492509787144
sc01,y2030,2030-01-09T11:00:00+01:00,334.88059461537114
sc01,y2030,2030-01-09T15:00:00+01:00,318.0672347073712
sc01,y2030,2030-01-09T19:00:00+01:00,361.24684800937166
sc01,y2030,2030-01-09T23:00:00+01:00,132.46993306012132
sc01,y2030,2030-01-10T03:00:00+01:00,-28.710346186128845
sc01,y2030,2030-01-10T07:00:00+01:00,173.07012723962112
sc01,y2030,2030-01-10T11:00:00+01:00,324.1800854266212
sc01,y2030,2030-01-10T15:00:00+01:00,312.6872246668713
sc01,y2030,2030-01-10T19:00:00+01:00,368.6919394943709
sc01,y2030,2030-01-10T23:00:00+01:00,150.96922801812093
sc01,y2030,2030-01-11T03:00:00+01:00,-4.415875602878941
sc01,y2030,2030-01-11T07:00:00+01:00,198.1786353403711
sc01,y2030,2030-01-11T11:00:00+01:00,357.01068136737103
sc01,y2030,2030-01-11T15:00:00+01:00,349.33196524787127
sc01,y2030,2030-01-11T19:00:00+01:00,382.45525582037135
sc01,y2030,2030-01-11T23:00:00+01:00,158.5089681843715
sc01,y2030,2030-01-12T03:00:00+01:00,-0.4113602986285514
sc01,y2030,2030-01-12T07:00:00+01:00,200.5984846888714
sc01,y2030,2030-01-12T11:00:00+01:00,344.6858201756213
sc01,y2030,2030-01-12T15:00:00+01:00,310.39488466287185
sc01,y2030,2030-01-12T19:00:00+01:00,342.20762667062127
sc01,y2030,2030-01-12T23:00:00+01:00,130.84381252787148
sc01,y2030,2030-01-13T03:00:00+01:00,-38.24611431287872
sc01,y2030,2030-01-13T07:00:00+01:00,9.763487387871237
sc01,y2030,2030-01-13T11:00:00+01:00,153.77800908762129
sc01,y2030,2030-01-13T15:00:00+01:00,120.0754224938712
sc01,y2030,2030-01-13T19:00:00+01:00,196.23776834437126
sc01,y2030,2030-01-13T23:00:00+01:00,49.18729406712123
