Scenario,Period,LoadLevel,Coal,ESS,Gas,Nuclear,Oil,RES
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.075940992376,0.0,0.0,0.9647652750000001
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.071120068551,0.0,0.0,0.4369301250000001
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.0786093759675,0.0,0.0,0.43217597500000005
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.08294000965500002,0.0,0.0,0.570311875
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,0.09045429171750002,0.0,0.0,0.31564335000000004
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,0.08454972156750004,0.0,0.0,0.331814425
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,0.07632147323000005,0.0,0.0,0.301022
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,0.08961087899800003,0.0,0.0,0.306016
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,0.10358801851050002,0.0,0.0,0.3839700250000001
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,0.10476978773550003,0.0,0.0,0.41163122500000005
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,0.12589555007761025,0.0,0.0,0.21968300000000007
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,0.0958270110105,0.0,0.0,0.18611020000000006
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,0.08551471246049998,0.0,0.0,0.21255967500000003
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,0.09609051018549997,0.0,0.0,0.2929724249999999
sc01,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,0.10829421529799996,0.0,0.0,0.4790886
sc01,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,0.10801713581049997,0.0,0.0,0.6164951500000002
sc01,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,0.11122384881049999,0.0,0.0,0.4958987750000001
sc01,y2030,2030-01-03T23:00:00+01:00,0.0,0.0,0.09736568456049997,0.0,0.0,0.509660775
sc01,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,0.08638448052299999,0.0,0.0,0.5083741999999998
sc01,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,0.0969321132605,0.0,0.0,0.5166527999999998
sc01,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,0.1089792306105,0.0,0.0,0.5881941999999999
sc01,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,0.10852424973550001,0.0,0.0,0.6478264999999999
sc01,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,0.11310459124761635,0.0,0.0,0.3965721749999999
sc01,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,0.0974289908605,0.0,0.0,0.28434529999999975
sc01,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,0.08666179994800002,0.0,0.0,0.12422779999999976
sc01,y2030,2030-01-05T07:00:00+01:00,0.0,0.0,0.0969487045855,0.0,0.0,0.1163150249999998
sc01,y2030,2030-01-05T11:00:00+01:00,0.0,0.0,0.10859901678549999,0.0,0.0,0.27042120000000003
sc01,y2030,2030-01-05T15:00:00+01:00,0.0,0.0,0.10685751618550003,0.0,0.0,0.38580954999999995
sc01,y2030,2030-01-05T19:00:00+01:00,0.0,0.0,0.15808191449761777,0.0,0.0,0.19736652499999993
sc01,y2030,2030-01-05T23:00:00+01:00,0.0,0.0,0.09544917072300002,0.0,0.0,0.1846536499999998
sc01,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,0.08391744581050002,0.0,0.0,0.27148247499999983
