,,,Area1
sc2015,y2030,2030-01-01T00:00:00+01:00,381.6457181
sc2015,y2030,2030-01-01T01:00:00+01:00,367.4459163
sc2015,y2030,2030-01-01T02:00:00+01:00,342.2982231
sc2015,y2030,2030-01-01T03:00:00+01:00,319.8689426
sc2015,y2030,2030-01-01T04:00:00+01:00,303.571364
sc2015,y2030,2030-01-01T05:00:00+01:00,297.6815691
sc2015,y2030,2030-01-01T06:00:00+01:00,298.9089375
sc2015,y2030,2030-01-01T07:00:00+01:00,304.2052403
sc2015,y2030,2030-01-01T08:00:00+01:00,300.9465106
sc2015,y2030,2030-01-01T09:00:00+01:00,306.5211894
sc2015,y2030,2030-01-01T10:00:00+01:00,329.2447251
sc2015,y2030,2030-01-01T11:00:00+01:00,342.2912456
sc2015,y2030,2030-01-01T12:00:00+01:00,346.0405062
sc2015,y2030,2030-01-01T13:00:00+01:00,354.1063196
sc2015,y2030,2030-01-01T14:00:00+01:00,353.5584741
sc2015,y2030,2030-01-01T15:00:00+01:00,332.67227
sc2015,y2030,2030-01-01T16:00:00+01:00,323.2649591
sc2015,y2030,2030-01-01T17:00:00+01:00,334.927199
sc2015,y2030,2030-01-01T18:00:00+01:00,388.0752276
sc2015,y2030,2030-01-01T19:00:00+01:00,418.9688854
sc2015,y2030,2030-01-01T20:00:00+01:00,434.1318028
sc2015,y2030,2030-01-01T21:00:00+01:00,444.5434044
sc2015,y2030,2030-01-01T22:00:00+01:00,438.2680254
sc2015,y2030,2030-01-01T23:00:00+01:00,405.2481044
sc2015,y2030,2030-01-02T00:00:00+01:00,367.4654959
sc2015,y2030,2030-01-02T01:00:00+01:00,329.3122072
sc2015,y2030,2030-01-02T02:00:00+01:00,307.3573897
sc2015,y2030,2030-01-02T03:00:00+01:00,295.2384954
sc2015,y2030,2030-01-02T04:00:00+01:00,290.9413485
sc2015,y2030,2030-01-02T05:00:00+01:00,298.6388709
sc2015,y2030,2030-01-02T06:00:00+01:00,327.822199
sc2015,y2030,2030-01-02T07:00:00+01:00,370.4754535
sc2015,y2030,2030-01-02T08:00:00+01:00,416.180469
sc2015,y2030,2030-01-02T09:00:00+01:00,458.966146
sc2015,y2030,2030-01-02T10:00:00+01:00,485.6749794
sc2015,y2030,2030-01-02T11:00:00+01:00,479.277381
sc2015,y2030,2030-01-02T12:00:00+01:00,464.2322731
sc2015,y2030,2030-01-02T13:00:00+01:00,464.6506412
sc2015,y2030,2030-01-02T14:00:00+01:00,453.7872901
sc2015,y2030,2030-01-02T15:00:00+01:00,434.4048297
sc2015,y2030,2030-01-02T16:00:00+01:00,426.8441654
sc2015,y2030,2030-01-02T17:00:00+01:00,441.0931459
sc2015,y2030,2030-01-02T18:00:00+01:00,487.8797547
sc2015,y2030,2030-01-02T19:00:00+01:00,505.8783122
sc2015,y2030,2030-01-02T20:00:00+01:00,510.1515256
sc2015,y2030,2030-01-02T21:00:00+01:00,510.4567497
sc2015,y2030,2030-01-02T22:00:00+01:00,488.9106432
sc2015,y2030,2030-01-02T23:00:00+01:00,451.6080406
sc2015,y2030,2030-01-03T00:00:00+01:00,411.0287672
sc2015,y2030,2030-01-03T01:00:00+01:00,373.142789
sc2015,y2030,2030-01-03T02:00:00+01:00,342.6073569
sc2015,y2030,2030-01-03T03:00:00+01:00,328.0747328
sc2015,y2030,2030-01-03T04:00:00+01:00,321.1277066
sc2015,y2030,2030-01-03T05:00:00+01:00,322.6784597
sc2015,y2030,2030-01-03T06:00:00+01:00,332.4568946
sc2015,y2030,2030-01-03T07:00:00+01:00,354.7427225
sc2015,y2030,2030-01-03T08:00:00+01:00,376.4780147
sc2015,y2030,2030-01-03T09:00:00+01:00,412.1026328
sc2015,y2030,2030-01-03T10:00:00+01:00,448.3888988
sc2015,y2030,2030-01-03T11:00:00+01:00,448.2013871
sc2015,y2030,2030-01-03T12:00:00+01:00,433.4861971
sc2015,y2030,2030-01-03T13:00:00+01:00,430.0161294
sc2015,y2030,2030-01-03T14:00:00+01:00,422.3091287
sc2015,y2030,2030-01-03T15:00:00+01:00,405.205005
sc2015,y2030,2030-01-03T16:00:00+01:00,394.2097316
sc2015,y2030,2030-01-03T17:00:00+01:00,403.2022472
sc2015,y2030,2030-01-03T18:00:00+01:00,456.6059488
sc2015,y2030,2030-01-03T19:00:00+01:00,482.0133878
sc2015,y2030,2030-01-03T20:00:00+01:00,491.9450141
sc2015,y2030,2030-01-03T21:00:00+01:00,495.3222115
sc2015,y2030,2030-01-03T22:00:00+01:00,476.214733
sc2015,y2030,2030-01-03T23:00:00+01:00,444.4502738
sc2015,y2030,2030-01-04T00:00:00+01:00,405.5073247
sc2015,y2030,2030-01-04T01:00:00+01:00,367.0885735
sc2015,y2030,2030-01-04T02:00:00+01:00,338.3898912
sc2015,y2030,2030-01-04T03:00:00+01:00,320.9764906
sc2015,y2030,2030-01-04T04:00:00+01:00,312.0245326
sc2015,y2030,2030-01-04T05:00:00+01:00,313.6978672
sc2015,y2030,2030-01-04T06:00:00+01:00,319.1355096
sc2015,y2030,2030-01-04T07:00:00+01:00,330.7424153
sc2015,y2030,2030-01-04T08:00:00+01:00,341.1933956
sc2015,y2030,2030-01-04T09:00:00+01:00,367.2114156
sc2015,y2030,2030-01-04T10:00:00+01:00,399.890174
sc2015,y2030,2030-01-04T11:00:00+01:00,406.5271576
sc2015,y2030,2030-01-04T12:00:00+01:00,397.0366079
sc2015,y2030,2030-01-04T13:00:00+01:00,400.3893869
sc2015,y2030,2030-01-04T14:00:00+01:00,399.9211562
sc2015,y2030,2030-01-04T15:00:00+01:00,381.2376656
sc2015,y2030,2030-01-04T16:00:00+01:00,370.0020319
sc2015,y2030,2030-01-04T17:00:00+01:00,379.3595109
