Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,CL_PSH1,CL_PSH2,Coal1,Coal2,Cogeneration1,Cogeneration2,Hydro1,Hydro2,Nuclear1,Nuclear2,OL_PSH1,OL_PSH2,SolarPV1,SolarPV2,SolarPV3,SolarPV4,SolarPV5,SolarPV6,Wind1,Wind2,Wind3,Wind4,Wind5
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,3.2057543243553877,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.5152844365,0.5264056834,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6663090553,0.6663090553,0.9576808831000001,1.0534489715,0.5267244856
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,1.9949321247563856,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.509286831,0.520278633,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.00024386320300000004,0.0,0.00024386320300000004,0.0,0.00024386320300000004,0.5205477905,0.5205477905,0.7481793372000001,0.8229972708000002,0.41149863557
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,1.206508851973871,0.325821574104009,0.0,0.0,0.7129067631321191,0.0,0.0,0.0,0.0,0.517621479,0.5287931655,0.0,0.0,2.0,2.0,0.0,0.0,0.5476260014080001,0.6023886016019999,0.5476260014080001,0.6023886016019999,0.5476260014080001,0.6023886016019999,0.3526257368899999,0.3526257368899999,0.5068262608,0.5575088868000002,0.2787544434599999
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,1.206508851973871,0.325821574104009,0.0,0.0,0.4543811162721157,0.0,0.0,0.0,0.0,0.5159864788,0.5271228777,0.0,0.0,2.0,2.0,0.0,0.0,1.1467353455,1.26140888,1.1467353455,1.26140888,1.1467353455,1.26140888,0.3321714732199999,0.3321714732199999,0.4774275049000002,0.5251702553000003,0.2625851276599999
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.5273913381000002,0.5387738849,1.5057951502763458,0.0,2.0,2.0,0.0,0.0,0.18551833901400006,0.20407017303800012,0.18551833901400006,0.20407017303800012,0.18551833901400006,0.20407017303800012,0.31422652228000003,0.31422652228000003,0.45163536490000017,0.4967989014000001,0.24839945065999988
sc2015,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.5437109155000002,0.5554456834,0.0,0.0,2.0,2.0,1.5787777343523446,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.38865504489,0.38865504489,0.5586109085000002,0.6144719994000001,0.3072359996599998
sc2015,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.5343495071000002,0.5458822302,0.0,0.0,2.0,2.0,0.7592943944623425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35598590853,0.35598590853,0.5116558097,0.5628213905999999,0.28141069528999985
sc2015,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.5714642957000002,0.5837980575,0.5487529724553432,0.0,2.0,2.0,0.0,0.0,0.0,0.00025191939900012057,0.0,0.00025191939900012057,0.0,0.00025191939900012057,0.35939415121999996,0.35939415121999996,0.5165544507000001,0.5682098957999999,0.28410494789999985
sc2015,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7434809860000002,0.7595273381000001,0.0,0.0,2.0,2.0,2.6248177085113436,0.0,0.5532552431140001,0.608580767313,0.5532552431140001,0.608580767313,0.5532552431140001,0.608580767313,0.29288294272999993,0.29288294272999993,0.42095840212,0.46305424229999986,0.23152712115999988
sc2015,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,2.9401185459553894,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7530188028000002,0.7692710072,0.0,0.0,2.0,2.0,0.0,0.0,1.0762504669,1.1838755136999999,1.0762504669,1.1838755136999999,1.0762504669,1.1838755136999999,0.16066812074999992,0.16066812074999992,0.2309270549400001,0.2540197603899999,0.12700988020999984
sc2015,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.8142082395000003,0.8317810791999999,0.8351156117620427,0.08697952392828157,2.0,2.0,1.587101039829022,3.2,0.1545813619619999,0.1700394982789997,0.1545813619619999,0.1700394982789997,0.1545813619619999,0.1700394982789997,0.20685005050999994,0.20685005050999994,0.2973039874900001,0.32703438618999986,0.16351719310999982
sc2015,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.13176085027625745,0.0,0.0,0.8301807042000002,0.8480982733999998,2.52,1.52,2.0,2.0,3.017261511055572,0.416969404480513,0.0,0.0,0.0,0.0,0.0,0.0,0.21358000800999993,0.21358000800999993,0.3069769037000001,0.3376745940099999,0.16883729702999978
sc2015,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7543054225000004,0.7705853956999995,0.0,0.0,2.0,2.0,0.0,2.531869194512342,0.0,0.0,0.0,0.0,0.0,0.0,0.24194677877999993,0.24194677877999993,0.34774824525000003,0.38252306984999995,0.1912615348799998
sc2015,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7548875352000004,0.7711800719999994,0.7500147291943396,0.0,2.0,2.0,0.0,0.0,0.0,0.00025300807599969014,0.0,0.00025300807599969014,0.0,0.00025300807599969014,0.33515669005999993,0.33515669005999993,0.4817181340999999,0.5298899474,0.26494497372999987
sc2015,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7696427464000006,0.7862537409999995,0.36660735252834087,0.0,2.0,2.0,0.0,0.0,0.5723058682029999,0.6295364550349998,0.5723058682029999,0.6295364550349998,0.5723058682029999,0.6295364550349998,0.3851602741899999,0.3851602741899999,0.5535879012,0.6089466914000001,0.30447334568999995
sc2015,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,1.206508851973871,0.325821574104009,0.0,0.0,0.4543811162721157,0.0,0.0,0.0,0.0,0.7503186620000004,0.7665125899999995,0.0,0.0,2.0,2.0,0.0,0.0,1.146816699,1.2614983689,1.146816699,1.2614983689,1.146816699,1.2614983689,0.3755796989899999,0.3755796989899999,0.5398178140999998,0.5937995954000003,0.29689979771
sc2015,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7440586619000003,0.7601174819999996,2.52,0.0,2.0,2.0,0.03734942218634263,0.0,0.19105741849599991,0.21016316031599985,0.19105741849599991,0.21016316031599985,0.19105741849599991,0.21016316031599985,0.517966371,0.517966371,0.7444690831999999,0.8189159915000003,0.40945799572999997
sc2015,y2030,2030-01-03T23:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7507881691000005,0.7669922300999996,2.52,0.0,2.0,2.0,1.3176355279693885,1.2011853345029497,0.0,0.0,0.0,0.0,0.0,0.0,0.5915776845999998,0.5915776845999998,0.8502700583999998,0.9352970640000001,0.46764853209999996
sc2015,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,3.0916789331830437,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7148584508000004,0.7302870503999996,0.0,0.0,2.0,2.0,0.0,0.37468157191233814,0.0,0.0,0.0,0.0,0.0,0.0,0.5876310452999998,0.5876310452999998,0.8445975841999999,0.9290573426000004,0.4645286713000001
sc2015,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,1.8378637402543845,0.8303194952973135,0.0,0.0,1.1643516104472964,0.0,0.0,0.0,0.0,0.7212907042000005,0.7368581294999996,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0002485445069998592,0.0,0.0002485445069998592,0.0,0.0002485445069998592,0.5964328684,0.5964328684,0.8572483767000001,0.9429732143000005,0.47148660720000013
sc2015,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,1.206508851973871,0.8303194952973135,0.0,0.0,1.1063982624608102,0.0,0.0,0.0,0.0,0.7325916197000004,0.7484029495999998,0.0,0.0,2.0,2.0,0.0,0.0,0.550933594022,0.6060269533339998,0.550933594022,0.6060269533339998,0.550933594022,0.6060269533339998,0.5256000659,0.5256000659,0.7554409340000002,0.8309850274000004,0.41549251364000017
sc2015,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,1.206508851973871,0.325821574104009,0.0,0.0,0.4543811162721157,0.0,0.0,0.0,0.0,0.7229055634000003,0.7385078416999997,0.0,0.0,2.0,2.0,0.0,0.0,1.1303033797000002,1.2433337176999997,1.1303033797000002,1.2433337176999997,1.1303033797000002,1.2433337176999997,0.4228816860000001,0.4228816860000001,0.6078045963000003,0.6685850560000005,0.33429252797000025
sc2015,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,3.28,1.7298322818694027,0.0,0.0,2.3287032208945924,0.0,0.0,0.0,0.0,0.7347165493000003,0.7505737409999998,0.0,0.0,2.0,2.0,0.0,0.0,0.19083018238700009,0.20991320060499985,0.19083018238700009,0.20991320060499985,0.19083018238700009,0.20991320060499985,0.40346095147000005,0.40346095147000005,0.5798913240000003,0.6378804563000005,0.31894022820000023
sc2015,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,3.28,1.7298322818694027,0.0,0.0,2.328703220894593,0.0,0.0,0.0,0.0,0.7549986620000004,0.7712935971999998,2.52,0.0,2.0,2.0,1.0788775568594902,0.2055257926765126,0.0,0.0,0.0,0.0,0.0,0.0,0.33479134937000005,0.33479134937000005,0.48119303306000016,0.5293123363200005,0.26465616818000026
sc2015,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,3.28,1.7298322818694027,0.0,0.0,2.328703220894593,0.0,0.0,0.0,0.0,0.7238717606000005,0.7394948920999999,0.0,0.0,2.0,2.0,0.0,0.32514149707599915,0.0,0.0,0.0,0.0,0.0,0.0,0.14797253671000002,0.14797253671000002,0.21267978953000016,0.23394776847000054,0.11697388424000027
sc2015,y2030,2030-01-05T07:00:00+01:00,0.0,0.0,3.28,1.7298322818694027,0.0,0.0,2.328703220894593,0.0,0.0,0.0,0.0,0.7347539437000004,0.7506119423999996,0.0,0.0,2.0,2.0,0.0,0.028831645512001187,0.0,0.000247238097999845,0.0,0.000247238097999845,0.0,0.000247238097999845,0.13503178990000003,0.13503178990000003,0.19408015357000014,0.21348816890000058,0.10674408446000029
sc2015,y2030,2030-01-05T11:00:00+01:00,0.0,0.0,3.28,1.7298322818694027,0.0,0.0,2.328703220894593,0.0,0.0,0.0,0.0,0.8181986620000002,0.8358576258999997,0.0,0.0,2.0,2.0,1.773429871654,0.0,0.48095108941200004,0.5290461984319998,0.48095108941200004,0.5290461984319998,0.48095108941200004,0.5290461984319998,0.17341177603000008,0.17341177603000008,0.24924341256000013,0.27416775386000053,0.13708387691000026
sc2015,y2030,2030-01-05T15:00:00+01:00,0.0,0.0,1.7167296752398173,1.7298322818694027,0.0,0.0,1.721543331910779,0.0,0.0,0.0,0.0,0.8087814788000003,0.8262371943999998,0.0,0.0,2.0,2.0,0.0,0.0,1.0243724299,1.1268096727999999,1.0243724299,1.1268096727999999,1.0243724299,1.1268096727999999,0.15078469754000007,0.15078469754000007,0.2167216866600002,0.23839385528000057,0.11919692766000028
sc2015,y2030,2030-01-05T19:00:00+01:00,0.0,0.0,3.28,1.7298322818694027,0.0,0.0,2.328703220894593,0.0,0.0,0.0,0.0,0.8231526761000002,0.8409185610999999,0.0,0.0,2.0,2.0,0.0,2.5809166038559987,0.17728300736399993,0.19501130811599976,0.17728300736399993,0.19501130811599976,0.17728300736399993,0.19501130811599976,0.1778439337100001,0.1778439337100001,0.25561371880000017,0.2811750907000006,0.1405875453400003
sc2015,y2030,2030-01-05T23:00:00+01:00,0.0,0.0,3.28,1.7298322818694027,0.0,0.0,2.328703220894593,0.0,0.0,0.0,0.0,0.8261255633000002,0.8439556115,2.52,0.0,2.0,2.0,0.0,1.536277219115999,0.0,0.0,0.0,0.0,0.0,0.0,0.21427223221000008,0.21427223221000008,0.3079718321500001,0.33876901538000054,0.16938450767000027
sc2015,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,2.6998299356159956,1.7298322818694027,0.0,0.0,2.328703220894593,0.0,0.0,0.0,0.0,0.7419874647,0.7580015828,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31138551891000005,0.31138551891000005,0.4475520124000002,0.4923072137000006,0.2461536068200003
