,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,EnergyType,MustRun,OutflowsIncompatibility,NoOperatingReserve,BinaryInvestment,BinaryRetirement,BinaryCommitment,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumPowerHeat,MinimumPowerHeat,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,StableTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedRetirementCost,FixedChargeRate,StorageInvestment,Inertia,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,ProductionFunctionHydro,ProductionFunctionH2,ProductionFunctionHeat,ProductionFunctionH2ToHeat
EGN,Nigeria States|Lagos,OCGT,,,,,,,,,,,2007,2050,1320,120,,,,,,,,,,0.1,,,,,,0.002,2898,3246,1.02,,2.164,,0.68,,,,,,,,,,,,,,,,
AFM,Nigeria States|Rivers,OCGT,,,,,,,,,,,2009,2050,969.6,55,,,,,,,,,,0.1,,,,,,0.002,2790,3068,1.02,,2.1476,,0.592,,,,,,,,,,,,,,,,
SAP,Nigeria States|Delta,OCGT,,,,,,,,,,,2008,2050,1020,60,,,,,,,,,,0.1,,,,,,0.002,2482,3651,1.02,,3.0425,,0.602,,,,,,,,,,,,,,,,
IJR,Nigeria States|Lagos,Oil,,,,,,,,,,,1975,2016,40,5,,,,,,,,,,0.1,,,,,,0.0058,2868,3228,2,,7.48896,,0.745,,,,,,,,,,,,,,,,
DLT,Nigeria States|Delta,OCGT,,,,,,,,,,,2000,2050,912,20,,,,,,,,,,0.1,,,,,,0.002,2871,3200,2,,2.773333333,,0.692,,,,,,,,,,,,,,,,
OJI,Nigeria States|Enugu,Hard_Coal,,,,,,,,,,,2001,2050,120,25,,,,,,,,,,0.1,,,,,,0.0012,2649,3902,2,,1.79492,,0.781,,,,,,,,,,,,,,,,
GRG,Nigeria States|Kogi,CCGT,,,,,,,,,,,2009,2050,414,25,,,,,,,,,,0.1,,,,,,0.002,2871,3200,2,,2.666666667,,0.602,,,,,,,,,,,,,,,,
OMT,Nigeria States|Ondo,CCGT,,,,,,,,,,,2010,2050,835,40,,,,,,,,,,0.1,,,,,,0.002,2482,3651,2,,3.0425,,0.603,,,,,,,,,,,,,,,,
PPL,Nigeria States|Ogun,CCGT,,,,,,,,,,,2010,2050,750,45,,,,,,,,,,0.1,,,,,,0.002,2610,3970,2,,3.043666667,,0.603,,,,,,,,,,,,,,,,
ALJ,Nigeria States|Abia,OCGT,,,,,,,,,,,2011,2050,1074,140,,,,,,,,,,0.1,,,,,,0.002,2406,3970,2,,3.440666667,,0.592,,,,,,,,,,,,,,,,
OMK,Nigeria States|Rivers,CCGT,,,,,,,,,,,2010,2050,230,25,,,,,,,,,,0.1,,,,,,0.002,2810,3177,2,,2.2239,,0.508,,,,,,,,,,,,,,,,
GRU,Nigeria States|Bayelsa,OCGT,,,,,,,,,,,2010,2050,225,25,,,,,,,,,,0.1,,,,,,0.002,2871,3200,1,,2.453333333,,0.6033,,,,,,,,,,,,,,,,
SAP2,Nigeria States|Delta,OCGT,,,,,,,,,,,2007,2050,451,32,,,,,,,,,,0.1,,,,,,0.002,2610,3970,2,,2.779,,0.638,,,,,,,,,,,,,,,,
EYN,Nigeria States|Edo,CCGT,,,,,,,,,,,2009,2050,900,32,,,,,,,,,,0.1,,,,,,0.002,2810,3270,2,,2.616,,0.504,,,,,,,,,,,,,,,,
EGB,Nigeria States|Rivers,CCGT,,,,,,,,,,,2010,2050,378,55,,,,,,,,,,0.1,,,,,,0.002,2482,3651,2,,3.1642,,0.654,,,,,,,,,,,,,,,,
CLB,Nigeria States|Cross River,CCGT,,,,,,,,,,,2009,2050,1000,90,,,,,,,,,,0.1,,,,,,0.002,2810,3270,2,,2.289,,0.502,,,,,,,,,,,,,,,,
AES,Nigeria States|Lagos,CCGT,,,,,,,,,,,2007,2050,1800,45,,,,,,,,,,0.1,,,,,,0.002,2871,3200,2,,2.453333333,,0.629,,,,,,,,,,,,,,,,
AGP,Nigeria States|Delta,CCGT,,,,,,,,,,,2009,2050,480,25,,,,,,,,,,0.1,,,,,,0.002,2810,3177,2,,2.2239,,0.648,,,,,,,,,,,,,,,,
OMK2,Nigeria States|Rivers,CCGT,,,,,,,,,,,2007,2050,150,37,,,,,,,,,,0.1,,,,,,0.002,2832,3132,1.2,,2.4012,,0.685,,,,,,,,,,,,,,,,
OBJ,Nigeria States|Kogi,CCGT,,,,,,,,,,,2011,2050,350,55,,,,,,,,,,0.1,,,,,,0.002,2810,3177,2,,2.2239,,0.586,,,,,,,,,,,,,,,,
IBM,Nigeria States|Akwa Ibom,CCGT,,,,,,,,,,,2011,2050,188,10,,,,,,,,,,0.1,,,,,,0.002,2921,3145,2,,2.2015,,0.506,,,,,,,,,,,,,,,,
ETH,Nigeria States|Delta,CCGT,,,,,,,,,,,2011,2050,2800,200,,,,,,,,,,0.1,,,,,,0.002,2856,3254,2,,2.820133333,,0.514,,,,,,,,,,,,,,,,
ICS,Nigeria States|Abia,CCGT,,,,,,,,,,,2012,2050,624,50,,,,,,,,,,0.1,,,,,,0.002,2821,3254,2,,2.711666667,,0.562,,,,,,,,,,,,,,,,
SUP,Nigeria States|Abia,CCGT,,,,,,,,,,,2012,2050,1000,150,,,,,,,,,,0.1,,,,,,0.002,2411,3441,2,,2.4087,,0.501,,,,,,,,,,,,,,,,
MBN,Nigeria States|Cross River,CCGT,,,,,,,,,,,2012,2050,39,5,,,,,,,,,,0.1,,,,,,0.002,2484,3624,2,,2.7784,,0.576,,,,,,,,,,,,,,,,
GEO,Nigeria States|Abia,CCGT,,,,,,,,,,,2010,2050,140,10,,,,,,,,,,0.1,,,,,,0.002,2284,3264,2,,2.2848,,0.587,,,,,,,,,,,,,,,,
GTP1,Nigeria States|Lagos,CCGT,,,,,,,,,,,2012,2050,50,20,,,,,,,,,,0.12,,,,,,0.002,3299,4619,1.8,,3.2333,,0.512,,,,,,,,,,,,,,,,
GTP2,Nigeria States|Ogun,CCGT,,,,,,,,,,,2012,2050,100,50,,,,,,,,,,0.12,,,,,,0.002,3243,4541,1.8,,3.481433333,,0.564,,,,,,,,,,,,,,,,
GTP3,Nigeria States|Ogun,CCGT,,,,,,,,,,,2012,2050,150,25,,,,,,,,,,0.12,,,,,,0.002,3077,4307,2,,3.0149,,0.601,,,,,,,,,,,,,,,,
CGT1,Nigeria States|Rivers,CCGT,,,,,,,,,,,2013,2050,400,25,,,,,,,,,,0.12,,,,,,0.002,1530,2176,2,,1.668266667,,0.568,,,,,,,,,,,,,,,,
CGT2,Nigeria States|Rivers,CCGT,,,,,,,,,,,2013,2050,400,25,,,,,,,,,,0.12,,,,,,0.002,2430,2530,2,,1.771,,0.603,,,,,,,,,,,,,,,,
SNG1,Nigeria States|Edo,CCGT,,,,,,,,,,,2013,2050,100,20,,,,,,,,,,0.12,,,,,,0.002,2900,2980,2,,2.483333333,,0.549,,,,,,,,,,,,,,,,
SNG2,Nigeria States|Edo,CCGT,,,,,,,,,,,2013,2050,200,20,,,,,,,,,,0.12,,,,,,0.002,2130,2390,2,,1.832333333,,0.549,,,,,,,,,,,,,,,,
FBC1,Nigeria States|Enugu,Hard_Coal,,,,,,,,,,,2014,2050,200,100,,,,,,,,,,0.12,,,,,,0.0012,2120,2490,2,,1.0458,,0.798,,,,,,,,,,,,,,,,
FBC2,Nigeria States|Enugu,Hard_Coal,,,,,,,,,,,2014,2050,400,100,,,,,,,,,,0.12,,,,,,0.0012,2490,2530,2,,1.164,,0.798,,,,,,,,,,,,,,,,
OST1,Nigeria States|Rivers,Oil,,,,,,,,,,,2014,2050,1800,220,,,,,,,,,,0.12,,,,,,0.0058,2840,2900,2,,5.887,,0.659,,,,,,,,,,,,,,,,
NUP1,Nigeria States|Taraba,Nuclear,,,,,,,,,,,2014,2050,1300,150,,,,,,,,,,0.15,,,,,,0.0035,2440,2720,2,,10.3775,,0,,,,,,,,,,,,,,,,
NUP2,Nigeria States|Bauchi,Nuclear,,,,,,,,,,,2015,2050,1600,300,,,,,,,,,,0.15,,,,,,0.0035,2440,2720,2,,9.303,,0,,,,,,,,,,,,,,,,
CoalENG,Nigeria States|Enugu,Hard_Coal,,,,,,,,,,,2019,2050,600,50,,,,,,,,,,0.1,,,,,,0.0012,2821,3254,2,,1.627,,0.562,,,,,,,,,,,,,,,,
CoalIM,Nigeria States|Imo,Hard_Coal,,,,,,,,,,,2020,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3264,2,,1.6248,,0.562,,,,,,,,,,,,,,,,
CoalKG,Nigeria States|Kogi,Hard_Coal,,,,,,,,,,,2016,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3256,2,,1.6152,,0.564,,,,,,,,,,,,,,,,
CoalDLT,Nigeria States|Delta,Hard_Coal,,,,,,,,,,,2020,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3245,2,,1.6632,,0.5623,,,,,,,,,,,,,,,,
CoalPLT,Nigeria States|Plateau,Hard_Coal,,,,,,,,,,,2018,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3265,2,,1.638,,0.5632,,,,,,,,,,,,,,,,
CoalANB,Nigeria States|Anambra,Hard_Coal,,,,,,,,,,,2020,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3145,2,,1.5912,,0.5701,,,,,,,,,,,,,,,,
CoalAB,Nigeria States|Abia,Hard_Coal,,,,,,,,,,,2019,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3264,2,,1.6248,,0.562,,,,,,,,,,,,,,,,
CoalBEN,Nigeria States|Benue,Hard_Coal,,,,,,,,,,,2021,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3512,2,,1.6776,,0.562,,,,,,,,,,,,,,,,
CoalADM,Nigeria States|Adamawa,Hard_Coal,,,,,,,,,,,2020,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3125,2,,1.6272,,0.562,,,,,,,,,,,,,,,,
CoalGMB,Nigeria States|Gombe,Hard_Coal,,,,,,,,,,,2020,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3254,2,,1.627,,0.5632,,,,,,,,,,,,,,,,
CoalCRV,Nigeria States|Cross River,Hard_Coal,,,,,,,,,,,2023,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3246,2,,1.638,,0.5624,,,,,,,,,,,,,,,,
CoalEBY,Nigeria States|Ebonyi,Hard_Coal,,,,,,,,,,,2019,2050,600,50,,,,,,,,,,0.06,,,,,,0.0012,2821,3233,2,,1.6428,,0.5632,,,,,,,,,,,,,,,,
GasRV1,Nigeria States|Rivers,CCGT,,,,,,,,,,,2020,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2482,3264,2,,2.592,,0.562,,,,,,,,,,,,,,,,
GasRV2,Nigeria States|Rivers,CCGT,,,,,,,,,,,2021,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2482,3254,2,,2.804,,0.532,,,,,,,,,,,,,,,,
GasRV3,Nigeria States|Rivers,CCGT,,,,,,,,,,,2016,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2480,3291,2,,2.512,,0.563,,,,,,,,,,,,,,,,
GasRV4,Nigeria States|Rivers,CCGT,,,,,,,,,,,2026,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2482,3264,2,,2.538,,0.5623,,,,,,,,,,,,,,,,
GasRV5,Nigeria States|Rivers,CCGT,,,,,,,,,,,2019,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2482,3264,2,,2.716,,0.563,,,,,,,,,,,,,,,,
GasRV6,Nigeria States|Rivers,CCGT,,,,,,,,,,,2026,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2479,3245,2,,2.728,,0.546,,,,,,,,,,,,,,,,
GasRV7,Nigeria States|Rivers,CCGT,,,,,,,,,,,2029,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2463,3248,2,,2.538,,0.564,,,,,,,,,,,,,,,,
GasRV8,Nigeria States|Rivers,CCGT,,,,,,,,,,,2026,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2456,3248,2,,2.492,,0.5456,,,,,,,,,,,,,,,,
GasRV9,Nigeria States|Rivers,CCGT,,,,,,,,,,,2029,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2578,3249,2,,2.712,,0.564,,,,,,,,,,,,,,,,
GasRV10,Nigeria States|Rivers,CCGT,,,,,,,,,,,2028,2050,1200,105,,,,,,,,,,0.06,,,,,,0.002,2482,3245,2,,2.794,,0.564,,,,,,,,,,,,,,,,
GasRV11,Nigeria States|Rivers,CCGT,,,,,,,,,,,2021,2050,900,55,,,,,,,,,,0.1,,,,,,0.002,2871,3200,2,,2.773333333,,0.692,,,,,,,,,,,,,,,,
GasCRV1,Nigeria States|Cross River,CCGT,,,,,,,,,,,2029,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2841,3211,2,,2.75,,0.6056,,,,,,,,,,,,,,,,
GasCRV2,Nigeria States|Cross River,CCGT,,,,,,,,,,,2029,2050,1500,120,,,,,,,,,,0.12,,,,,,0.002,2840,2900,2,,2.03,,0.659,,,,,,,,,,,,,,,,
GasCRV3,Nigeria States|Cross River,CCGT,,,,,,,,,,,2026,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2845,2906,2,,2.13,,0.5689,,,,,,,,,,,,,,,,
GasCRV4,Nigeria States|Cross River,CCGT,,,,,,,,,,,2026,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2853,2968,2,,2.052,,0.5623,,,,,,,,,,,,,,,,
GasED1,Nigeria States|Edo,CCGT,,,,,,,,,,,2020,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2846,2965,2,,2.204,,0.6532,,,,,,,,,,,,,,,,
GasED2,Nigeria States|Edo,CCGT,,,,,,,,,,,2026,2050,1500,120,,,,,,,,,,0.06,,,,,,0.002,2847,2978,2,,2.064,,0.652,,,,,,,,,,,,,,,,
