,,,N_101,N_102,N_103,N_104,N_105,N_106,N_107,N_108,N_109,N_110,N_111,N_112,N_113,N_114,N_115,N_116,N_117,N_118,N_119,N_120,N_121,N_122,N_123,N_124
2030,sc01,01-01 00:00:00+01:00,58.0081176,52.0998834,96.680196,39.7463028,38.1349662,73.0472592,67.139025,91.8461862,93.994635,104.736879,0,0,142.334733,104.1997668,170.2645674,53.71122,0,178.8583626,97.2173082,68.7503616,0,0,0,0
2030,sc01,01-01 01:00:00+01:00,54.5449464,48.9894426,90.908244,37.3733892,35.8582518,68.6862288,63.130725,86.3628318,88.383015,98.483931,0,0,133.837137,97.9788852,160.0995186,50.50458,0,168.1802514,91.4132898,64.6458624,0,0,0,0
2030,sc01,01-01 02:00:00+01:00,51.947568,46.656612,86.57928,35.593704,34.150716,65.415456,60.1245,82.250316,84.1743,93.79422,0,0,127.46394,93.313224,152.475732,48.0996,0,160.171668,87.060276,61.567488,0,0,0,0
2030,sc01,01-01 03:00:00+01:00,51.0817752,45.8790018,85.136292,35.0004756,33.5815374,64.3251984,59.122425,80.8794774,82.771395,92.230983,0,0,125.339541,91.7580036,149.9344698,47.29794,0,157.5021402,85.6092714,60.5413632,0,0,0,0
2030,sc01,01-01 04:00:00+01:00,51.0817752,45.8790018,85.136292,35.0004756,33.5815374,64.3251984,59.122425,80.8794774,82.771395,92.230983,0,0,125.339541,91.7580036,149.9344698,47.29794,0,157.5021402,85.6092714,60.5413632,0,0,0,0
2030,sc01,01-01 05:00:00+01:00,51.947568,46.656612,86.57928,35.593704,34.150716,65.415456,60.1245,82.250316,84.1743,93.79422,0,0,127.46394,93.313224,152.475732,48.0996,0,160.171668,87.060276,61.567488,0,0,0,0
2030,sc01,01-01 06:00:00+01:00,64.0686672,57.5431548,106.781112,43.8989016,42.1192164,80.6790624,74.15355,101.4420564,103.81497,115.679538,0,0,157.205526,115.0863096,188.0534028,59.32284,0,197.5450572,107.3743404,75.9332352,0,0,0,0
2030,sc01,01-01 07:00:00+01:00,74.4581808,66.8744772,124.096968,51.0176424,48.9493596,93.7621536,86.17845,117.8921196,120.64983,134.438382,0,0,182.698314,133.7489544,218.5485492,68.94276,0,229.5793908,124.7863956,88.2467328,0,0,0,0
2030,sc01,01-01 08:00:00+01:00,82.250316,73.872969,137.08386,56.356698,54.071967,103.574472,95.197125,130.229667,133.275975,148.507515,0,0,201.817905,147.745938,241.419909,76.1577,0,253.605141,137.845437,97.481856,0,0,0,0
2030,sc01,01-01 09:00:00+01:00,83.1161088,74.6505792,138.526848,56.9499264,54.6411456,104.6647296,96.1992,131.6005056,134.67888,150.070752,0,0,203.942304,149.3011584,243.9611712,76.95936,0,256.2746688,139.2964416,98.5079808,0,0,0,0
2030,sc01,01-01 10:00:00+01:00,83.1161088,74.6505792,138.526848,56.9499264,54.6411456,104.6647296,96.1992,131.6005056,134.67888,150.070752,0,0,203.942304,149.3011584,243.9611712,76.95936,0,256.2746688,139.2964416,98.5079808,0,0,0,0
2030,sc01,01-01 11:00:00+01:00,82.250316,73.872969,137.08386,56.356698,54.071967,103.574472,95.197125,130.229667,133.275975,148.507515,0,0,201.817905,147.745938,241.419909,76.1577,0,253.605141,137.845437,97.481856,0,0,0,0
2030,sc01,01-01 12:00:00+01:00,82.250316,73.872969,137.08386,56.356698,54.071967,103.574472,95.197125,130.229667,133.275975,148.507515,0,0,201.817905,147.745938,241.419909,76.1577,0,253.605141,137.845437,97.481856,0,0,0,0
2030,sc01,01-01 13:00:00+01:00,82.250316,73.872969,137.08386,56.356698,54.071967,103.574472,95.197125,130.229667,133.275975,148.507515,0,0,201.817905,147.745938,241.419909,76.1577,0,253.605141,137.845437,97.481856,0,0,0,0
2030,sc01,01-01 14:00:00+01:00,80.5187304,72.3177486,134.197884,55.1702412,52.9336098,101.3939568,93.192975,127.4879898,130.470165,145.381041,0,0,197.569107,144.6354972,236.3373846,74.55438,0,248.2660854,134.9434278,95.4296064,0,0,0,0
2030,sc01,01-01 15:00:00+01:00,81.3845232,73.0953588,135.640872,55.7634696,53.5027884,102.4842144,94.19505,128.8588284,131.87307,146.944278,0,0,199.693506,146.1907176,238.8786468,75.35604,0,250.9356132,136.3944324,96.4557312,0,0,0,0
2030,sc01,01-01 16:00:00+01:00,85.7134872,76.9834098,142.855812,58.7296116,56.3486814,107.9355024,99.205425,135.7130214,138.887595,154.760463,0,0,210.315501,153.9668196,251.5849578,79.36434,0,264.2832522,143.6494554,101.5863552,0,0,0,0
2030,sc01,01-01 17:00:00+01:00,86.57928,77.76102,144.2988,59.32284,56.91786,109.02576,100.2075,137.08386,140.2905,156.3237,0,0,212.4399,155.52204,254.12622,80.166,0,266.95278,145.10046,102.61248,0,0,0,0
2030,sc01,01-01 18:00:00+01:00,86.57928,77.76102,144.2988,59.32284,56.91786,109.02576,100.2075,137.08386,140.2905,156.3237,0,0,212.4399,155.52204,254.12622,80.166,0,266.95278,145.10046,102.61248,0,0,0,0
2030,sc01,01-01 19:00:00+01:00,83.1161088,74.6505792,138.526848,56.9499264,54.6411456,104.6647296,96.1992,131.6005056,134.67888,150.070752,0,0,203.942304,149.3011584,243.9611712,76.95936,0,256.2746688,139.2964416,98.5079808,0,0,0,0
2030,sc01,01-01 20:00:00+01:00,78.7871448,70.7625282,131.311908,53.9837844,51.7952526,99.2134416,91.188825,124.7463126,127.664355,142.254567,0,0,193.320309,141.5250564,231.2548602,72.95106,0,242.9270298,132.0414186,93.3773568,0,0,0,0
2030,sc01,01-01 21:00:00+01:00,71.8608024,64.5416466,119.768004,49.2379572,47.2418238,90.4913808,83.172225,113.7796038,116.441115,129.748671,0,0,176.325117,129.0832932,210.9247626,66.53778,0,221.5708074,120.4333818,85.1683584,0,0,0,0
2030,sc01,01-01 22:00:00+01:00,63.2028744,56.7655446,105.338124,43.3056732,41.5500378,79.5888048,73.151475,100.0712178,102.412065,114.116301,0,0,155.081127,113.5310892,185.5121406,58.52118,0,194.8755294,105.9233358,74.9071104,0,0,0,0
2030,sc01,01-01 23:00:00+01:00,54.5449464,48.9894426,90.908244,37.3733892,35.8582518,68.6862288,63.130725,86.3628318,88.383015,98.483931,0,0,133.837137,97.9788852,160.0995186,50.50458,0,168.1802514,91.4132898,64.6458624,0,0,0,0
2030,sc01,01-02 00:00:00+01:00,62.37432,56.02138,103.9572,42.73796,41.00534,78.54544,72.1925,98.75934,101.0695,112.6203,0,0,153.0481,112.04276,183.08018,57.754,0,192.32082,104.53474,73.92512,0,0,0,0
2030,sc01,01-02 01:00:00+01:00,58.65048,52.67682,97.7508,40.18644,38.55726,73.85616,67.8825,92.86326,95.0355,105.8967,0,0,143.9109,105.35364,172.15002,54.306,0,180.83898,98.29386,69.51168,0,0,0,0
2030,sc01,01-02 02:00:00+01:00,55.8576,50.1684,93.096,38.2728,36.7212,70.3392,64.65,88.4412,90.51,100.854,0,0,137.058,100.3368,163.9524,51.72,0,172.2276,93.6132,66.2016,0,0,0,0
2030,sc01,01-02 03:00:00+01:00,54.92664,49.33226,91.5444,37.63492,36.10918,69.16688,63.5725,86.96718,89.0015,99.1731,0,0,134.7737,98.66452,161.21986,50.858,0,169.35714,92.05298,65.09824,0,0,0,0
2030,sc01,01-02 04:00:00+01:00,54.92664,49.33226,91.5444,37.63492,36.10918,69.16688,63.5725,86.96718,89.0015,99.1731,0,0,134.7737,98.66452,161.21986,50.858,0,169.35714,92.05298,65.09824,0,0,0,0
2030,sc01,01-02 05:00:00+01:00,55.8576,50.1684,93.096,38.2728,36.7212,70.3392,64.65,88.4412,90.51,100.854,0,0,137.058,100.3368,163.9524,51.72,0,172.2276,93.6132,66.2016,0,0,0,0
2030,sc01,01-02 06:00:00+01:00,68.89104,61.87436,114.8184,47.20312,45.28948,86.75168,79.735,109.07748,111.629,124.3866,0,0,169.0382,123.74872,202.20796,63.788,0,212.41404,115.45628,81.64864,0,0,0,0
2030,sc01,01-02 07:00:00+01:00,80.06256,71.90804,133.4376,54.85768,52.63372,100.81952,92.665,126.76572,129.731,144.5574,0,0,196.4498,143.81608,234.99844,74.132,0,246.85956,134.17892,94.88896,0,0,0,0
2030,sc01,01-02 08:00:00+01:00,88.4412,79.4333,147.402,60.5986,58.1419,111.3704,102.3625,140.0319,143.3075,159.6855,0,0,217.0085,158.8666,259.5913,81.89,0,272.6937,148.2209,104.8192,0,0,0,0
2030,sc01,01-02 09:00:00+01:00,89.37216,80.26944,148.9536,61.23648,58.75392,112.54272,103.44,141.50592,144.816,161.3664,0,0,219.2928,160.53888,262.32384,82.752,0,275.56416,149.78112,105.92256,0,0,0,0
2030,sc01,01-02 10:00:00+01:00,89.37216,80.26944,148.9536,61.23648,58.75392,112.54272,103.44,141.50592,144.816,161.3664,0,0,219.2928,160.53888,262.32384,82.752,0,275.56416,149.78112,105.92256,0,0,0,0
2030,sc01,01-02 11:00:00+01:00,88.4412,79.4333,147.402,60.5986,58.1419,111.3704,102.3625,140.0319,143.3075,159.6855,0,0,217.0085,158.8666,259.5913,81.89,0,272.6937,148.2209,104.8192,0,0,0,0
2030,sc01,01-02 12:00:00+01:00,88.4412,79.4333,147.402,60.5986,58.1419,111.3704,102.3625,140.0319,143.3075,159.6855,0,0,217.0085,158.8666,259.5913,81.89,0,272.6937,148.2209,104.8192,0,0,0,0
2030,sc01,01-02 13:00:00+01:00,88.4412,79.4333,147.402,60.5986,58.1419,111.3704,102.3625,140.0319,143.3075,159.6855,0,0,217.0085,158.8666,259.5913,81.89,0,272.6937,148.2209,104.8192,0,0,0,0
2030,sc01,01-02 14:00:00+01:00,86.57928,77.76102,144.2988,59.32284,56.91786,109.02576,100.2075,137.08386,140.2905,156.3237,0,0,212.4399,155.52204,254.12622,80.166,0,266.95278,145.10046,102.61248,0,0,0,0
2030,sc01,01-02 15:00:00+01:00,87.51024,78.59716,145.8504,59.96072,57.52988,110.19808,101.285,138.55788,141.799,158.0046,0,0,214.7242,157.19432,256.85876,81.028,0,269.82324,146.66068,103.71584,0,0,0,0
