,,,Gas_C1,Gas_C2,Ant_C3,Ant_C4,Gas_C5,Gas_C6,Ant_C7,Ant_C8,Sub_C9,Sub_C10,Sub_C11,Sub_C12,Sub_C13,Sub_C14,SC_SC001,Sub_C16,Sub_C17,Sub_C18,Sub_C19,Sub_C20,Gas_C21,Gas_C22,Nuc_N23,Nuc_N24,Hyd_H25,Hyd_H26,Hyd_H27,Pum_H28,Pum_H29,Pum_H30,Gas_C31,Gas_C32,Gas_C33
2030,sc01,01-01 00:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 01:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 02:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 03:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 04:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 05:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 06:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 07:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 08:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 09:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
2030,sc01,01-01 10:00:00+01:00,,,,,,,,,,,,,,,,,,,,,,,,,43.97750002,29.31833334,58.63666668,43.97750002,29.31833334,58.63666668,,,
