Period,Scenario,LoadLevel,Demand
2030,sc01,01-01 01:00:00+01:00,-265.96362217719593
2030,sc01,01-01 03:00:00+01:00,-391.62382717719584
2030,sc01,01-01 05:00:00+01:00,-391.62382717719584
2030,sc01,01-01 07:00:00+01:00,76.74602782280385
2030,sc01,01-01 09:00:00+01:00,430.87933282280324
2030,sc01,01-01 11:00:00+01:00,430.87933282280324
2030,sc01,01-01 13:00:00+01:00,419.4556778228041
2030,sc01,01-01 15:00:00+01:00,385.1847128228044
2030,sc01,01-01 17:00:00+01:00,522.2685728228032
2030,sc01,01-01 19:00:00+01:00,487.99760782280487
2030,sc01,01-01 21:00:00+01:00,236.67719782280392
2030,sc01,01-01 23:00:00+01:00,-197.42169217719584
2030,sc01,01-02 01:00:00+01:00,-154.1837721771958
2030,sc01,01-02 03:00:00+01:00,-289.3022721771961
2030,sc01,01-02 05:00:00+01:00,-289.3022721771961
2030,sc01,01-02 07:00:00+01:00,214.32122782280385
2030,sc01,01-02 09:00:00+01:00,595.1097278228037
2030,sc01,01-02 11:00:00+01:00,595.1097278228037
2030,sc01,01-02 13:00:00+01:00,582.8262278228037
2030,sc01,01-02 15:00:00+01:00,545.9757278228042
2030,sc01,01-02 17:00:00+01:00,693.3777278228042
2030,sc01,01-02 19:00:00+01:00,656.5272278228042
2030,sc01,01-02 21:00:00+01:00,386.2902278228037
2030,sc01,01-02 23:00:00+01:00,-80.48277217719601
2030,sc01,01-03 01:00:00+01:00,-186.12087217719613
2030,sc01,01-03 03:00:00+01:00,-318.5370021771962
2030,sc01,01-03 05:00:00+01:00,-318.5370021771962
2030,sc01,01-03 07:00:00+01:00,175.01402782280388
2030,sc01,01-03 09:00:00+01:00,548.1867578228041
2030,sc01,01-03 11:00:00+01:00,548.1867578228041
2030,sc01,01-03 13:00:00+01:00,536.1489278228034
2030,sc01,01-03 15:00:00+01:00,500.03543782280417
2030,sc01,01-03 17:00:00+01:00,644.489397822804
2030,sc01,01-03 19:00:00+01:00,608.3759078228043
2030,sc01,01-03 21:00:00+01:00,343.5436478228046
2030,sc01,01-03 23:00:00+01:00,-113.89389217719645
2030,sc01,01-04 01:00:00+01:00,-218.057972177196
2030,sc01,01-04 03:00:00+01:00,-347.7717321771963
2030,sc01,01-04 05:00:00+01:00,-347.7717321771963
2030,sc01,01-04 07:00:00+01:00,135.70682782280414
2030,sc01,01-04 09:00:00+01:00,501.2637878228045
2030,sc01,01-04 11:00:00+01:00,501.2637878228045
2030,sc01,01-04 13:00:00+01:00,489.47162782280407
2030,sc01,01-04 15:00:00+01:00,454.09514782280417
2030,sc01,01-04 17:00:00+01:00,595.6010678228038
