Period,Scenario,LoadLevel,MW
2030,sc01,01-01 01:00:00+01:00,1485.0751500000001
2030,sc01,01-01 03:00:00+01:00,1359.414945
2030,sc01,01-01 05:00:00+01:00,1359.414945
2030,sc01,01-01 07:00:00+01:00,1827.7848
2030,sc01,01-01 09:00:00+01:00,2181.9181049999997
2030,sc01,01-01 11:00:00+01:00,2181.9181049999997
2030,sc01,01-01 13:00:00+01:00,2170.49445
2030,sc01,01-01 15:00:00+01:00,2136.223485
2030,sc01,01-01 17:00:00+01:00,2273.307345
2030,sc01,01-01 19:00:00+01:00,2239.03638
2030,sc01,01-01 21:00:00+01:00,1987.71597
2030,sc01,01-01 23:00:00+01:00,1553.61708
2030,sc01,01-02 01:00:00+01:00,1596.855
2030,sc01,01-02 03:00:00+01:00,1461.7365
2030,sc01,01-02 05:00:00+01:00,1461.7365
2030,sc01,01-02 07:00:00+01:00,1965.3600000000001
2030,sc01,01-02 09:00:00+01:00,2346.1485
2030,sc01,01-02 11:00:00+01:00,2346.1485
2030,sc01,01-02 13:00:00+01:00,2333.865
2030,sc01,01-02 15:00:00+01:00,2297.0145
2030,sc01,01-02 17:00:00+01:00,2444.4165
2030,sc01,01-02 19:00:00+01:00,2407.566
2030,sc01,01-02 21:00:00+01:00,2137.329
2030,sc01,01-02 23:00:00+01:00,1670.556
2030,sc01,01-03 01:00:00+01:00,1564.9179
2030,sc01,01-03 03:00:00+01:00,1432.5017699999999
2030,sc01,01-03 05:00:00+01:00,1432.5017699999999
2030,sc01,01-03 07:00:00+01:00,1926.0528
2030,sc01,01-03 09:00:00+01:00,2299.22553
2030,sc01,01-03 11:00:00+01:00,2299.22553
2030,sc01,01-03 13:00:00+01:00,2287.1877
2030,sc01,01-03 15:00:00+01:00,2251.0742099999998
2030,sc01,01-03 17:00:00+01:00,2395.52817
2030,sc01,01-03 19:00:00+01:00,2359.4146800000003
2030,sc01,01-03 21:00:00+01:00,2094.58242
2030,sc01,01-03 23:00:00+01:00,1637.14488
2030,sc01,01-04 01:00:00+01:00,1532.9808
2030,sc01,01-04 03:00:00+01:00,1403.2670400000002
2030,sc01,01-04 05:00:00+01:00,1403.2670400000002
2030,sc01,01-04 07:00:00+01:00,1886.7456
2030,sc01,01-04 09:00:00+01:00,2252.30256
2030,sc01,01-04 11:00:00+01:00,2252.30256
2030,sc01,01-04 13:00:00+01:00,2240.5104
2030,sc01,01-04 15:00:00+01:00,2205.13392
2030,sc01,01-04 17:00:00+01:00,2346.63984
2030,sc01,01-04 19:00:00+01:00,2311.2633600000004
2030,sc01,01-04 21:00:00+01:00,2051.83584
2030,sc01,01-04 23:00:00+01:00,1603.73376
2030,sc01,01-05 01:00:00+01:00,1501.0437
2030,sc01,01-05 03:00:00+01:00,1374.03231
2030,sc01,01-05 05:00:00+01:00,1374.03231
2030,sc01,01-05 07:00:00+01:00,1847.4384
2030,sc01,01-05 09:00:00+01:00,2205.37959
2030,sc01,01-05 11:00:00+01:00,2205.37959
2030,sc01,01-05 13:00:00+01:00,2193.8331
2030,sc01,01-05 15:00:00+01:00,2159.19363
2030,sc01,01-05 17:00:00+01:00,2297.75151
2030,sc01,01-05 19:00:00+01:00,2263.11204
2030,sc01,01-05 21:00:00+01:00,2009.08926
2030,sc01,01-05 23:00:00+01:00,1570.3226399999999
2030,sc01,01-06 01:00:00+01:00,1418.74425
2030,sc01,01-06 03:00:00+01:00,1267.41153
2030,sc01,01-06 05:00:00+01:00,1220.120055
2030,sc01,01-06 07:00:00+01:00,1286.32812
2030,sc01,01-06 09:00:00+01:00,1588.9935600000001
2030,sc01,01-06 11:00:00+01:00,1711.951395
2030,sc01,01-06 13:00:00+01:00,1683.57651
2030,sc01,01-06 15:00:00+01:00,1645.74333
2030,sc01,01-06 17:00:00+01:00,1806.534345
2030,sc01,01-06 19:00:00+01:00,1853.82582
2030,sc01,01-06 21:00:00+01:00,1759.24287
2030,sc01,01-06 23:00:00+01:00,1588.99356
2030,sc01,01-07 01:00:00+01:00,1381.89375
2030,sc01,01-07 03:00:00+01:00,1234.4917500000001
2030,sc01,01-07 05:00:00+01:00,1188.428625
2030,sc01,01-07 07:00:00+01:00,1252.917
2030,sc01,01-07 09:00:00+01:00,1547.721
2030,sc01,01-07 11:00:00+01:00,1667.4851250000002
2030,sc01,01-07 13:00:00+01:00,1639.84725
2030,sc01,01-07 15:00:00+01:00,1602.99675
2030,sc01,01-07 17:00:00+01:00,1759.611375
2030,sc01,01-07 19:00:00+01:00,1805.6745
2030,sc01,01-07 21:00:00+01:00,1713.54825
2030,sc01,01-07 23:00:00+01:00,1547.721
2030,sc01,01-08 01:00:00+01:00,1550.5425
2030,sc01,01-08 03:00:00+01:00,1419.34275
2030,sc01,01-08 05:00:00+01:00,1419.34275
2030,sc01,01-08 07:00:00+01:00,1908.3600000000001
2030,sc01,01-08 09:00:00+01:00,2278.10475
2030,sc01,01-08 11:00:00+01:00,2278.10475
2030,sc01,01-08 13:00:00+01:00,2266.1775
2030,sc01,01-08 15:00:00+01:00,2230.39575
2030,sc01,01-08 17:00:00+01:00,2373.52275
