,,,GWh-km
N_101,N_102,eac1,0.42350572749966964
N_101,N_103,eac1,-1.0894007577404492
N_101,N_105,eac1,-0.6356249768291957
N_102,N_104,eac1,-1.5678579196498155
N_102,N_106,eac1,-0.30039674454256626
N_103,N_109,eac1,-0.6114590530521018
N_103,N_124,eac1,-9.948103204342502
N_104,N_109,eac1,-2.4465657154858866
N_105,N_110,eac1,-2.300572280533515
N_106,N_110,eac1,-5.0008078641598335
N_107,N_108,eac1,5.745127094678883
N_108,N_109,eac1,-0.09653299608002702
N_108,N_110,eac1,0.42365769823240224
N_109,N_111,eac1,-7.071363449170012
N_109,N_112,eac1,-3.4274641119632276
N_110,N_111,eac1,-4.29325720228917
N_110,N_112,eac1,-10.252790028435369
N_111,N_113,eac1,-3.8818946324122323
N_111,N_114,eac1,-1.1961644017270452
N_112,N_113,eac1,-5.804069891277576
N_112,N_123,eac1,-0.9755073254595991
N_113,N_123,eac1,0.5321433838318791
N_114,N_116,eac1,-7.911944422831817
N_115,N_116,eac1,1.910878872829909
N_115,N_121,eac1,-2.1711759272527584
N_115,N_121,eac2,-2.1711759272527584
N_115,N_124,eac1,9.948103204342502
N_116,N_117,eac1,-7.301442688436135
N_116,N_119,eac1,2.683973597815445
N_117,N_118,eac1,-7.715507814986489
N_117,N_122,eac1,-1.0615565558848807
N_118,N_121,eac1,-1.128493009256604
N_118,N_121,eac2,-1.128493009256604
N_119,N_120,eac1,-0.4856975168259531
N_119,N_120,eac2,-0.4856975168259531
N_120,N_123,eac1,-2.6813721119231855
N_120,N_123,eac2,-2.6813721119231855
N_121,N_122,eac1,-2.613410193891383
