Generator,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,EnergyType,MustRun,OutflowsIncompatibility,NoOperatingReserve,BinaryInvestment,BinaryRetirement,BinaryCommitment,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumPowerHeat,MinimumPowerHeat,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,StableTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedRetirementCost,FixedChargeRate,StorageInvestment,Inertia,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp,ProductionFunctionHydro,ProductionFunctionH2,ProductionFunctionHeat,ProductionFunctionH2ToHeat
Nuclear,Node_1,Nuclear,,,,,,,,,,,2020,2050,771.6,771.6,,,,,,,,,,,300.0,300.0,10.7,12.0,,1.0,15.0,,,,,,,1.0,,,,,,,,,,,,,,,
DomesticCoal_Anthracite,Node_2,Coal,,,,,,,,,,,2020,2050,588.0,235.2,,,,,,,,,,,350.0,350.0,2.0,2.0,,0.02,2400.0,50000.0,6.0,,2.0,,,1.0,,,,,,,,,,,,,,,
BrownLignite,Node_3,Coal,,,,,,,,,,,2020,2050,203.1,81.2,,,,,,,,,,,120.0,120.0,,,,0.02,2300.0,50000.0,6.0,,2.0,,,1.0,,,,,,,,,,,,,,,
ImportedCoal_SubBituminous,Node_4,Coal,,,,,,,,,,,2020,2050,150.4,60.2,,,,,,,,,,,120.0,120.0,,,,0.02,2300.0,50000.0,6.0,,2.0,,,1.0,,,,,,,,,,,,,,,
ImportedCoal_Bituminous,Node_1,Coal,,,,,,,,,,,2020,2050,194.4,77.8,,,,,,,,,,,120.0,120.0,,,,0.02,2200.0,50000.0,6.0,,2.0,,,1.0,,,,,,,,,,,,,,,
CCGT_1,Node_2,Gas,,,,,,,,,,,2020,2050,500.0,100.0,,,,,,,,,,,500.0,500.0,,,,0.03,800.0,300000.0,6.0,,1.0,,,1.0,,,,,,,,,,,,,,,
CCGT_2,Node_3,Gas,,,,,,,,,,,2020,2050,500.0,100.0,,,,,,,,,,,500.0,500.0,,,,0.03,900.0,300000.0,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,
CCGT_3,Node_4,Gas,,,,,,,,,,,2020,2050,500.0,100.0,,,,,,,,,,,500.0,500.0,,,,0.03,1000.0,300000.0,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,
CCGT_4,Node_1,Gas,,,,,,,,,,,2020,2050,667.5,133.5,,,,,,,,,,,667.5,667.5,,,,0.03,800.0,300000.0,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,
OCGT_1,Node_2,Gas,,,,,,,,,,,2020,2050,400.0,,,,,,,,,,,,400.0,400.0,,,,0.03,2000.0,,4.0,,0.0,,,1.0,,,,,,,,,,,,,,,
OCGT_2,Node_3,Gas,,,,,,,,,,,2020,2050,400.0,,,,,,,,,,,,400.0,400.0,,,,0.03,2100.0,,4.0,,0.0,,,1.0,,,,,,,,,,,,,,,
OCGT_3,Node_4,Gas,,,,,,,,,,,2020,2050,400.0,,,,,,,,,,,,400.0,400.0,,,,0.03,2200.0,,4.0,,0.0,,,1.0,,,,,,,,,,,,,,,
FuelOilGas,Node_1,Oil,,,,,,,,,,,2020,2050,441.8,,,,,,,,,,,,441.8,441.8,,,,0.06,2000.0,,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,
WindFarm_1,Node_4,RES,,,,,,,,,,,2020,2050,450.0,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,
SolarPV_1,Node_4,RES,,,,,,,,,,,2020,2050,100.0,,,,,,,,,,,,,,,,,,,,,,,,,1e-06,,,,,,,,,,,,,,,
ESS1,Node_1,ESS,,Daily,Daily,,,,,,,,2020,2050,200.0,,,,200.0,,500.0,1000.0,,0.9,4.0,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,
HP_2,Node_2,HeatPump,,,,,No,No,Yes,No,No,No,2020,2050,0.0,0.0,50.0,0.0,16.67,,0.0,0.0,0.0,1.0,0.0,0.0,9999.0,9999.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,No,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.333,0.0
BoilerGas_3,Node_3,GasBoiler,,,,,No,No,Yes,No,No,No,2020,2050,0.0,0.0,30.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,9999.0,9999.0,1.0,1.0,0.0,0.0,32.6,0.0,1.0,0.0,0.0,0.0,0.22,1.0,0.0,0.0,0.05,No,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
CHP_4,Node_4,GasCHP,,,,,No,No,Yes,No,No,No,2020,2050,25.0,5.0,35.0,7.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,9999.0,9999.0,1.0,1.0,0.0,0.0,55.0,0.0,2.0,0.0,0.0,0.0,0.3,1.0,0.0,0.0,0.05,No,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
