Node,Zone
Nigeria States|Abia,Nigeria Zones|South_East
Nigeria States|Adamawa,Nigeria Zones|North_East
Nigeria States|Akwa Ibom,Nigeria Zones|South_South
Nigeria States|Anambra,Nigeria Zones|South_East
Nigeria States|Bauchi,Nigeria Zones|North_East
Nigeria States|Bayelsa,Nigeria Zones|South_South
Nigeria States|Benue,Nigeria Zones|North_Central
Nigeria States|Borno,Nigeria Zones|North_East
Nigeria States|Cross River,Nigeria Zones|South_South
Nigeria States|Delta,Nigeria Zones|South_South
Nigeria States|Ebonyi,Nigeria Zones|South_East
Nigeria States|Edo,Nigeria Zones|South_South
Nigeria States|Ekiti,Nigeria Zones|South_West
Nigeria States|Enugu,Nigeria Zones|South_East
Nigeria States|Federal Capital Territory,Nigeria Zones|North_Central
Nigeria States|Gombe,Nigeria Zones|North_East
Nigeria States|Imo,Nigeria Zones|South_East
Nigeria States|Jigawa,Nigeria Zones|North_West
Nigeria States|Kaduna,Nigeria Zones|North_West
Nigeria States|Kano,Nigeria Zones|North_West
Nigeria States|Katsina,Nigeria Zones|North_West
Nigeria States|Kebbi,Nigeria Zones|North_West
Nigeria States|Kogi,Nigeria Zones|North_Central
Nigeria States|Kwara,Nigeria Zones|North_Central
Nigeria States|Lagos,Nigeria Zones|South_West
Nigeria States|Nasarawa,Nigeria Zones|North_Central
Nigeria States|Niger,Nigeria Zones|North_Central
Nigeria States|Ogun,Nigeria Zones|South_West
Nigeria States|Ondo,Nigeria Zones|South_West
Nigeria States|Osun,Nigeria Zones|South_West
Nigeria States|Oyo,Nigeria Zones|South_West
Nigeria States|Plateau,Nigeria Zones|North_Central
Nigeria States|Rivers,Nigeria Zones|South_South
Nigeria States|Sokoto,Nigeria Zones|North_West
Nigeria States|Taraba,Nigeria Zones|North_East
Nigeria States|Yobe,Nigeria Zones|North_East
Nigeria States|Zamfara,Nigeria Zones|North_West
