Period,Scenario,LoadLevel,Almeria,Barcelona,Bilbao,Caceres,Cadiz,Cartagena,Lugo,Madrid,Sevilla,Valencia,Valladolid
2030,CY2015,01-01 00:00:00+01:00,0.048679301,0.389434406,0.292075805,0.097358602,0.194717204,0.194717204,0.048679301,0.389434406,0.340755106,0.243396504,0.146037902
2030,CY2015,01-01 01:00:00+01:00,0.046868102,0.374944813,0.28120861,0.093736203,0.187472406,0.187472406,0.046868102,0.374944813,0.328076711,0.234340508,0.140604305
2030,CY2015,01-01 02:00:00+01:00,0.043660488,0.349283901,0.261962926,0.087320975,0.174641951,0.174641951,0.043660488,0.349283901,0.305623414,0.218302439,0.130981463
2030,CY2015,01-01 03:00:00+01:00,0.04079961,0.32639688,0.24479766,0.08159922,0.16319844,0.16319844,0.04079961,0.32639688,0.28559727,0.20399805,0.12239883
2030,CY2015,01-01 04:00:00+01:00,0.038720837,0.309766698,0.232325024,0.077441675,0.154883349,0.154883349,0.038720837,0.309766698,0.271045861,0.193604186,0.116162512
2030,CY2015,01-01 05:00:00+01:00,0.037969588,0.303756704,0.227817527,0.075939176,0.151878352,0.151878352,0.037969588,0.303756704,0.265787115,0.18984794,0.113908764
2030,CY2015,01-01 06:00:00+01:00,0.03812614,0.30500912,0.22875684,0.07625228,0.15250456,0.15250456,0.03812614,0.30500912,0.26688298,0.1906307,0.11437842
2030,CY2015,01-01 07:00:00+01:00,0.038801689,0.310413511,0.232810133,0.077603378,0.155206755,0.155206755,0.038801689,0.310413511,0.271611822,0.194008444,0.116405066
2030,CY2015,01-01 08:00:00+01:00,0.038386034,0.307088276,0.230316207,0.076772069,0.153544139,0.153544139,0.038386034,0.307088276,0.268702242,0.191930173,0.115158104
2030,CY2015,01-01 09:00:00+01:00,0.039097091,0.312776724,0.234582543,0.078194181,0.156388362,0.156388362,0.039097091,0.312776724,0.273679634,0.195485453,0.117291272
2030,CY2015,01-01 10:00:00+01:00,0.041995501,0.335964005,0.251973004,0.083991002,0.167982003,0.167982003,0.041995501,0.335964005,0.293968505,0.209977503,0.125986502
2030,CY2015,01-01 11:00:00+01:00,0.043659598,0.349276781,0.261957586,0.087319196,0.174638391,0.174638391,0.043659598,0.349276781,0.305617184,0.218297989,0.130978793
2030,CY2015,01-01 12:00:00+01:00,0.04413782,0.353102558,0.264826919,0.088275639,0.176551279,0.176551279,0.04413782,0.353102558,0.308964738,0.220689098,0.132413459
2030,CY2015,01-01 13:00:00+01:00,0.045166622,0.36133298,0.270999734,0.090333245,0.18066649,0.18066649,0.045166622,0.36133298,0.316166357,0.225833112,0.135499868
2030,CY2015,01-01 14:00:00+01:00,0.045096744,0.360773954,0.270580465,0.090193488,0.180386977,0.180386977,0.045096744,0.360773954,0.315677209,0.225483721,0.135290233
2030,CY2015,01-01 15:00:00+01:00,0.042432688,0.3394615,0.254596125,0.084865375,0.16973075,0.16973075,0.042432688,0.3394615,0.297028813,0.212163437,0.127298063
2030,CY2015,01-01 16:00:00+01:00,0.041232776,0.329862203,0.247396652,0.082465551,0.164931102,0.164931102,0.041232776,0.329862203,0.288629428,0.206163877,0.123698327
2030,CY2015,01-01 17:00:00+01:00,0.042720306,0.341762448,0.256321836,0.085440612,0.170881224,0.170881224,0.042720306,0.341762448,0.299042142,0.21360153,0.128160918
2030,CY2015,01-01 18:00:00+01:00,0.049499391,0.39599513,0.296996348,0.098998783,0.197997566,0.197997566,0.049499391,0.39599513,0.346495739,0.247496957,0.148498174
2030,CY2015,01-01 19:00:00+01:00,0.053439909,0.427519271,0.320639453,0.106879818,0.213759635,0.213759635,0.053439909,0.427519271,0.374079362,0.267199544,0.160319726
2030,CY2015,01-01 20:00:00+01:00,0.055373954,0.442991636,0.332243727,0.110747909,0.221495818,0.221495818,0.055373954,0.442991636,0.387617681,0.276869772,0.166121864
2030,CY2015,01-01 21:00:00+01:00,0.056701965,0.453615719,0.340211789,0.11340393,0.226807859,0.226807859,0.056701965,0.453615719,0.396913754,0.283509824,0.170105895
2030,CY2015,01-01 22:00:00+01:00,0.055901534,0.447212271,0.335409203,0.111803068,0.223606136,0.223606136,0.055901534,0.447212271,0.391310738,0.279507669,0.167704601
2030,CY2015,01-01 23:00:00+01:00,0.05168981,0.413518474,0.310138856,0.103379618,0.206759237,0.206759237,0.05168981,0.413518474,0.361828665,0.258449046,0.155069428
