,,,Area1
2030,sc2015,01-01 00:00:00+01:00,254.4304788
2030,sc2015,01-01 01:00:00+01:00,244.9639442
2030,sc2015,01-01 02:00:00+01:00,228.1988154
2030,sc2015,01-01 03:00:00+01:00,213.2459617
2030,sc2015,01-01 04:00:00+01:00,202.3809093
2030,sc2015,01-01 05:00:00+01:00,198.4543794
2030,sc2015,01-01 06:00:00+01:00,199.272625
2030,sc2015,01-01 07:00:00+01:00,202.8034935
2030,sc2015,01-01 08:00:00+01:00,200.6310071
2030,sc2015,01-01 09:00:00+01:00,204.3474596
2030,sc2015,01-01 10:00:00+01:00,219.4964834
2030,sc2015,01-01 11:00:00+01:00,228.1941638
2030,sc2015,01-01 12:00:00+01:00,230.6936708
2030,sc2015,01-01 13:00:00+01:00,236.0708798
2030,sc2015,01-01 14:00:00+01:00,235.7056494
2030,sc2015,01-01 15:00:00+01:00,221.7815133
2030,sc2015,01-01 16:00:00+01:00,215.5099727
2030,sc2015,01-01 17:00:00+01:00,223.2847993
2030,sc2015,01-01 18:00:00+01:00,258.7168184
2030,sc2015,01-01 19:00:00+01:00,279.3125903
2030,sc2015,01-01 20:00:00+01:00,289.4212018
2030,sc2015,01-01 21:00:00+01:00,296.3622696
2030,sc2015,01-01 22:00:00+01:00,292.1786836
2030,sc2015,01-01 23:00:00+01:00,270.165403
2030,sc2015,01-02 00:00:00+01:00,244.9769973
2030,sc2015,01-02 01:00:00+01:00,219.5414715
2030,sc2015,01-02 02:00:00+01:00,204.9049265
2030,sc2015,01-02 03:00:00+01:00,196.8256636
2030,sc2015,01-02 04:00:00+01:00,193.960899
2030,sc2015,01-02 05:00:00+01:00,199.0925806
2030,sc2015,01-02 06:00:00+01:00,218.5481327
2030,sc2015,01-02 07:00:00+01:00,246.9836357
2030,sc2015,01-02 08:00:00+01:00,277.453646
2030,sc2015,01-02 09:00:00+01:00,305.9774307
2030,sc2015,01-02 10:00:00+01:00,323.7833196
2030,sc2015,01-02 11:00:00+01:00,319.518254
2030,sc2015,01-02 12:00:00+01:00,309.4881821
2030,sc2015,01-02 13:00:00+01:00,309.7670941
2030,sc2015,01-02 14:00:00+01:00,302.52486
2030,sc2015,01-02 15:00:00+01:00,289.6032198
2030,sc2015,01-02 16:00:00+01:00,284.5627769
2030,sc2015,01-02 17:00:00+01:00,294.0620973
2030,sc2015,01-02 18:00:00+01:00,325.2531698
2030,sc2015,01-02 19:00:00+01:00,337.2522081
2030,sc2015,01-02 20:00:00+01:00,340.1010171
2030,sc2015,01-02 21:00:00+01:00,340.3044998
2030,sc2015,01-02 22:00:00+01:00,325.9404288
2030,sc2015,01-02 23:00:00+01:00,301.0720271
2030,sc2015,01-03 00:00:00+01:00,274.0191781
2030,sc2015,01-03 01:00:00+01:00,248.7618593
2030,sc2015,01-03 02:00:00+01:00,228.4049046
2030,sc2015,01-03 03:00:00+01:00,218.7164885
2030,sc2015,01-03 04:00:00+01:00,214.0851377
2030,sc2015,01-03 05:00:00+01:00,215.1189731
2030,sc2015,01-03 06:00:00+01:00,221.6379298
2030,sc2015,01-03 07:00:00+01:00,236.4951483
2030,sc2015,01-03 08:00:00+01:00,250.9853432
2030,sc2015,01-03 09:00:00+01:00,274.7350885
2030,sc2015,01-03 10:00:00+01:00,298.9259325
2030,sc2015,01-03 11:00:00+01:00,298.8009248
2030,sc2015,01-03 12:00:00+01:00,288.9907981
2030,sc2015,01-03 13:00:00+01:00,286.6774196
2030,sc2015,01-03 14:00:00+01:00,281.5394191
2030,sc2015,01-03 15:00:00+01:00,270.13667
2030,sc2015,01-03 16:00:00+01:00,262.8064877
2030,sc2015,01-03 17:00:00+01:00,268.8014982
2030,sc2015,01-03 18:00:00+01:00,304.4039658
2030,sc2015,01-03 19:00:00+01:00,321.3422585
2030,sc2015,01-03 20:00:00+01:00,327.9633428
2030,sc2015,01-03 21:00:00+01:00,330.2148077
2030,sc2015,01-03 22:00:00+01:00,317.4764887
2030,sc2015,01-03 23:00:00+01:00,296.3001825
2030,sc2015,01-04 00:00:00+01:00,270.3382165
2030,sc2015,01-04 01:00:00+01:00,244.7257157
2030,sc2015,01-04 02:00:00+01:00,225.5932608
2030,sc2015,01-04 03:00:00+01:00,213.9843271
2030,sc2015,01-04 04:00:00+01:00,208.016355
2030,sc2015,01-04 05:00:00+01:00,209.1319115
2030,sc2015,01-04 06:00:00+01:00,212.7570064
2030,sc2015,01-04 07:00:00+01:00,220.4949435
2030,sc2015,01-04 08:00:00+01:00,227.4622637
2030,sc2015,01-04 09:00:00+01:00,244.8076104
2030,sc2015,01-04 10:00:00+01:00,266.5934493
2030,sc2015,01-04 11:00:00+01:00,271.018105
2030,sc2015,01-04 12:00:00+01:00,264.6910719
2030,sc2015,01-04 13:00:00+01:00,266.926258
2030,sc2015,01-04 14:00:00+01:00,266.6141042
2030,sc2015,01-04 15:00:00+01:00,254.1584437
2030,sc2015,01-04 16:00:00+01:00,246.6680213
2030,sc2015,01-04 17:00:00+01:00,252.9063406
2030,sc2015,01-04 18:00:00+01:00,286.3052782
2030,sc2015,01-04 19:00:00+01:00,305.4330169
2030,sc2015,01-04 20:00:00+01:00,315.7305065
2030,sc2015,01-04 21:00:00+01:00,320.8393314
2030,sc2015,01-04 22:00:00+01:00,312.4780973
2030,sc2015,01-04 23:00:00+01:00,291.8837546
2030,sc2015,01-05 00:00:00+01:00,261.7509665
2030,sc2015,01-05 01:00:00+01:00,236.9811875
2030,sc2015,01-05 02:00:00+01:00,221.0745114
2030,sc2015,01-05 03:00:00+01:00,212.6326791
2030,sc2015,01-05 04:00:00+01:00,209.4600584
2030,sc2015,01-05 05:00:00+01:00,213.4257577
2030,sc2015,01-05 06:00:00+01:00,228.9501827
2030,sc2015,01-05 07:00:00+01:00,257.3540502
2030,sc2015,01-05 08:00:00+01:00,287.1029131
2030,sc2015,01-05 09:00:00+01:00,312.7463383
2030,sc2015,01-05 10:00:00+01:00,329.3027306
2030,sc2015,01-05 11:00:00+01:00,324.4034928
2030,sc2015,01-05 12:00:00+01:00,312.7950865
2030,sc2015,01-05 13:00:00+01:00,309.5842152
2030,sc2015,01-05 14:00:00+01:00,300.59556
2030,sc2015,01-05 15:00:00+01:00,285.8619473
2030,sc2015,01-05 16:00:00+01:00,280.1460394
2030,sc2015,01-05 17:00:00+01:00,284.4210683
2030,sc2015,01-05 18:00:00+01:00,305.9866421
2030,sc2015,01-05 19:00:00+01:00,311.6776177
2030,sc2015,01-05 20:00:00+01:00,312.1823688
2030,sc2015,01-05 21:00:00+01:00,315.9474403
2030,sc2015,01-05 22:00:00+01:00,304.8717593
2030,sc2015,01-05 23:00:00+01:00,287.6360127
2030,sc2015,01-06 00:00:00+01:00,265.6247533
2030,sc2015,01-06 01:00:00+01:00,240.6585081
2030,sc2015,01-06 02:00:00+01:00,222.2076194
2030,sc2015,01-06 03:00:00+01:00,209.3183429
2030,sc2015,01-06 04:00:00+01:00,204.0234675
2030,sc2015,01-06 05:00:00+01:00,203.5746616
2030,sc2015,01-06 06:00:00+01:00,207.1916136
2030,sc2015,01-06 07:00:00+01:00,215.3337769
2030,sc2015,01-06 08:00:00+01:00,220.4706919
2030,sc2015,01-06 09:00:00+01:00,235.0003931
2030,sc2015,01-06 10:00:00+01:00,257.2357492
2030,sc2015,01-06 11:00:00+01:00,266.525615
2030,sc2015,01-06 12:00:00+01:00,264.4857109
2030,sc2015,01-06 13:00:00+01:00,264.0016896
2030,sc2015,01-06 14:00:00+01:00,259.7948354
2030,sc2015,01-06 15:00:00+01:00,245.3268096
2030,sc2015,01-06 16:00:00+01:00,238.4749116
2030,sc2015,01-06 17:00:00+01:00,243.1862956
2030,sc2015,01-06 18:00:00+01:00,273.4597104
2030,sc2015,01-06 19:00:00+01:00,290.6776298
2030,sc2015,01-06 20:00:00+01:00,301.0883638
2030,sc2015,01-06 21:00:00+01:00,311.1426534
2030,sc2015,01-06 22:00:00+01:00,305.9203661
2030,sc2015,01-06 23:00:00+01:00,284.6356713
2030,sc2015,01-07 00:00:00+01:00,257.6084963
2030,sc2015,01-07 01:00:00+01:00,234.9094981
2030,sc2015,01-07 02:00:00+01:00,219.6760684
2030,sc2015,01-07 03:00:00+01:00,213.6261167
2030,sc2015,01-07 04:00:00+01:00,213.4659105
2030,sc2015,01-07 05:00:00+01:00,219.6671293
2030,sc2015,01-07 06:00:00+01:00,246.994021
2030,sc2015,01-07 07:00:00+01:00,290.4656471
2030,sc2015,01-07 08:00:00+01:00,331.0708071
2030,sc2015,01-07 09:00:00+01:00,354.4073259
2030,sc2015,01-07 10:00:00+01:00,369.4674725
2030,sc2015,01-07 11:00:00+01:00,371.1156862
2030,sc2015,01-07 12:00:00+01:00,364.4468951
2030,sc2015,01-07 13:00:00+01:00,361.2613881
2030,sc2015,01-07 14:00:00+01:00,346.4440501
2030,sc2015,01-07 15:00:00+01:00,334.5575927
2030,sc2015,01-07 16:00:00+01:00,330.1942754
2030,sc2015,01-07 17:00:00+01:00,336.3673328
2030,sc2015,01-07 18:00:00+01:00,365.4291546
2030,sc2015,01-07 19:00:00+01:00,381.9129552
2030,sc2015,01-07 20:00:00+01:00,384.4831958
2030,sc2015,01-07 21:00:00+01:00,376.1880301
2030,sc2015,01-07 22:00:00+01:00,347.8359087
2030,sc2015,01-07 23:00:00+01:00,317.4893546
2030,sc2015,01-08 00:00:00+01:00,285.0142983
2030,sc2015,01-08 01:00:00+01:00,258.7978725
2030,sc2015,01-08 02:00:00+01:00,244.7196825
2030,sc2015,01-08 03:00:00+01:00,238.4718763
2030,sc2015,01-08 04:00:00+01:00,236.8149719
2030,sc2015,01-08 05:00:00+01:00,242.3576614
2030,sc2015,01-08 06:00:00+01:00,266.8105398
2030,sc2015,01-08 07:00:00+01:00,317.1259515
2030,sc2015,01-08 08:00:00+01:00,357.8344063
2030,sc2015,01-08 09:00:00+01:00,368.5561032
2030,sc2015,01-08 10:00:00+01:00,376.9145571
2030,sc2015,01-08 11:00:00+01:00,371.4177133
2030,sc2015,01-08 12:00:00+01:00,360.8567467
2030,sc2015,01-08 13:00:00+01:00,356.6315823
2030,sc2015,01-08 14:00:00+01:00,340.948234
2030,sc2015,01-08 15:00:00+01:00,334.1832837
2030,sc2015,01-08 16:00:00+01:00,329.389549
2030,sc2015,01-08 17:00:00+01:00,337.2386719
2030,sc2015,01-08 18:00:00+01:00,368.5386707
2030,sc2015,01-08 19:00:00+01:00,385.7434724
2030,sc2015,01-08 20:00:00+01:00,388.0796359
2030,sc2015,01-08 21:00:00+01:00,380.2114302
2030,sc2015,01-08 22:00:00+01:00,351.2700975
2030,sc2015,01-08 23:00:00+01:00,317.9631471
2030,sc2015,01-09 00:00:00+01:00,286.9137833
