,,,Area1
2030,sc2015,01-01 00:00:00+01:00,381.6457181
2030,sc2015,01-01 01:00:00+01:00,367.4459163
2030,sc2015,01-01 02:00:00+01:00,342.2982231
2030,sc2015,01-01 03:00:00+01:00,319.8689426
2030,sc2015,01-01 04:00:00+01:00,303.571364
2030,sc2015,01-01 05:00:00+01:00,297.6815691
2030,sc2015,01-01 06:00:00+01:00,298.9089375
2030,sc2015,01-01 07:00:00+01:00,304.2052403
2030,sc2015,01-01 08:00:00+01:00,300.9465106
2030,sc2015,01-01 09:00:00+01:00,306.5211894
2030,sc2015,01-01 10:00:00+01:00,329.2447251
2030,sc2015,01-01 11:00:00+01:00,342.2912456
2030,sc2015,01-01 12:00:00+01:00,346.0405062
2030,sc2015,01-01 13:00:00+01:00,354.1063196
2030,sc2015,01-01 14:00:00+01:00,353.5584741
2030,sc2015,01-01 15:00:00+01:00,332.67227
2030,sc2015,01-01 16:00:00+01:00,323.2649591
2030,sc2015,01-01 17:00:00+01:00,334.927199
2030,sc2015,01-01 18:00:00+01:00,388.0752276
2030,sc2015,01-01 19:00:00+01:00,418.9688854
2030,sc2015,01-01 20:00:00+01:00,434.1318028
2030,sc2015,01-01 21:00:00+01:00,444.5434044
2030,sc2015,01-01 22:00:00+01:00,438.2680254
2030,sc2015,01-01 23:00:00+01:00,405.2481044
2030,sc2015,01-02 00:00:00+01:00,367.4654959
2030,sc2015,01-02 01:00:00+01:00,329.3122072
2030,sc2015,01-02 02:00:00+01:00,307.3573897
2030,sc2015,01-02 03:00:00+01:00,295.2384954
2030,sc2015,01-02 04:00:00+01:00,290.9413485
2030,sc2015,01-02 05:00:00+01:00,298.6388709
2030,sc2015,01-02 06:00:00+01:00,327.822199
2030,sc2015,01-02 07:00:00+01:00,370.4754535
2030,sc2015,01-02 08:00:00+01:00,416.180469
2030,sc2015,01-02 09:00:00+01:00,458.966146
2030,sc2015,01-02 10:00:00+01:00,485.6749794
2030,sc2015,01-02 11:00:00+01:00,479.277381
2030,sc2015,01-02 12:00:00+01:00,464.2322731
2030,sc2015,01-02 13:00:00+01:00,464.6506412
2030,sc2015,01-02 14:00:00+01:00,453.7872901
2030,sc2015,01-02 15:00:00+01:00,434.4048297
2030,sc2015,01-02 16:00:00+01:00,426.8441654
2030,sc2015,01-02 17:00:00+01:00,441.0931459
2030,sc2015,01-02 18:00:00+01:00,487.8797547
2030,sc2015,01-02 19:00:00+01:00,505.8783122
2030,sc2015,01-02 20:00:00+01:00,510.1515256
2030,sc2015,01-02 21:00:00+01:00,510.4567497
2030,sc2015,01-02 22:00:00+01:00,488.9106432
2030,sc2015,01-02 23:00:00+01:00,451.6080406
2030,sc2015,01-03 00:00:00+01:00,411.0287672
2030,sc2015,01-03 01:00:00+01:00,373.142789
2030,sc2015,01-03 02:00:00+01:00,342.6073569
2030,sc2015,01-03 03:00:00+01:00,328.0747328
2030,sc2015,01-03 04:00:00+01:00,321.1277066
2030,sc2015,01-03 05:00:00+01:00,322.6784597
2030,sc2015,01-03 06:00:00+01:00,332.4568946
2030,sc2015,01-03 07:00:00+01:00,354.7427225
2030,sc2015,01-03 08:00:00+01:00,376.4780147
2030,sc2015,01-03 09:00:00+01:00,412.1026328
2030,sc2015,01-03 10:00:00+01:00,448.3888988
2030,sc2015,01-03 11:00:00+01:00,448.2013871
2030,sc2015,01-03 12:00:00+01:00,433.4861971
2030,sc2015,01-03 13:00:00+01:00,430.0161294
2030,sc2015,01-03 14:00:00+01:00,422.3091287
2030,sc2015,01-03 15:00:00+01:00,405.205005
2030,sc2015,01-03 16:00:00+01:00,394.2097316
2030,sc2015,01-03 17:00:00+01:00,403.2022472
2030,sc2015,01-03 18:00:00+01:00,456.6059488
2030,sc2015,01-03 19:00:00+01:00,482.0133878
2030,sc2015,01-03 20:00:00+01:00,491.9450141
2030,sc2015,01-03 21:00:00+01:00,495.3222115
2030,sc2015,01-03 22:00:00+01:00,476.214733
2030,sc2015,01-03 23:00:00+01:00,444.4502738
2030,sc2015,01-04 00:00:00+01:00,405.5073247
2030,sc2015,01-04 01:00:00+01:00,367.0885735
2030,sc2015,01-04 02:00:00+01:00,338.3898912
2030,sc2015,01-04 03:00:00+01:00,320.9764906
2030,sc2015,01-04 04:00:00+01:00,312.0245326
2030,sc2015,01-04 05:00:00+01:00,313.6978672
2030,sc2015,01-04 06:00:00+01:00,319.1355096
2030,sc2015,01-04 07:00:00+01:00,330.7424153
2030,sc2015,01-04 08:00:00+01:00,341.1933956
2030,sc2015,01-04 09:00:00+01:00,367.2114156
2030,sc2015,01-04 10:00:00+01:00,399.890174
2030,sc2015,01-04 11:00:00+01:00,406.5271576
2030,sc2015,01-04 12:00:00+01:00,397.0366079
2030,sc2015,01-04 13:00:00+01:00,400.3893869
2030,sc2015,01-04 14:00:00+01:00,399.9211562
2030,sc2015,01-04 15:00:00+01:00,381.2376656
2030,sc2015,01-04 16:00:00+01:00,370.0020319
