,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
Nuclear1,ES523,Nuclear,,Yes,500,500,,,,,,,,,,,1,5,,20,10,,,,,,,
Nuclear2,ES432,Nuclear,,Yes,500,500,,,,,,,,,,,1,5,,20,10,,,,,,,
Coal1,ES611,Coal_Subbituminous,,,650,260,,,,,,,250,250,24,24,1,50,1000,5,0.06,,1,,,,,
Coal2,ES112,Coal_Subbituminous,,,650,260,,,,,,,250,250,24,24,1,50,1000,5,0.06,,1,,,,,
CCGT1,ES21,CCGT,,,390,150,,,,,,,250,250,6,6,1,60,300,3,0.02,,1,,,,,
CCGT2,ES511,CCGT,,,380,155,,,,,,,250,250,6,6,1,58,300,3,0.02,,0.5,,,,,
CCGT3,ES511,CCGT,,,820,320,,,,,,,250,250,6,6,1,57,1000,3,0.04,,0.5,,,,,
CCGT4,ES612,CCGT,,,790,310,,,,,,,250,250,6,6,1,57,1000,3,0.04,,0.5,,,,,
CCGT5,ES620,CCGT,,,390,160,,,,,,,250,250,6,6,1,58,300,3,0.02,,0.5,,,,,
CCGT6,ES620,CCGT,,,370,150,,,,,,,250,250,6,6,1,58,300,3,0.02,,0.5,,,,,
CCGT7,ES112,CCGT,,,820,320,,,,,,,250,250,6,6,1,57,1000,3,0.04,,0.5,,,,,
Cogeneration1,ES300,Cogeneration,,,240,,,,,,,,,,,,,,,,,,,,,,,
Cogeneration2,ES511,Cogeneration,,,245,,,,,,,,,,,,,,,,,,,,,,,
SolarPV1,ES300,Solar_PV,,,400,,,,,,,,,,,,,,,,,,,,,,,
SolarPV2,ES612,Solar_PV,,,500,,,,,,,,,,,,,,,,,,,,,,,
SolarPV3,ES618,Solar_PV,,,400,,,,,,,,,,,,,,,,,,,,,,,
SolarPV4,ES620,Solar_PV,,,500,,,,,,,,,,,,,,,,,,,,,,,
SolarPV5,ES611,Solar_PV,,,400,,,,,,,,,,,,,,,,,,,,,,,
SolarPV6,ES523,Solar_PV,,,500,,,,,,,,,,,,,,,,,,,,,,,
Wind1,ES112,Onshore_wind,,,700,,,,,,,,,,,,,,,,,,,,,,,
Wind2,ES612,Onshore_wind,,,700,,,,,,,,,,,,,,,,,,,,,,,
Wind3,ES523,Onshore_wind,,,900,,,,,,,,,,,,,,,,,,,,,,,
Wind4,ES511,Onshore_wind,,,1000,,,,,,,,,,,,,,,,,,,,,,,
Wind5,ES418,Onshore_wind,,,900,,,,,,,,,,,,,,,,,,,,,,,
CL_PSH1,ES432,Pure_PumpedStorage_Hydro,Daily,,300,,300,150,300,,0.7,,,,,,,,,,,,,,,,,
CL_PSH2,ES618,Pure_PumpedStorage_Hydro,Daily,,200,,200,100,200,,0.7,,,,,,,,,,,,,,,,,
OL_PSH1,ES418,PumpedStorage_Hydro,Weekly,,800,,700,600,900,200,0.71,,,,,,,,,,,,,,,,,
OL_PSH2,ES432,PumpedStorage_Hydro,Weekly,,800,,700,500,850,150,0.71,,,,,,,,,,,,,,,,,
Hydro1,ES432,Hydro_UGH,Weekly,,630,,,500,900,100,,,,,,,,,,,,,,,,,,
Hydro2,ES511,Hydro_UGH,Weekly,,380,,,200,250,100,,,,,,,,,,,,,,,,,,
