Scenario,Period,LoadLevel,ES112,ES21,ES300,ES418,ES432,ES511,ES523,ES611,ES612,ES618,ES620
sc2015,y2030,2030-01-01T03:00:00+01:00,67.46951219512192,67.46951219512195,67.46951219512195,67.46951219512192,67.46951219512195,67.46951219512195,67.46951219512195,67.46951219512195,67.46951219512192,67.46951219512192,67.46951219512195
sc2015,y2030,2030-01-01T07:00:00+01:00,66.25,66.25,66.25000000000001,66.25,66.25000000000001,66.25,66.25,66.25,66.24999999999991,66.24999999999991,66.25
sc2015,y2030,2030-01-01T11:00:00+01:00,66.25,66.25,66.24999999999999,66.25,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997
sc2015,y2030,2030-01-01T15:00:00+01:00,48.621955371908484,48.62195537190853,48.62195537190854,48.621955371908484,48.62195537190852,48.62195537190853,48.62195537190852,48.62195537190852,48.62195537190852,48.62195537190851,48.62195537190852
sc2015,y2030,2030-01-01T19:00:00+01:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437816,68.48162728437816,68.48162728437813,68.48162728437813,68.48162728437816
sc2015,y2030,2030-01-01T23:00:00+01:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-01-02T03:00:00+01:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-01-02T07:00:00+01:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437816,68.48162728437816,68.48162728437813,68.48162728437813,68.48162728437816
sc2015,y2030,2030-01-02T11:00:00+01:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437815
sc2015,y2030,2030-01-02T15:00:00+01:00,66.25,66.25,66.25000000000001,66.25,66.25000000000001,66.25,66.25,66.25,66.24999999999991,66.24999999999991,66.25
sc2015,y2030,2030-01-02T19:00:00+01:00,68.48162728437815,68.48162728437809,68.48162728437816,68.48162728437815,68.48162728437815,68.48162728437809,68.48162728437815,68.48162728437815,68.48162728437818,68.48162728437818,68.48162728437815
sc2015,y2030,2030-01-02T23:00:00+01:00,68.48162728437815,68.60651044291963,69.03449207529746,68.48162728437815,68.48162728437819,68.92169174781003,69.05533956307603,69.24995568883917,69.429207383621,69.45993624558359,69.18849796491396
sc2015,y2030,2030-01-03T03:00:00+01:00,68.48162728437826,68.48162728437822,68.48162728437822,68.48162728437826,68.48162728437819,68.48162728437822,68.48162728437822,68.48162728437822,68.48162728437818,68.48162728437818,68.48162728437822
sc2015,y2030,2030-01-03T07:00:00+01:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437816,68.48162728437816,68.48162728437813,68.48162728437813,68.48162728437816
sc2015,y2030,2030-01-03T11:00:00+01:00,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437816,68.48162728437816,68.48162728437813,68.48162728437813,68.48162728437816
sc2015,y2030,2030-01-03T15:00:00+01:00,60.41234015779122,60.41234015779118,60.41234015779119,60.41234015779122,60.41234015779119,60.41234015779118,60.412340157791185,60.412340157791185,60.412340157791185,60.412340157791185,60.412340157791185
sc2015,y2030,2030-01-03T19:00:00+01:00,68.48162728437815,68.48162728437813,68.48162728437815,68.48162728437815,68.48162728437815,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437813,68.48162728437813
sc2015,y2030,2030-01-03T23:00:00+01:00,68.48162728437815,68.48162728437808,68.48162728437809,68.48162728437815,68.48162728437819,68.48162728437808,68.48162728437806,68.48162728437806,68.48162728437809,68.48162728437809,68.48162728437806
sc2015,y2030,2030-01-04T03:00:00+01:00,68.48162728437826,68.48162728437822,68.48162728437822,68.48162728437826,68.48162728437819,68.48162728437822,68.48162728437822,68.48162728437822,68.48162728437818,68.48162728437818,68.48162728437822
sc2015,y2030,2030-01-04T07:00:00+01:00,66.25,66.25,66.25000000000001,66.25,66.25000000000001,66.25,66.25,66.25,66.24999999999991,66.24999999999991,66.25
sc2015,y2030,2030-01-04T11:00:00+01:00,66.25,66.25,66.24999999999999,66.25,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997,66.24999999999997
sc2015,y2030,2030-01-04T15:00:00+01:00,48.621955371908484,48.62195537190847,48.62195537190848,48.621955371908484,48.62195537190848,48.62195537190847,48.62195537190847,48.62195537190847,48.62195537190846,48.62195537190846,48.62195537190847
