InitialNode,,,ES112,ES112,ES21,ES21,ES21,ES300,ES300,ES300,ES432,ES432,ES432,ES432,ES432,ES432,ES432,ES511,ES511,ES523,ES523,ES523,ES611,ES611,ES612,ES612,ES618,ES618,ES620,ES620
FinalNode,,,ES418,ES418,ES418,ES418,ES511,ES21,ES418,ES418,ES300,ES300,ES418,ES418,ES618,ES618,ES618,ES300,ES523,ES300,ES300,ES300,ES612,ES620,ES618,ES618,ES300,ES418,ES523,ES523
Circuit,,,ac1,ac2,ac1,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,cac1,ac1,ac2,cac1,ac1,ac1,ac1,ac2,cac1,ac1,ac1,ac1,cac1,ac1,cac1,ac1,cac1
sc2015,y2030,2030-01-01T03:00:00+01:00,192.83108321841203,192.83108321841203,-187.19712577796426,0,-244.82087427203575,0,-99.40303221240715,0,22.542007258199938,0,-14.734129821452724,0,174.0930612691264,174.0930612691264,0,193.1547751250855,182.40259539172564,120.40975759122286,120.40975759122286,0,-39.026699015720865,-32.97630098427911,23.55921931680377,23.55921931680377,-108.71643887813964,0,-320.98830098427914,0
sc2015,y2030,2030-01-01T07:00:00+01:00,179.88877433216211,179.88877433216211,-203.17562683200683,0,-165.5081826429931,0,-90.151173954787,0,48.823188188014676,0,15.016497954969566,0,156.6328553410079,156.6328553410079,0,105.41621894460252,72.04919295150086,95.79180783629381,95.79180783629381,0,-46.84067254208646,-14.606629030413544,22.57395420399594,22.573954203995996,-71.71749190999243,0,-260.33486952966354,0
sc2015,y2030,2030-01-01T11:00:00+01:00,100.56391783526486,100.56391783526486,-256.8071097948241,0,-134.72462620517584,0,81.37192769590501,0,69.87013065242498,0,100.3846035383894,0,99.61734357959284,99.61734357959284,0,14.54703303456889,-98.11124777127672,131.4027007133386,131.4027007133386,0,51.33782392004604,20.313387096954017,55.262822397024124,55.262822397024124,-10.120192919766124,0,-90.11061977754603,0
sc2015,y2030,2030-01-01T15:00:00+01:00,62.95229893526444,62.95229893526444,-233.89910861188898,0,-190.50218833811098,0,402.0,0,48.34016079379505,0,199.09016079379504,0,5.207333844431783,5.207333844431783,0,6.80631511453228,-198.47640310917538,228.35652530910477,228.35652530910477,0,174.22020399511507,41.730082877384945,185.5682439380585,185.5682439380586,40.32841329846326,0,74.14810492738488,0
sc2015,y2030,2030-01-01T19:00:00+01:00,147.44379028591214,147.44379028591214,-239.69791291120063,0,-208.84380276379926,0,-26.297545852768557,0,143.14045302193324,0,133.27887332714494,0,225.25777798500414,225.25777798500414,0,119.82331935055413,105.0901870064076,83.51498063609696,83.51498063609696,0,-48.18578780328636,19.808419946786394,-5.029775274728976,-5.029775274729031,-36.46307802594989,0,-228.20184719371366,0
sc2015,y2030,2030-01-01T23:00:00+01:00,150.19237944716212,150.19237944716212,-365.04484033860393,0,-162.15658938639586,0,-282.24689408503184,0,244.84684213311257,0,139.00425685122542,0,370.207545557831,370.207545557831,0,81.42113810167324,118.88618698269194,4.821992968576938,4.821992968576938,0,-129.77412129446208,41.90721635446204,-88.24905301131675,-88.2490530113168,-51.151349606971706,0,-309.560403420538,0
sc2015,y2030,2030-01-02T03:00:00+01:00,156.89490444466202,156.89490444466202,-196.89207208058406,0,-200.87535294441565,0,-151.29137174846218,0,29.835339382309645,0,-26.898925023363663,0,182.23722195802705,182.23722195802705,0,157.1161632706285,161.7475556057172,83.31225647322532,83.31225647322532,0,-39.90871324573375,-26.38585760926626,-4.255322794452621,-4.255322794452676,-108.09819744785132,0,-291.5641409092663,0
sc2015,y2030,2030-01-02T07:00:00+01:00,157.61419286341206,157.61419286341206,-177.66265440189727,0,-216.58567377310246,0,-58.132563510871925,0,68.46447060252187,0,46.66475928594488,0,195.32145191268458,195.32145191268458,0,159.3531269748123,159.31848332284648,89.67402541766961,89.67402541766961,0,-47.84554205299302,-17.862512637007,-6.593184661957297,-6.593184661957297,-82.49984829854567,0,-280.6317515372571,0
sc2015,y2030,2030-01-02T11:00:00+01:00,135.21301875591206,135.21301875591206,-383.1321610985684,0,-180.16344365143112,0,-255.66655234119114,0,31.80922798804603,0,-64.06572913990061,0,172.24564977592726,172.24564977592726,0,86.24312751981527,61.09775097451487,76.01451482631838,76.01451482631838,0,18.086508479377816,26.34470151662216,37.75095334472795,37.75095334472795,-98.87118853018956,0,-197.040509780128,0
sc2015,y2030,2030-01-02T15:00:00+01:00,119.27351145341203,119.27351145341203,-320.2443738737394,0,-236.00308560126015,0,192.27066490774646,0,63.696446366263814,0,135.7979457066688,0,57.54489405103364,57.54489405103364,0,65.58082465330762,-52.39486109322017,165.92512015275028,165.92512015275028,0,107.40793694377804,68.94676988872189,140.14603989030306,140.14603989030306,15.48911538267339,0,-5.915991286278343,0
sc2015,y2030,2030-01-02T19:00:00+01:00,123.90797858341207,123.90797858341207,-402.0,0,-167.90674847499955,0,-215.51337651312411,0,297.81375147896614,0,216.99623528654456,0,402.0,402.0,0,57.41921108174458,99.16685654358737,-13.363180990409173,-13.363180990409173,0,-125.96027569559476,69.62115811359476,-102.04792347450842,-102.04792347450831,-26.34171293351667,0,-267.80679959165553,0
sc2015,y2030,2030-01-02T23:00:00+01:00,122.21270334466206,122.21270334466206,-378.46629259578117,0,-221.87869492921837,0,-402.0,0,190.43867763506418,0,39.68867763506412,0,402.0,402.0,0,162.93922050447495,264.08505126456816,-18.97494086008478,-18.97494086008478,0,-121.79582026526248,21.73832234026246,-130.52546804421726,-130.52546804421718,-124.51320901936997,0,-378.49166930973763,0
sc2015,y2030,2030-01-03T03:00:00+01:00,138.67368522966206,138.67368522966206,-240.53543995511475,0,-204.82792104488487,0,-44.52547585476163,0,199.27689557608787,0,182.57984213055235,0,301.3280536107227,301.3280536107227,0,119.6026657845024,142.94844820387397,41.7420499825949,41.7420499825949,0,-95.87085877131591,21.64363192381591,-62.35659878849387,-62.35659878849387,-41.64767815554221,0,-275.2652754011842,0
sc2015,y2030,2030-01-03T07:00:00+01:00,153.48430838216208,153.48430838216208,-183.46736094490169,0,-223.98338913009798,0,-43.90858689870703,0,74.36218273379986,0,57.89646264678472,0,209.7140600965002,209.7140600965002,0,161.2303412610706,169.70584102959296,81.42198908753102,81.42198908753102,0,-51.666682994969236,-16.241775367530742,-15.934108993320484,-15.934108993320484,-87.79930614364024,0,-287.81235669853083,0
sc2015,y2030,2030-01-03T11:00:00+01:00,150.69993116466208,150.69993116466208,-270.32638674488544,0,-245.5422664301143,0,63.49916372849229,0,63.43116444138464,0,87.24335083956925,0,134.51055255056576,134.51055255056576,0,124.05464215870853,64.29806198193866,135.13949578261563,135.13949578261563,0,30.479651829957323,26.618706390792667,73.91063628026784,73.91063628026778,-41.92791726258294,0,-159.90961525045745,0
sc2015,y2030,2030-01-03T15:00:00+01:00,60.606926899014425,60.606926899014425,-346.9270876858905,0,-170.73101241410927,0,241.99065998187885,0,77.58017703527842,0,168.32667452848293,0,40.770224205619265,40.770224205619265,0,-21.521001947895414,-197.71555129774555,180.60722475570745,180.60722475570745,0,130.7143117733395,69.71351295916057,138.16691111092072,138.16691111092072,40.64399530808027,0,39.982705134160526,0
sc2015,y2030,2030-01-03T19:00:00+01:00,166.00323453841204,166.00323453841204,-304.1835847926912,0,-227.25457303230863,0,-51.25573136939454,0,196.67097074469908,0,177.45007148117608,0,289.3664525870624,289.3664525870624,0,118.33407295280341,113.50524538564966,71.84444618752639,71.84444618752639,0,-76.95070434240347,36.14203268140348,-20.81527643203751,-20.81527643203751,-35.14447724095015,0,-265.6092824145966,0
