Scenario,Period,LoadLevel,CCGT,Coal_Subbituminous,Cogeneration,Hydro_UGH,Nuclear,Onshore_wind,PumpedStorage_Hydro,Pure_PumpedStorage_Hydro,Solar_PV
sc2015,y2030,2030-01-01T03:00:00+01:00,1300.1063575249996,0.0,260.422529975,0.0,1000.0,967.6181127,0.0,0.0,0.0
sc2015,y2030,2030-01-01T07:00:00+01:00,997.400807625249,0.0,257.391366,0.0,1000.0,755.9427061425,0.0,0.0,0.18289740225
sc2015,y2030,2030-01-01T11:00:00+01:00,561.3092973024998,0.0,261.60366112500003,0.0,1000.0,512.08526621,0.0,0.0,862.5109522574999
sc2015,y2030,2030-01-01T15:00:00+01:00,496.67788558749885,0.0,260.777339125,0.0,1000.0,482.381458575,0.0,0.0,1806.1081691250001
sc2015,y2030,2030-01-01T19:00:00+01:00,1271.5875097319135,0.0,266.54130575000005,376.44878756908645,1000.0,456.3216903800001,0.0,0.0,292.1913840390001
sc2015,y2030,2030-01-01T23:00:00+01:00,1271.5875097319135,0.0,274.789149725,0.0,1000.0,564.4072493350001,1194.6944335880862,0.0,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,1271.5875097319135,0.0,270.0579343250001,0.0,1000.0,516.9649281625,189.8235986155856,0.0,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,1271.5875097319135,0.0,288.81558830000006,137.1882431138358,1000.0,521.9143992099999,0.0,0.0,0.18893954925009043
sc2015,y2030,2030-01-02T11:00:00+01:00,1271.5875097319135,0.0,375.75208102500005,0.0,1000.0,425.3264127599999,656.2044271278359,0.0,871.3770078202501
sc2015,y2030,2030-01-02T15:00:00+01:00,1233.6974129249998,0.0,380.57245250000005,0.0,1000.0,233.32323425999994,0.0,0.0,1695.0944854499999
sc2015,y2030,2030-01-02T19:00:00+01:00,1271.5875097319135,0.0,411.49732967500006,230.52378392258106,1000.0,300.3889169524999,1196.7752599572555,0.0,243.46564518074968
sc2015,y2030,2030-01-02T23:00:00+01:00,1271.5875097319135,0.0,419.5697444,1010.0,1000.0,310.1622026899999,858.5577288840212,32.940212569064364,0.0
