Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-01T15:00:00+01:00,-901.635289876469
sc01,y2030,2030-01-02T07:00:00+01:00,-566.1333091815304
sc01,y2030,2030-01-02T23:00:00+01:00,328.33193023046806
sc01,y2030,2030-01-03T15:00:00+01:00,-32.06849490596687
sc01,y2030,2030-01-04T07:00:00+01:00,-140.04972665234163
sc01,y2030,2030-01-04T23:00:00+01:00,717.7014997471506
sc01,y2030,2030-01-05T15:00:00+01:00,-272.1201949124734
sc01,y2030,2030-01-06T07:00:00+01:00,-444.5518816549047
sc01,y2030,2030-01-06T23:00:00+01:00,-422.65266403140777
sc01,y2030,2030-01-07T15:00:00+01:00,-148.20526923828402
sc01,y2030,2030-01-08T07:00:00+01:00,-78.63606358853212
sc01,y2030,2030-01-08T23:00:00+01:00,772.4246110156546
sc01,y2030,2030-01-09T15:00:00+01:00,-32.06849490597051
sc01,y2030,2030-01-10T07:00:00+01:00,-58.2871658006552
sc01,y2030,2030-01-10T23:00:00+01:00,772.4246110156546
sc01,y2030,2030-01-11T15:00:00+01:00,-148.2052692382822
sc01,y2030,2030-01-12T07:00:00+01:00,-95.72602416502923
sc01,y2030,2030-01-12T23:00:00+01:00,328.33193023046806
sc01,y2030,2030-01-13T15:00:00+01:00,-901.5233616477253
sc01,y2030,2030-01-14T07:00:00+01:00,-630.8059094567252
sc01,y2030,2030-01-14T23:00:00+01:00,717.7014997471524
sc01,y2030,2030-01-15T15:00:00+01:00,-32.06849490597051
sc01,y2030,2030-01-16T07:00:00+01:00,-58.28716580065884
sc01,y2030,2030-01-16T23:00:00+01:00,772.4246110156528
sc01,y2030,2030-01-17T15:00:00+01:00,-32.06849490597051
sc01,y2030,2030-01-18T07:00:00+01:00,-140.04972665235073
sc01,y2030,2030-01-18T23:00:00+01:00,717.7014997471488
sc01,y2030,2030-01-19T15:00:00+01:00,-272.12019491248066
sc01,y2030,2030-01-20T07:00:00+01:00,-444.5518816549102
sc01,y2030,2030-01-20T23:00:00+01:00,-422.6526640314132
sc01,y2030,2030-01-21T15:00:00+01:00,-148.20526923828766
sc01,y2030,2030-01-22T07:00:00+01:00,-78.63606358853576
sc01,y2030,2030-01-22T23:00:00+01:00,772.4246110156473
sc01,y2030,2030-01-23T15:00:00+01:00,-32.06849490597415
sc01,y2030,2030-01-24T07:00:00+01:00,-58.28716580065884
sc01,y2030,2030-01-24T23:00:00+01:00,772.4246110156473
sc01,y2030,2030-01-25T15:00:00+01:00,-148.20526923828947
sc01,y2030,2030-01-26T07:00:00+01:00,-95.72602416502923
sc01,y2030,2030-01-26T23:00:00+01:00,328.3319302304608
sc01,y2030,2030-01-27T15:00:00+01:00,-901.5233616477253
sc01,y2030,2030-01-28T07:00:00+01:00,-630.8059094567288
sc01,y2030,2030-01-28T23:00:00+01:00,717.7014997471433
sc01,y2030,2030-01-29T15:00:00+01:00,-32.06849490597233
sc01,y2030,2030-01-30T07:00:00+01:00,-58.28716580066066
sc01,y2030,2030-01-30T23:00:00+01:00,772.4246110156473
sc01,y2030,2030-01-31T15:00:00+01:00,-32.06849490597415
