Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,CL_PSH1,CL_PSH2,Coal1,Coal2,Hydro1,Hydro2,Nuclear1,Nuclear2,OL_PSH1,OL_PSH2
sc2015,y2030,2030-01-01T01:00:00+01:00,0.0,0.0,500.0,114.57186849458284,0.0,0.0,267.8694347678857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,407.4652500727639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.0,0.0,214.66928422149294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,334.20095462893744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.63346728400019,0.0
sc2015,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,334.20095462893744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T17:00:00+01:00,0.0,0.0,334.20095462893744,114.57186849458284,0.0,0.0,131.13960899565555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.62938968999929
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,0.0,0.0,0.0,467.93991894424505,0.0
sc2015,y2030,2030-01-01T21:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.66926644168223,0.0,0.0,0.0,438.669679485563,800.0
sc2015,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361.6678179272447,800.0
sc2015,y2030,2030-01-02T01:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,479.0719900922439
sc2015,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.19310381724414,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.81746666624457,0.0
sc2015,y2030,2030-01-02T09:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239.78968739674437,800.0
sc2015,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.2370635372451,0.0
sc2015,y2030,2030-01-02T13:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5994038622443,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-02T17:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.83712118724483,800.0
sc2015,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,91.64494501953163,0.0,0.0,630.0,379.99999999999994,0.0,0.0,800.0,148.73391823121185
sc2015,y2030,2030-01-02T21:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,170.50745095670328,0.0,0.0,630.0,379.99999999999994,0.0,0.0,800.0,213.51039896554136
sc2015,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.45939936288482,0.0,0.0,800.0,732.1365302993589
sc2015,y2030,2030-01-03T01:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0209879772449,800.0
sc2015,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.5315059572434
sc2015,y2030,2030-01-03T05:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.7633179172431
sc2015,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.55559020574475,0.0
sc2015,y2030,2030-01-03T09:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.7841618352444
sc2015,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,436.8522654743712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-03T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-03T17:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,131.13960899565555,0.0,0.0,0.0,0.0,134.542757047245,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503.74985072424596,800.0
sc2015,y2030,2030-01-03T21:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.89827923027062,0.0,0.0,603.3942424269758,800.0
sc2015,y2030,2030-01-03T23:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375.73580625724594,800.0
sc2015,y2030,2030-01-04T01:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.91172357724514
sc2015,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T05:00:00+01:00,0.0,0.0,314.3488216743735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,441.489362022873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T09:00:00+01:00,0.0,0.0,480.57524537147106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T17:00:00+01:00,0.0,0.0,480.57524537147106,119.34569634852377,0.0,0.0,131.13960899565555,0.0,0.0,0.0,0.0,15.763666888881575,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,500.0,243.6641300449027,0.0,0.0,289.2392226612389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.2313225720005
