Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-01T03:00:00+01:00,-115.22563309337636
sc01,y2030,2030-01-01T07:00:00+01:00,-187.53949044037608
sc01,y2030,2030-01-01T11:00:00+01:00,-98.38106892837607
sc01,y2030,2030-01-01T15:00:00+01:00,-33.42156355312625
sc01,y2030,2030-01-01T19:00:00+01:00,79.29266739137415
sc01,y2030,2030-01-01T23:00:00+01:00,-9.275884908625812
sc01,y2030,2030-01-02T03:00:00+01:00,-132.69960968062594
sc01,y2030,2030-01-02T07:00:00+01:00,35.629951627373885
sc01,y2030,2030-01-02T11:00:00+01:00,245.28704441262403
sc01,y2030,2030-01-02T15:00:00+01:00,263.0135827768738
sc01,y2030,2030-01-02T19:00:00+01:00,318.5344816161239
sc01,y2030,2030-01-02T23:00:00+01:00,128.87193180562417
sc01,y2030,2030-01-03T03:00:00+01:00,-25.812546404125897
sc01,y2030,2030-01-03T07:00:00+01:00,132.82441953312446
sc01,y2030,2030-01-03T11:00:00+01:00,315.87999625912425
sc01,y2030,2030-01-03T15:00:00+01:00,311.72380369512416
sc01,y2030,2030-01-03T19:00:00+01:00,359.8244986338743
sc01,y2030,2030-01-03T23:00:00+01:00,151.9520349598747
sc01,y2030,2030-01-04T03:00:00+01:00,-12.766025452125405
sc01,y2030,2030-01-04T07:00:00+01:00,145.4484655791248
sc01,y2030,2030-01-04T11:00:00+01:00,326.1552259336245
sc01,y2030,2030-01-04T15:00:00+01:00,319.33051260912475
sc01,y2030,2030-01-04T19:00:00+01:00,359.60111212437505
sc01,y2030,2030-01-04T23:00:00+01:00,152.90162958012525
sc01,y2030,2030-01-05T03:00:00+01:00,-8.60623404337457
sc01,y2030,2030-01-05T07:00:00+01:00,145.69733535112528
sc01,y2030,2030-01-05T11:00:00+01:00,320.4520184256253
sc01,y2030,2030-01-05T15:00:00+01:00,294.32950960012545
sc01,y2030,2030-01-05T19:00:00+01:00,321.0044847121253
sc01,y2030,2030-01-05T23:00:00+01:00,123.20432765912551
sc01,y2030,2030-01-06T03:00:00+01:00,-49.77154623712477
sc01,y2030,2030-01-06T07:00:00+01:00,-43.57156091837487
sc01,y2030,2030-01-06T11:00:00+01:00,107.20705274112515
sc01,y2030,2030-01-06T15:00:00+01:00,108.26068378362515
sc01,y2030,2030-01-06T19:00:00+01:00,186.52869701012514
sc01,y2030,2030-01-06T23:00:00+01:00,49.42941105037494
sc01,y2030,2030-01-07T03:00:00+01:00,-106.2908779658751
sc01,y2030,2030-01-07T07:00:00+01:00,-116.84954453487524
sc01,y2030,2030-01-07T11:00:00+01:00,28.883078062124696
sc01,y2030,2030-01-07T15:00:00+01:00,54.867510576124914
sc01,y2030,2030-01-07T19:00:00+01:00,169.25926909412487
sc01,y2030,2030-01-07T23:00:00+01:00,44.842993682374754
sc01,y2030,2030-01-08T03:00:00+01:00,-81.0941991371252
sc01,y2030,2030-01-08T07:00:00+01:00,158.21101596512494
sc01,y2030,2030-01-08T11:00:00+01:00,342.0617613306249
sc01,y2030,2030-01-08T15:00:00+01:00,337.1529963581247
sc01,y2030,2030-01-08T19:00:00+01:00,365.3941842341251
sc01,y2030,2030-01-08T23:00:00+01:00,133.14874639787536
sc01,y2030,2030-01-09T03:00:00+01:00,-25.891993144624962
sc01,y2030,2030-01-09T07:00:00+01:00,179.25749612412505
sc01,y2030,2030-01-09T11:00:00+01:00,335.2131656416252
sc01,y2030,2030-01-09T15:00:00+01:00,318.39980573362527
sc01,y2030,2030-01-09T19:00:00+01:00,361.57941903562505
sc01,y2030,2030-01-09T23:00:00+01:00,132.80250408637517
sc01,y2030,2030-01-10T03:00:00+01:00,-28.377775159874886
sc01,y2030,2030-01-10T07:00:00+01:00,173.40269826587496
sc01,y2030,2030-01-10T11:00:00+01:00,324.5126564528748
sc01,y2030,2030-01-10T15:00:00+01:00,313.01979569312493
sc01,y2030,2030-01-10T19:00:00+01:00,369.0245105206245
sc01,y2030,2030-01-10T23:00:00+01:00,151.30179904437477
sc01,y2030,2030-01-11T03:00:00+01:00,-4.083304576625096
sc01,y2030,2030-01-11T07:00:00+01:00,198.51120636662517
sc01,y2030,2030-01-11T11:00:00+01:00,357.3432523936251
sc01,y2030,2030-01-11T15:00:00+01:00,349.6645362741249
sc01,y2030,2030-01-11T19:00:00+01:00,382.78782684662497
sc01,y2030,2030-01-11T23:00:00+01:00,158.84153921062534
sc01,y2030,2030-01-12T03:00:00+01:00,-0.07878927237470634
sc01,y2030,2030-01-12T07:00:00+01:00,200.93105571512524
sc01,y2030,2030-01-12T11:00:00+01:00,345.0183912018756
sc01,y2030,2030-01-12T15:00:00+01:00,310.72745568912546
sc01,y2030,2030-01-12T19:00:00+01:00,342.54019769687534
sc01,y2030,2030-01-12T23:00:00+01:00,131.17638355412555
sc01,y2030,2030-01-13T03:00:00+01:00,-37.91354328662487
sc01,y2030,2030-01-13T07:00:00+01:00,10.096058414124855
sc01,y2030,2030-01-13T11:00:00+01:00,154.1105801138749
sc01,y2030,2030-01-13T15:00:00+01:00,120.40799352012505
sc01,y2030,2030-01-13T19:00:00+01:00,196.57033937062488
sc01,y2030,2030-01-13T23:00:00+01:00,49.51986509337485
sc01,y2030,2030-01-14T03:00:00+01:00,-95.71104051612531
sc01,y2030,2030-01-14T07:00:00+01:00,-97.49041419737546
sc01,y2030,2030-01-14T11:00:00+01:00,39.9746594723747
sc01,y2030,2030-01-14T15:00:00+01:00,35.45271654662474
sc01,y2030,2030-01-14T19:00:00+01:00,168.2113340626247
sc01,y2030,2030-01-14T23:00:00+01:00,56.10177682562448
sc01,y2030,2030-01-15T03:00:00+01:00,-63.49182575837551
sc01,y2030,2030-01-15T07:00:00+01:00,179.69187194662481
sc01,y2030,2030-01-15T11:00:00+01:00,347.53352209262425
sc01,y2030,2030-01-15T15:00:00+01:00,324.5744752341245
sc01,y2030,2030-01-15T19:00:00+01:00,374.5920803403744
sc01,y2030,2030-01-15T23:00:00+01:00,151.00326561262432
sc01,y2030,2030-01-16T03:00:00+01:00,-4.5121828913759146
sc01,y2030,2030-01-16T07:00:00+01:00,201.6780250901245
sc01,y2030,2030-01-16T11:00:00+01:00,355.02174343812453
sc01,y2030,2030-01-16T15:00:00+01:00,335.3314794123744
