Scenario,Period,LoadLevel,BrownLignite,CCGT_1,CCGT_2,CCGT_3,CCGT_4,DomesticCoal_Anthracite,FuelOilGas,ImportedCoal_Bituminous,ImportedCoal_SubBituminous,Nuclear,OCGT_1,OCGT_2,OCGT_3
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.0366889242525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04142448965812501,0.0
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.0366889242525,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03527781178125,0.0
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.04055245585625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.038992746015625,0.0
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.04336736775312501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.041699392070312515,0.0
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,0.044413680496250024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.050233788956875004,0.0
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,0.044413680496250024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04270546201562502,0.0
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,0.044413680496250024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03221444538531253,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,0.04635960008062502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04457653853906252,0.0
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05585844578187502,0.0
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.05736520154375001,0.0
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06208447795343746,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04596316121937498,0.0
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03281498056812496,0.0
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.046299122667499956,0.0
sc01,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06185884668593744,0.0
sc01,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06150557033937496,0.0
sc01,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,0.05289854571625001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06559412941437498,0.0
