Scenario,Period,LoadLevel,BrownLignite,CCGT_1,CCGT_2,CCGT_3,CCGT_4,DomesticCoal_Anthracite,ESS1,FuelOilGas,ImportedCoal_Bituminous,ImportedCoal_SubBituminous,Nuclear,OCGT_1,OCGT_2,OCGT_3,SolarPV_1,WindFarm_1
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.0015077454532812001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777728000000002,0.0,0.00028448027420400004,0.0,0.0,0.011010639150000005
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.0018516875227900006,0.0,0.0,0.0,0.004091311461454021,0.0,0.0,0.0,0.08641920000000002,0.0,0.00034937500430000005,0.0,0.003873258900000001,0.008227668400000002
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.0020078618501884696,0.0021216650685375003,0.0,0.005472181713477794,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0004003141638750001,0.0,0.008689982250000004,0.008419374000000006
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,0.02292178279169601,0.0021728539073550012,0.0,0.0054851161333817995,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0005871095398499998,0.0,0.001405743750000002,0.008063556750000004
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,0.011996450946296021,0.0021728539073550017,0.0,0.005474952529021805,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.00040997243535000023,0.0,0.0,0.009954432750000006
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,0.0018916055357556015,0.0,0.00394076175788402,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.00028864143065240037,0.0,0.0,0.008428616000000002
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,0.01804042016305847,0.002268054280867501,0.0,0.005480105657813795,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0004279347699750002,0.0,0.0,0.009180480000000005
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,0.040351816696975955,0.0025279261374750034,0.0,0.0055041646684817975,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0006511192522499979,0.0,0.004192578750000003,0.007326522000000004
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,0.041611532731525916,0.0025279261374750034,0.0,0.005506198861397799,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0006865723289999978,0.0,0.008155846500000005,0.0041930902500000025
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,0.053914619204351,0.0025279261374750034,0.0,0.005512570112073803,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0007976141268749965,0.0,0.001171305000000002,0.005419185000000003
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,0.03256494149267602,0.002493188661723002,0.0,0.005490805557177804,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.00045302650300199925,0.0,0.0,0.005583306000000004
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,0.013537707397375923,0.0023100422394750006,0.0,0.005473054879365798,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.00032680396874999897,0.0,0.0,0.006376790250000004
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,0.02982498233312601,0.002497868407071001,0.0,0.005491259121337792,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.000456251732903999,0.0,0.0,0.008789172750000001
sc01,y2030,2030-01-03T11:00:00+01:00,0.0,0.045819548303651016,0.0025279261374750034,0.0,0.005512265499009797,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0007923051558749963,0.0,0.004336944750000003,0.010035713250000003
sc01,y2030,2030-01-03T15:00:00+01:00,0.0,0.04120743208787592,0.0025279261374750034,0.0,0.005511788558881799,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0007839927712499964,0.0,0.008690598750000006,0.009804255750000006
sc01,y2030,2030-01-03T19:00:00+01:00,0.0,0.050495291320676,0.0025279261374750034,0.0,0.0005445083107417989,0.0,0.0049727999999999994,0.0,0.0,0.0,0.08641920000000002,0.0,0.000880194161249997,0.0,0.0014477167500000028,0.013429246500000007
sc01,y2030,2030-01-03T23:00:00+01:00,0.0,0.025579038697076045,0.0025205155039710013,0.0,0.005493454093613804,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.000471859867253999,0.0,0.0,0.015289823250000004
sc01,y2030,2030-01-04T03:00:00+01:00,0.0,0.006201157039301123,0.0023254893202650016,0.0,0.005474552021109794,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.00033744992983499934,0.0,0.0,0.015251226
sc01,y2030,2030-01-04T07:00:00+01:00,0.0,0.024602656379576062,0.0025128152776830014,0.0,0.005492707782369797,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.00046655295454199933,0.0,0.0,0.015499584
sc01,y2030,2030-01-04T11:00:00+01:00,0.0,0.043757594057276014,0.0025279261374750034,0.0,0.005513444623753804,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0008128556152499969,0.0,0.004174985250000004,0.01347084075
sc01,y2030,2030-01-04T15:00:00+01:00,0.0,0.041164147988726085,0.0025279261374750034,0.0,0.005512661459889793,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0007992061889999974,0.0,0.008565460500000009,0.010869334499999998
sc01,y2030,2030-01-04T19:00:00+01:00,0.0,0.053448757178201065,0.0025279261374750034,0.0,0.005517282676237797,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.0008797473881249967,0.0,0.0014460382500000063,0.010451126999999996
sc01,y2030,2030-01-04T23:00:00+01:00,0.0,0.032450438359076045,0.002521639823859002,0.0,0.005493563063481796,0.0,0.0,0.0,0.0,0.0,0.08641920000000002,0.0,0.00047263473636599936,0.0,0.0,0.008530358999999996
