Scenario,Period,LoadLevel,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,-0.17184119234335604,-0.15252838117837308,-0.14893173278210847,-0.3071170454346084,-0.10719999999999996,-0.15653701023990374,-0.1517651807188396,-0.17068831042034516
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,-0.16967537784076892,-0.15407283462134558,-0.1588262365320321,-0.3045640819320323,-0.10719999999999996,-0.15463147373969233,-0.15155296922982053,-0.17195218009705893
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,-0.16975223897373937,-0.1490692977968664,-0.14173735210395666,-0.30282213892145693,-0.10528104426623663,-0.15461632970948225,-0.14915299933397907,-0.16706390351724743
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,-0.1707474311626922,-0.1503995862395977,-0.14248651562790737,-0.3147528566404074,-0.10719999999999996,-0.1594047934353111,-0.15319219356885183,-0.17151378281881846
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,-0.14250187854847018,-0.14493968726597783,-0.16913467329015974,-0.36080264422515995,-0.10719999999999996,-0.1686854966443989,-0.16404059657066483,-0.18952731595076333
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,-0.1563642691903102,-0.14841928693569795,-0.15928614581486356,-0.3357087102098637,-0.10719999999999996,-0.16305656663932955,-0.15828890525821593,-0.18064089797406013
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,-0.16834431899845548,-0.1493334881689381,-0.14583704576601453,-0.3010145427860147,-0.10501923799781165,-0.15340006682894214,-0.14870692962036247,-0.16724315158945813
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,-0.14855939926285666,-0.14655796195706072,-0.16533093465054494,-0.349483192223045,-0.10719999999999996,-0.1660682460556817,-0.16146796781213624,-0.18564589006100873
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,-0.1210750821155937,-0.13877239144414366,-0.18160511594486772,-0.40184588947736777,-0.10719999999999996,-0.1783370494776051,-0.17332346970934198,-0.2033380602754995
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,-0.11970177357663703,-0.13821069613234505,-0.1817125023353745,-0.40500456526287465,-0.10719999999999996,-0.17918408891805626,-0.17400870464009355,-0.20423135181592778
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,-0.10276694675727938,-0.13523666136553159,-0.19885304283868677,-0.4317019818011867,-0.10719999999999996,-0.184357712122178,-0.18035596331029669,-0.21501120453781364
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,-0.12935928406234054,-0.14239055694770109,-0.18187712161149006,-0.3820792282264902,-0.10719999999999996,-0.1729208919162235,-0.1690676516203724,-0.19793575594370783
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,-0.15348855102891323,-0.14845983893345327,-0.164784890197335,-0.33836098006983506,-0.10719999999999996,-0.16310622229372518,-0.15904939670620877,-0.1824670559897965
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,-0.1336194605941312,-0.14270439101195964,-0.1758271904123696,-0.3767096432848698,-0.10719999999999996,-0.17219867509635534,-0.16770196972059237,-0.19524984253412536
sc01,y2030,2030-01-03T11:00:00+01:00,0.0,-0.11492417947191313,-0.1364699640543907,-0.1829398222040537,-0.4153318415565539,-0.10719999999999996,-0.18184630003023305,-0.1762790668703884,-0.20732629588998797
sc01,y2030,2030-01-03T15:00:00+01:00,0.0,-0.12177150425269234,-0.13722909625381652,-0.17423510987814161,-0.4059117190281418,-0.10719999999999996,-0.1803457716558463,-0.1739485220064103,-0.20299407451342977
sc01,y2030,2030-01-03T19:00:00+01:00,0.0,-0.109172342483983,-0.13485179931557534,-0.18632834268839615,-0.4262845796633963,-0.10719999999999996,-0.18441447664538435,-0.17875835703897391,-0.21102388235305058
sc01,y2030,2030-01-03T23:00:00+01:00,0.0,-0.14061062339144503,-0.14291301322463412,-0.16467286762433186,-0.36884777887933184,-0.10719999999999996,-0.17142213365714976,-0.16562381531858295,-0.1908603949180574
sc01,y2030,2030-01-04T03:00:00+01:00,0.0,-0.1649694312021368,-0.1492475550789074,-0.14824847068303093,-0.32407027316803116,-0.10719999999999996,-0.16123731503470462,-0.1553998577945077,-0.17523216697431465
sc01,y2030,2030-01-04T07:00:00+01:00,0.0,-0.14189176694576178,-0.14319383016343856,-0.16359956110545282,-0.36665500549795293,-0.10719999999999996,-0.17095628286294295,-0.16511393705823818,-0.19004155482190255
