Scenario,Period,LoadLevel,Coal,ESS,Gas,Nuclear,Oil,RES
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,75.940992376,3086.4,0.0,957.5843684119994
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,71.120068551,3086.4,0.0,436.9301250000001
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,146.11826648050118,78.6093759675,3086.4,0.0,432.17597500000005
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,346.42976394900086,3086.4,0.0,570.311875
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,1051.9552127270013,3086.4,0.0,315.64335000000005
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,681.5099285270039,3086.4,0.0,331.814425
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,218.607454439001,3086.4,0.0,301.022
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,886.9316996710008,3086.4,0.0,306.016
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,1647.606045812003,3086.4,0.0,383.9700250000001
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,1690.8509992690028,3086.4,0.0,411.63122500000003
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,2104.8828196259997,3086.4,0.0,219.68300000000008
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,1379.8054203840002,3086.4,0.0,186.11020000000005
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,734.6180325450009,3086.4,0.0,212.55967500000003
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,1288.7531462940017,3086.4,0.0,292.97242499999993
sc01,y2030,2030-01-03T11:00:00+01:00,0.0,265.1409423618338,1569.7183358361665,3086.4,0.0,479.0886
sc01,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,1680.8279579420027,3086.4,0.0,616.4951500000002
sc01,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,1993.8271126970021,3086.4,0.0,495.8987750000001
sc01,y2030,2030-01-03T23:00:00+01:00,0.0,175.3430270936551,973.2322309073504,3086.4,0.0,509.66077499999994
sc01,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,490.98959135300356,3086.4,0.0,508.3741999999998
sc01,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,1115.568955478003,3086.4,0.0,516.6527999999998
sc01,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,1766.8545968960061,3086.4,0.0,588.1941999999999
sc01,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,1679.9234435980045,3086.4,0.0,647.8264999999999
sc01,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,2092.2601666590035,3086.4,0.0,396.5721749999999
sc01,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,1377.6891114820064,3086.4,0.0,284.3452999999997
sc01,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,891.7751569880046,3086.4,0.0,124.22779999999976
sc01,y2030,2030-01-05T07:00:00+01:00,0.0,0.0,1516.902209566006,3086.4,0.0,116.31502499999979
sc01,y2030,2030-01-05T11:00:00+01:00,0.0,0.0,2061.8147668640054,3086.4,0.0,270.42120000000006
sc01,y2030,2030-01-05T15:00:00+01:00,0.0,0.0,1841.9363815620075,3086.4,0.0,385.80954999999994
sc01,y2030,2030-01-05T19:00:00+01:00,0.0,0.0,2137.079307010006,3086.4,0.0,197.36652499999994
sc01,y2030,2030-01-05T23:00:00+01:00,0.0,0.0,1358.5915537980088,3086.4,0.0,184.6536499999998
sc01,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,579.8592332130062,3086.4,0.0,271.48247499999985
sc01,y2030,2030-01-06T07:00:00+01:00,0.0,0.0,547.3920494880056,3086.4,0.0,328.7495999999998
sc01,y2030,2030-01-06T11:00:00+01:00,0.0,0.0,1112.1307041260034,3086.4,0.0,367.1253999999999
sc01,y2030,2030-01-06T15:00:00+01:00,0.0,0.0,1104.5059532960054,3086.4,0.0,378.9646749999999
sc01,y2030,2030-01-06T19:00:00+01:00,0.0,0.0,1596.9722312020067,3086.4,0.0,199.5704499999999
sc01,y2030,2030-01-06T23:00:00+01:00,0.0,0.0,997.2543873630053,3086.4,0.0,250.89114999999973
sc01,y2030,2030-01-07T03:00:00+01:00,0.0,0.0,455.8442812980078,3086.4,0.0,169.42009999999974
sc01,y2030,2030-01-07T07:00:00+01:00,0.0,0.0,511.57066502200445,3086.4,0.0,71.45904999999976
sc01,y2030,2030-01-07T11:00:00+01:00,0.0,0.0,1002.2209304100063,3086.4,0.0,163.73927499999988
sc01,y2030,2030-01-07T15:00:00+01:00,0.0,0.0,1025.6758604660063,3086.4,0.0,244.22207499999985
sc01,y2030,2030-01-07T19:00:00+01:00,0.0,0.0,1638.1568195380048,3086.4,0.0,89.30814999999987
sc01,y2030,2030-01-07T23:00:00+01:00,0.0,0.0,1149.9132428910034,3086.4,0.0,79.88662499999974
sc01,y2030,2030-01-08T03:00:00+01:00,0.0,0.0,598.295721613005,3086.4,0.0,127.7553749999997
sc01,y2030,2030-01-08T07:00:00+01:00,0.0,0.0,1497.1562820220042,3086.4,0.0,186.11567499999975
sc01,y2030,2030-01-08T11:00:00+01:00,0.0,0.0,2117.626013484001,3086.4,0.0,301.04892499999994
sc01,y2030,2030-01-08T15:00:00+01:00,0.0,0.0,1938.8293285940056,3086.4,0.0,460.2105499999999
sc01,y2030,2030-01-08T19:00:00+01:00,0.0,0.0,2234.770805098008,3086.4,0.0,277.2338249999998
sc01,y2030,2030-01-08T23:00:00+01:00,0.0,0.0,1138.359528753007,3086.4,0.0,444.66334999999987
sc01,y2030,2030-01-09T03:00:00+01:00,0.0,0.0,542.4432705830052,3086.4,0.0,404.41664999999983
sc01,y2030,2030-01-09T07:00:00+01:00,0.0,0.0,1429.0782526580049,3086.4,0.0,338.3796249999998
sc01,y2030,2030-01-09T11:00:00+01:00,0.0,0.0,1922.1773807280058,3086.4,0.0,469.1031749999998
sc01,y2030,2030-01-09T15:00:00+01:00,0.0,0.0,1734.3786910960057,3086.4,0.0,589.6484249999999
sc01,y2030,2030-01-09T19:00:00+01:00,0.0,0.0,2120.977869304006,3086.4,0.0,375.76769999999976
sc01,y2030,2030-01-09T23:00:00+01:00,0.0,0.0,815.4809095070067,3086.4,0.0,766.1569999999997
sc01,y2030,2030-01-10T03:00:00+01:00,0.0,0.0,152.6291675220048,3086.4,0.0,784.2876249999998
sc01,y2030,2030-01-10T07:00:00+01:00,0.0,0.0,1275.3237862250044,3086.4,0.0,468.71489999999983
sc01,y2030,2030-01-10T11:00:00+01:00,0.0,0.0,1792.1954689730067,3086.4,0.0,556.2830499999998
sc01,y2030,2030-01-10T15:00:00+01:00,0.0,0.0,1798.358575934006,3086.4,0.0,504.1484999999999
sc01,y2030,2030-01-10T19:00:00+01:00,0.0,0.0,2165.7982602440024,3086.4,0.0,360.72767499999986
sc01,y2030,2030-01-10T23:00:00+01:00,0.0,0.0,1156.6111643390032,3086.4,0.0,499.02392499999985
sc01,y2030,2030-01-11T03:00:00+01:00,0.0,0.0,435.44264985500445,3086.4,0.0,598.6520249999999
sc01,y2030,2030-01-11T07:00:00+01:00,0.0,0.0,1073.989193628002,3086.4,0.0,770.4835249999999
sc01,y2030,2030-01-11T11:00:00+01:00,0.0,0.0,1560.9059027360063,3086.4,0.0,918.8950000000001
sc01,y2030,2030-01-11T15:00:00+01:00,0.0,0.0,1544.4665632580034,3086.4,0.0,904.6194750000002
