Scenario,Period,LoadLevel,Coal,ESS,Gas,Nuclear,Oil,RES
sc01,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,12253.084535,0.0,0.0,0.0
sc01,y2030,2030-01-01T07:00:00+01:00,0.0,111000.0,11288.899769999998,0.0,0.0,0.0
sc01,y2030,2030-01-01T11:00:00+01:00,0.0,111000.0,12477.678725,0.0,0.0,0.0
sc01,y2030,2030-01-01T15:00:00+01:00,0.0,111000.0,13343.805462500004,0.0,0.0,0.0
sc01,y2030,2030-01-01T19:00:00+01:00,0.0,111000.0,14846.661875000003,0.0,0.0,0.0
sc01,y2030,2030-01-01T23:00:00+01:00,0.0,111000.0,13665.747845000005,0.0,0.0,0.0
sc01,y2030,2030-01-02T03:00:00+01:00,0.0,111000.0,12020.098177500011,0.0,0.0,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,0.0,111000.0,14264.492332500007,0.0,0.0,0.0
sc01,y2030,2030-01-02T11:00:00+01:00,0.0,111000.0,17059.92023500001,0.0,0.0,0.0
sc01,y2030,2030-01-02T15:00:00+01:00,0.0,111000.0,17296.274080000003,0.0,0.0,0.0
sc01,y2030,2030-01-02T19:00:00+01:00,0.0,111000.0,18036.5527325,0.0,0.0,0.0
sc01,y2030,2030-01-02T23:00:00+01:00,0.0,111000.0,15507.718734999999,0.0,0.0,0.0
sc01,y2030,2030-01-03T03:00:00+01:00,0.0,111000.0,13445.259024999996,0.0,0.0,0.0
sc01,y2030,2030-01-03T07:00:00+01:00,0.0,111000.0,15560.418569999994,0.0,0.0,0.0
sc01,y2030,2030-01-03T11:00:00+01:00,0.0,111000.0,18001.159592499997,0.0,0.0,0.0
sc01,y2030,2030-01-03T15:00:00+01:00,0.0,111000.0,17945.743694999997,0.0,0.0,0.0
sc01,y2030,2030-01-03T19:00:00+01:00,0.0,111000.0,18587.086295,0.0,0.0,0.0
sc01,y2030,2030-01-03T23:00:00+01:00,0.0,111000.0,15815.453444999996,0.0,0.0,0.0
sc01,y2030,2030-01-04T03:00:00+01:00,0.0,111000.0,13619.212637499999,0.0,0.0,0.0
sc01,y2030,2030-01-04T07:00:00+01:00,0.0,111000.0,15728.739185,0.0,0.0,0.0
sc01,y2030,2030-01-04T11:00:00+01:00,0.0,111000.0,18138.162655,0.0,0.0,0.0
sc01,y2030,2030-01-04T15:00:00+01:00,0.0,111000.0,18047.16648,0.0,0.0,0.0
sc01,y2030,2030-01-04T19:00:00+01:00,0.0,111000.0,18584.107807499997,0.0,0.0,0.0
sc01,y2030,2030-01-04T23:00:00+01:00,0.0,111000.0,15828.114705,0.0,0.0,0.0
sc01,y2030,2030-01-05T03:00:00+01:00,0.0,111000.0,13674.676522500004,0.0,0.0,0.0
sc01,y2030,2030-01-05T07:00:00+01:00,0.0,111000.0,15732.057450000002,0.0,0.0,0.0
sc01,y2030,2030-01-05T11:00:00+01:00,0.0,111000.0,18062.11989,0.0,0.0,0.0
sc01,y2030,2030-01-05T15:00:00+01:00,0.0,111000.0,17713.81977000001,0.0,0.0,0.0
sc01,y2030,2030-01-05T19:00:00+01:00,0.0,111000.0,18069.4861075,0.0,0.0,0.0
sc01,y2030,2030-01-05T23:00:00+01:00,0.0,111000.0,15432.150677500007,0.0,0.0,0.0
sc01,y2030,2030-01-06T03:00:00+01:00,0.0,111000.0,13125.805695000005,0.0,0.0,0.0
sc01,y2030,2030-01-06T07:00:00+01:00,0.0,111000.0,13208.472167500006,0.0,0.0,0.0
sc01,y2030,2030-01-06T11:00:00+01:00,0.0,111000.0,15218.853680000006,0.0,0.0,0.0
sc01,y2030,2030-01-06T15:00:00+01:00,0.0,111000.0,15232.902092500004,0.0,0.0,0.0
sc01,y2030,2030-01-06T19:00:00+01:00,0.0,111000.0,16276.475605000005,0.0,0.0,0.0
sc01,y2030,2030-01-06T23:00:00+01:00,0.0,111000.0,14448.485125000003,0.0,0.0,0.0
sc01,y2030,2030-01-07T03:00:00+01:00,0.0,111000.0,12372.214602500002,0.0,0.0,0.0
sc01,y2030,2030-01-07T07:00:00+01:00,0.0,111000.0,12231.4323825,0.0,0.0,0.0
sc01,y2030,2030-01-07T11:00:00+01:00,0.0,111000.0,14174.534015000005,0.0,0.0,0.0
sc01,y2030,2030-01-07T15:00:00+01:00,0.0,111000.0,14520.993120000008,0.0,0.0,0.0
sc01,y2030,2030-01-07T19:00:00+01:00,0.0,111000.0,16046.216565000012,0.0,0.0,0.0
sc01,y2030,2030-01-07T23:00:00+01:00,0.0,111000.0,14387.332890000014,0.0,0.0,0.0
sc01,y2030,2030-01-08T03:00:00+01:00,0.0,111000.0,12708.170322500018,0.0,0.0,0.0
sc01,y2030,2030-01-08T07:00:00+01:00,0.0,111000.0,15898.90652500002,0.0,0.0,0.0
sc01,y2030,2030-01-08T11:00:00+01:00,0.0,111000.0,18350.249792500024,0.0,0.0,0.0
sc01,y2030,2030-01-08T15:00:00+01:00,0.0,111000.0,18284.799595000022,0.0,0.0,0.0
sc01,y2030,2030-01-08T19:00:00+01:00,0.0,111000.0,18661.34876500002,0.0,0.0,0.0
sc01,y2030,2030-01-08T23:00:00+01:00,0.0,111000.0,15564.742927500025,0.0,0.0,0.0
sc01,y2030,2030-01-09T03:00:00+01:00,0.0,111000.0,13444.19973500002,0.0,0.0,0.0
sc01,y2030,2030-01-09T07:00:00+01:00,0.0,111000.0,16179.52626000002,0.0,0.0,0.0
sc01,y2030,2030-01-09T11:00:00+01:00,0.0,111000.0,18258.935185000017,0.0,0.0,0.0
sc01,y2030,2030-01-09T15:00:00+01:00,0.0,111000.0,18034.75705250002,0.0,0.0,0.0
sc01,y2030,2030-01-09T19:00:00+01:00,0.0,111000.0,18610.485232500017,0.0,0.0,0.0
sc01,y2030,2030-01-09T23:00:00+01:00,0.0,111000.0,15560.126365000024,0.0,0.0,0.0
sc01,y2030,2030-01-10T03:00:00+01:00,0.0,111000.0,13411.055975000023,0.0,0.0,0.0
sc01,y2030,2030-01-10T07:00:00+01:00,0.0,111000.0,16101.462290000025,0.0,0.0,0.0
sc01,y2030,2030-01-10T11:00:00+01:00,0.0,111000.0,18116.26173000002,0.0,0.0,0.0
sc01,y2030,2030-01-10T15:00:00+01:00,0.0,111000.0,17963.023587500018,0.0,0.0,0.0
sc01,y2030,2030-01-10T19:00:00+01:00,0.0,111000.0,18709.75312000001,0.0,0.0,0.0
sc01,y2030,2030-01-10T23:00:00+01:00,0.0,111000.0,15806.783630000016,0.0,0.0,0.0
sc01,y2030,2030-01-11T03:00:00+01:00,0.0,111000.0,13734.982252500015,0.0,0.0,0.0
sc01,y2030,2030-01-11T07:00:00+01:00,0.0,111000.0,16436.24239750001,0.0,0.0,0.0
sc01,y2030,2030-01-11T11:00:00+01:00,0.0,111000.0,18554.003010000008,0.0,0.0,0.0
sc01,y2030,2030-01-11T15:00:00+01:00,0.0,111000.0,18451.62012750001,0.0,0.0,0.0
sc01,y2030,2030-01-11T19:00:00+01:00,0.0,111000.0,18893.264000000014,0.0,0.0,0.0
sc01,y2030,2030-01-11T23:00:00+01:00,0.0,111000.0,15907.313500000013,0.0,0.0,0.0
sc01,y2030,2030-01-12T03:00:00+01:00,0.0,111000.0,13788.375787500016,0.0,0.0,0.0
sc01,y2030,2030-01-12T07:00:00+01:00,0.0,111000.0,16468.507055000013,0.0,0.0,0.0
sc01,y2030,2030-01-12T11:00:00+01:00,0.0,111000.0,18389.67152750001,0.0,0.0,0.0
sc01,y2030,2030-01-12T15:00:00+01:00,0.0,111000.0,17932.45905500001,0.0,0.0,0.0
sc01,y2030,2030-01-12T19:00:00+01:00,0.0,111000.0,18356.628947500012,0.0,0.0,0.0
sc01,y2030,2030-01-12T23:00:00+01:00,0.0,111000.0,15538.44476000002,0.0,0.0,0.0
sc01,y2030,2030-01-13T03:00:00+01:00,0.0,111000.0,13283.91240000002,0.0,0.0,0.0
sc01,y2030,2030-01-13T07:00:00+01:00,0.0,111000.0,13924.040425000021,0.0,0.0,0.0
sc01,y2030,2030-01-13T11:00:00+01:00,0.0,111000.0,15844.234045000023,0.0,0.0,0.0
sc01,y2030,2030-01-13T15:00:00+01:00,0.0,111000.0,15394.866225000023,0.0,0.0,0.0
sc01,y2030,2030-01-13T19:00:00+01:00,0.0,111000.0,16410.36417000003,0.0,0.0,0.0
sc01,y2030,2030-01-13T23:00:00+01:00,0.0,111000.0,14449.691177500024,0.0,0.0,0.0
sc01,y2030,2030-01-14T03:00:00+01:00,0.0,111000.0,12513.279102500026,0.0,0.0,0.0
sc01,y2030,2030-01-14T07:00:00+01:00,0.0,111000.0,12489.55412000003,0.0,0.0,0.0
sc01,y2030,2030-01-14T11:00:00+01:00,0.0,111000.0,14322.421770000032,0.0,0.0,0.0
sc01,y2030,2030-01-14T15:00:00+01:00,0.0,111000.0,14262.129197500031,0.0,0.0,0.0
sc01,y2030,2030-01-14T19:00:00+01:00,0.0,111000.0,16032.244100000034,0.0,0.0,0.0
sc01,y2030,2030-01-14T23:00:00+01:00,0.0,111000.0,14537.450002500032,0.0,0.0,0.0
sc01,y2030,2030-01-15T03:00:00+01:00,0.0,0.0,12942.868632500033,0.0,0.0,0.0
sc01,y2030,2030-01-15T07:00:00+01:00,0.0,111000.0,16185.317940000037,0.0,0.0,0.0
sc01,y2030,2030-01-15T11:00:00+01:00,0.0,111000.0,18423.206605000032,0.0,0.0,0.0
sc01,y2030,2030-01-15T15:00:00+01:00,0.0,111000.0,18117.085980000033,0.0,0.0,0.0
