Scenario,Period,LoadLevel,ESS1
sc01,y2030,2030-01-01T23:00:00+01:00,7.0
sc01,y2030,2030-01-02T23:00:00+01:00,7.0
sc01,y2030,2030-01-03T23:00:00+01:00,7.0
sc01,y2030,2030-01-04T23:00:00+01:00,7.0
sc01,y2030,2030-01-05T23:00:00+01:00,7.0
sc01,y2030,2030-01-06T23:00:00+01:00,7.0
sc01,y2030,2030-01-07T23:00:00+01:00,7.0
sc01,y2030,2030-01-08T23:00:00+01:00,7.0
sc01,y2030,2030-01-09T23:00:00+01:00,7.0
sc01,y2030,2030-01-10T23:00:00+01:00,7.0
sc01,y2030,2030-01-11T23:00:00+01:00,7.0
sc01,y2030,2030-01-12T23:00:00+01:00,7.0
sc01,y2030,2030-01-13T23:00:00+01:00,7.0
sc01,y2030,2030-01-14T23:00:00+01:00,7.0
sc01,y2030,2030-01-15T23:00:00+01:00,7.0
sc01,y2030,2030-01-16T23:00:00+01:00,7.0
sc01,y2030,2030-01-17T23:00:00+01:00,7.0
sc01,y2030,2030-01-18T23:00:00+01:00,7.0
sc01,y2030,2030-01-19T23:00:00+01:00,7.0
sc01,y2030,2030-01-20T23:00:00+01:00,7.0
sc01,y2030,2030-01-21T23:00:00+01:00,7.0
sc01,y2030,2030-01-22T23:00:00+01:00,7.0
sc01,y2030,2030-01-23T23:00:00+01:00,7.0
sc01,y2030,2030-01-24T23:00:00+01:00,7.0
sc01,y2030,2030-01-25T23:00:00+01:00,7.0
sc01,y2030,2030-01-26T23:00:00+01:00,7.0
sc01,y2030,2030-01-27T23:00:00+01:00,7.0
sc01,y2030,2030-01-28T23:00:00+01:00,7.0
sc01,y2030,2030-01-29T23:00:00+01:00,7.0
sc01,y2030,2030-01-30T23:00:00+01:00,7.0
sc01,y2030,2030-01-31T23:00:00+01:00,7.0
sc01,y2030,2030-02-01T23:00:00+01:00,7.0
sc01,y2030,2030-02-02T23:00:00+01:00,7.0
sc01,y2030,2030-02-03T23:00:00+01:00,7.0
sc01,y2030,2030-02-04T23:00:00+01:00,7.0
sc01,y2030,2030-02-05T23:00:00+01:00,7.0
sc01,y2030,2030-02-06T23:00:00+01:00,7.0
sc01,y2030,2030-02-07T23:00:00+01:00,7.0
sc01,y2030,2030-02-08T23:00:00+01:00,7.0
sc01,y2030,2030-02-09T23:00:00+01:00,7.0
sc01,y2030,2030-02-10T23:00:00+01:00,7.0
sc01,y2030,2030-02-11T23:00:00+01:00,7.0
sc01,y2030,2030-02-12T23:00:00+01:00,7.0
sc01,y2030,2030-02-13T23:00:00+01:00,7.0
sc01,y2030,2030-02-14T23:00:00+01:00,7.0
sc01,y2030,2030-02-15T23:00:00+01:00,7.0
sc01,y2030,2030-02-16T23:00:00+01:00,7.0
sc01,y2030,2030-02-17T23:00:00+01:00,7.0
sc01,y2030,2030-02-18T23:00:00+01:00,7.0
sc01,y2030,2030-02-19T23:00:00+01:00,7.0
sc01,y2030,2030-02-20T23:00:00+01:00,7.0
sc01,y2030,2030-02-21T23:00:00+01:00,7.0
sc01,y2030,2030-02-22T23:00:00+01:00,7.0
sc01,y2030,2030-02-23T23:00:00+01:00,7.0
sc01,y2030,2030-02-24T23:00:00+01:00,7.0
sc01,y2030,2030-02-25T23:00:00+01:00,7.0
sc01,y2030,2030-02-26T23:00:00+01:00,7.0
sc01,y2030,2030-02-27T23:00:00+01:00,7.0
sc01,y2030,2030-02-28T23:00:00+01:00,7.0
sc01,y2030,2030-03-01T23:00:00+01:00,7.0
sc01,y2030,2030-03-02T23:00:00+01:00,7.0
sc01,y2030,2030-03-03T23:00:00+01:00,7.0
sc01,y2030,2030-03-04T23:00:00+01:00,7.0
sc01,y2030,2030-03-05T23:00:00+01:00,7.0
sc01,y2030,2030-03-06T23:00:00+01:00,7.0
sc01,y2030,2030-03-07T23:00:00+01:00,7.0
sc01,y2030,2030-03-08T23:00:00+01:00,7.0
sc01,y2030,2030-03-09T23:00:00+01:00,7.0
sc01,y2030,2030-03-10T23:00:00+01:00,7.0
sc01,y2030,2030-03-11T23:00:00+01:00,7.0
sc01,y2030,2030-03-12T23:00:00+01:00,7.0
sc01,y2030,2030-03-13T23:00:00+01:00,7.0
sc01,y2030,2030-03-14T23:00:00+01:00,7.0
sc01,y2030,2030-03-15T23:00:00+01:00,7.0
sc01,y2030,2030-03-16T23:00:00+01:00,7.0
sc01,y2030,2030-03-17T23:00:00+01:00,7.0
sc01,y2030,2030-03-18T23:00:00+01:00,7.0
sc01,y2030,2030-03-19T23:00:00+01:00,7.0
sc01,y2030,2030-03-20T23:00:00+01:00,7.0
sc01,y2030,2030-03-21T23:00:00+01:00,7.0
sc01,y2030,2030-03-22T23:00:00+01:00,7.0
sc01,y2030,2030-03-23T23:00:00+01:00,7.0
sc01,y2030,2030-03-24T23:00:00+01:00,7.0
sc01,y2030,2030-03-25T23:00:00+01:00,7.0
sc01,y2030,2030-03-26T23:00:00+01:00,7.0
sc01,y2030,2030-03-27T23:00:00+01:00,7.0
sc01,y2030,2030-03-28T23:00:00+01:00,7.0
sc01,y2030,2030-03-29T23:00:00+01:00,7.0
sc01,y2030,2030-03-30T23:00:00+01:00,7.0
sc01,y2030,2030-03-31T23:00:00+02:00,7.0
sc01,y2030,2030-04-01T23:00:00+02:00,7.0
sc01,y2030,2030-04-02T23:00:00+02:00,7.0
sc01,y2030,2030-04-03T23:00:00+02:00,7.0
sc01,y2030,2030-04-04T23:00:00+02:00,7.0
sc01,y2030,2030-04-05T23:00:00+02:00,7.0
sc01,y2030,2030-04-06T23:00:00+02:00,7.0
sc01,y2030,2030-04-07T23:00:00+02:00,7.0
sc01,y2030,2030-04-08T23:00:00+02:00,7.0
sc01,y2030,2030-04-09T23:00:00+02:00,7.0
sc01,y2030,2030-04-10T23:00:00+02:00,7.0
sc01,y2030,2030-04-11T23:00:00+02:00,7.0
sc01,y2030,2030-04-12T23:00:00+02:00,7.0
sc01,y2030,2030-04-13T23:00:00+02:00,7.0
sc01,y2030,2030-04-14T23:00:00+02:00,7.0
sc01,y2030,2030-04-15T23:00:00+02:00,7.0
sc01,y2030,2030-04-16T23:00:00+02:00,7.0
sc01,y2030,2030-04-17T23:00:00+02:00,7.0
sc01,y2030,2030-04-18T23:00:00+02:00,7.0
sc01,y2030,2030-04-19T23:00:00+02:00,7.0
sc01,y2030,2030-04-20T23:00:00+02:00,7.0
sc01,y2030,2030-04-21T23:00:00+02:00,7.0
sc01,y2030,2030-04-22T23:00:00+02:00,7.0
sc01,y2030,2030-04-23T23:00:00+02:00,7.0
sc01,y2030,2030-04-24T23:00:00+02:00,7.0
sc01,y2030,2030-04-25T23:00:00+02:00,7.0
sc01,y2030,2030-04-26T23:00:00+02:00,7.0
sc01,y2030,2030-04-27T23:00:00+02:00,7.0
sc01,y2030,2030-04-28T23:00:00+02:00,7.0
sc01,y2030,2030-04-29T23:00:00+02:00,7.0
sc01,y2030,2030-04-30T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-01T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-02T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-03T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-04T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-05T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-06T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-07T23:00:00+02:00,7.0
sc01,y2030,2030-05-08T23:00:00+02:00,7.0
sc01,y2030,2030-05-09T23:00:00+02:00,7.0
sc01,y2030,2030-05-10T23:00:00+02:00,7.0
sc01,y2030,2030-05-11T23:00:00+02:00,7.0
sc01,y2030,2030-05-12T23:00:00+02:00,7.0
sc01,y2030,2030-05-13T23:00:00+02:00,7.0
sc01,y2030,2030-05-14T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-15T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-16T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-17T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-18T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-19T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-20T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-21T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-22T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-23T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-24T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-25T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-26T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-27T23:00:00+02:00,4.166666666666666
sc01,y2030,2030-05-28T23:00:00+02:00,7.0
sc01,y2030,2030-05-29T23:00:00+02:00,7.0
sc01,y2030,2030-05-30T23:00:00+02:00,7.0
sc01,y2030,2030-05-31T23:00:00+02:00,7.0
sc01,y2030,2030-06-01T23:00:00+02:00,7.0
sc01,y2030,2030-06-02T23:00:00+02:00,7.0
sc01,y2030,2030-06-03T23:00:00+02:00,7.0
sc01,y2030,2030-06-04T23:00:00+02:00,7.0
sc01,y2030,2030-06-05T23:00:00+02:00,7.0
sc01,y2030,2030-06-06T23:00:00+02:00,7.0
sc01,y2030,2030-06-07T23:00:00+02:00,7.0
sc01,y2030,2030-06-08T23:00:00+02:00,7.0
sc01,y2030,2030-06-09T23:00:00+02:00,7.0
sc01,y2030,2030-06-10T23:00:00+02:00,7.0
sc01,y2030,2030-06-11T23:00:00+02:00,7.0
sc01,y2030,2030-06-12T23:00:00+02:00,7.0
sc01,y2030,2030-06-13T23:00:00+02:00,7.0
sc01,y2030,2030-06-14T23:00:00+02:00,7.0
sc01,y2030,2030-06-15T23:00:00+02:00,7.0
sc01,y2030,2030-06-16T23:00:00+02:00,7.0
sc01,y2030,2030-06-17T23:00:00+02:00,7.0
sc01,y2030,2030-06-18T23:00:00+02:00,7.0
sc01,y2030,2030-06-19T23:00:00+02:00,7.0
sc01,y2030,2030-06-20T23:00:00+02:00,7.0
sc01,y2030,2030-06-21T23:00:00+02:00,7.0
sc01,y2030,2030-06-22T23:00:00+02:00,7.0
sc01,y2030,2030-06-23T23:00:00+02:00,7.0
sc01,y2030,2030-06-24T23:00:00+02:00,7.0
sc01,y2030,2030-06-25T23:00:00+02:00,7.0
sc01,y2030,2030-06-26T23:00:00+02:00,7.0
sc01,y2030,2030-06-27T23:00:00+02:00,7.0
sc01,y2030,2030-06-28T23:00:00+02:00,7.0
sc01,y2030,2030-06-29T23:00:00+02:00,7.0
sc01,y2030,2030-06-30T23:00:00+02:00,7.0
sc01,y2030,2030-07-01T23:00:00+02:00,7.0
sc01,y2030,2030-07-02T23:00:00+02:00,7.0
sc01,y2030,2030-07-03T23:00:00+02:00,7.0
sc01,y2030,2030-07-04T23:00:00+02:00,7.0
sc01,y2030,2030-07-05T23:00:00+02:00,7.0
sc01,y2030,2030-07-06T23:00:00+02:00,7.0
sc01,y2030,2030-07-07T23:00:00+02:00,7.0
sc01,y2030,2030-07-08T23:00:00+02:00,7.0
sc01,y2030,2030-07-09T23:00:00+02:00,7.0
sc01,y2030,2030-07-10T23:00:00+02:00,7.0
sc01,y2030,2030-07-11T23:00:00+02:00,7.0
sc01,y2030,2030-07-12T23:00:00+02:00,7.0
sc01,y2030,2030-07-13T23:00:00+02:00,7.0
sc01,y2030,2030-07-14T23:00:00+02:00,7.0
sc01,y2030,2030-07-15T23:00:00+02:00,7.0
sc01,y2030,2030-07-16T23:00:00+02:00,7.0
sc01,y2030,2030-07-17T23:00:00+02:00,7.0
sc01,y2030,2030-07-18T23:00:00+02:00,7.0
sc01,y2030,2030-07-19T23:00:00+02:00,7.0
sc01,y2030,2030-07-20T23:00:00+02:00,7.0
sc01,y2030,2030-07-21T23:00:00+02:00,7.0
sc01,y2030,2030-07-22T23:00:00+02:00,7.0
sc01,y2030,2030-07-23T23:00:00+02:00,7.0
sc01,y2030,2030-07-24T23:00:00+02:00,7.0
sc01,y2030,2030-07-25T23:00:00+02:00,7.0
sc01,y2030,2030-07-26T23:00:00+02:00,7.0
sc01,y2030,2030-07-27T23:00:00+02:00,7.0
sc01,y2030,2030-07-28T23:00:00+02:00,7.0
sc01,y2030,2030-07-29T23:00:00+02:00,7.0
sc01,y2030,2030-07-30T23:00:00+02:00,7.0
sc01,y2030,2030-07-31T23:00:00+02:00,7.0
sc01,y2030,2030-08-01T23:00:00+02:00,7.0
sc01,y2030,2030-08-02T23:00:00+02:00,7.0
sc01,y2030,2030-08-03T23:00:00+02:00,7.0
sc01,y2030,2030-08-04T23:00:00+02:00,7.0
sc01,y2030,2030-08-05T23:00:00+02:00,7.0
sc01,y2030,2030-08-06T23:00:00+02:00,7.0
sc01,y2030,2030-08-07T23:00:00+02:00,7.0
sc01,y2030,2030-08-08T23:00:00+02:00,7.0
sc01,y2030,2030-08-09T23:00:00+02:00,7.0
sc01,y2030,2030-08-10T23:00:00+02:00,7.0
sc01,y2030,2030-08-11T23:00:00+02:00,7.0
