,,,LineType,Voltage,LossFactor,Reactance,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment,Resistance,Susceptance,Tap
ES611,ES612,ac1,AC,400,0.012979167,0.0686875,600,0.67,,,,,,
ES611,ES620,ac1,AC,400,0.00445,0.02355,600,0.67,,,,,,
ES511,ES300,ac1,AC,400,0.019654167,0.1040125,600,0.67,,,,,,
ES511,ES523,ac1,AC,400,0.012979167,0.0686875,600,0.67,,,,,,
ES21,ES511,ac1,AC,400,0.019654167,0.1040125,600,0.67,,,,,,
ES21,ES418,ac1,AC,400,0.0077875,0.0412125,600,0.67,,,,,,
ES21,ES418,cac1,AC,400,0.0077875,0.0412125,600,0.67,30,0.075,1,,,
ES432,ES300,ac1,AC,400,0.011866667,0.0628,600,0.67,,,,,,
ES432,ES300,cac1,DC,400,0.011866667,0.0628,600,0.67,30,0.075,1,,,
ES432,ES618,ac1,AC,400,0.009641667,0.051025,600,0.67,,,,,,
ES432,ES618,ac2,AC,400,0.009641667,0.051025,600,0.67,,,,,,
ES432,ES618,cac1,AC,400,0.009641667,0.051025,600,0.67,30,0.075,1,,,
ES432,ES418,ac1,AC,400,0.011866667,0.0628,600,0.67,,,,,,
ES432,ES418,cac1,DC,400,0.011866667,0.0628,600,0.67,30,0.075,1,,,
ES612,ES618,ac1,AC,400,0.00445,0.02355,600,0.67,,,,,,
ES612,ES618,cac1,AC,400,0.00445,0.02355,600,0.67,10,0.075,1,,,
ES620,ES523,ac1,AC,400,0.009641667,0.051025,600,0.67,,,,,,
ES620,ES523,cac1,AC,400,0.009641667,0.051025,600,0.67,10,0.075,1,,,
ES112,ES418,ac1,AC,400,0.012608333,0.066725,600,0.67,,,,,,
ES112,ES418,ac2,AC,400,0.012608333,0.066725,600,0.67,,,,,,
ES300,ES418,ac1,AC,400,0.00445,0.02355,600,0.67,,,,,,
ES300,ES418,cac1,AC,400,0.00445,0.02355,600,0.67,40,0.075,1,,,
ES618,ES300,ac1,AC,400,0.012979167,0.0686875,600,0.67,,,,,,
ES618,ES418,cac1,DC,400,0.019654167,0.1040125,600,0.67,50,0.075,1,,,
ES523,ES300,ac1,AC,400,0.011866667,0.0628,600,0.67,,,,,,
ES523,ES300,ac2,AC,400,0.011866667,0.0628,600,0.67,,,,,,
ES523,ES300,cac1,DC,400,0.011866667,0.0628,600,0.67,50,0.075,1,,,
ES300,ES21,cac1,AC,400,0.011866667,0.0628,600,0.67,50,0.075,1,,,
