,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
AL00_Nuclear,AL00,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
AT00_Nuclear,AT00,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
BA00_Nuclear,BA00,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
BE00_Nuclear,BE00,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
BG00_Nuclear,BG00,Nuclear,,1,1960,784,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
CH00_Nuclear,CH00,Nuclear,,1,2200,880,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
CY00_Nuclear,CY00,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
CZ00_Nuclear,CZ00,Nuclear,,1,4040.800049,1616.32002,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
DE00_Nuclear,DE00,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
DEKF_Nuclear,DEKF,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
DKE1_Nuclear,DKE1,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
DKKF_Nuclear,DKKF,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
DKW1_Nuclear,DKW1,Nuclear,,1,0,0,,,,,,,,,12,12,0.47,10.90909121,,9,,,,,,,,
