,,,LineType,Voltage,LossFactor,Reactance,TTC,SecurityFactor,FixedCost,FixedChargeRate,BinaryInvestment,Resistance,Susceptance,Tap
AL00,GR00,cc1,DC,400,0.02,0.1,250,1,,,,,,
AL00,ME00,cc1,DC,400,0.02,0.1,350,1,,,,,,
AL00,MK00,cc1,DC,400,0.02,0.1,500,1,,,,,,
AL00,RS00,cc1,DC,400,0.02,0.1,650,1,,,,,,
AT00,CH00,cc1,DC,400,0.02,0.1,1200,1,,,,,,
AT00,CZ00,cc1,DC,400,0.02,0.1,900,1,,,,,,
AT00,DE00,cc1,DC,400,0.02,0.1,5400,1,,,,,,
AT00,HU00,cc1,DC,400,0.02,0.1,800,1,,,,,,
AT00,ITN1,cc1,DC,400,0.02,0.1,680,1,,,,,,
AT00,SI00,cc1,DC,400,0.02,0.1,950,1,,,,,,
BA00,HR00,cc1,DC,400,0.02,0.1,750,1,,,,,,
BA00,ME00,cc1,DC,400,0.02,0.1,800,1,,,,,,
BA00,RS00,cc1,DC,400,0.02,0.1,600,1,,,,,,
BE00,DE00,cc1,DC,400,0.02,0.1,1000,1,,,,,,
BE00,FR00,cc1,DC,400,0.02,0.1,2800,1,,,,,,
BE00,LUG1,cc1,DC,400,0.02,0.1,300,1,,,,,,
BE00,NL00,cc1,DC,400,0.02,0.1,2400,1,,,,,,
BE00,UK00,cc1,DC,400,0.02,0.1,1000,1,,,,,,
BG00,GR00,cc1,DC,400,0.02,0.1,1350,1,,,,,,
BG00,MK00,cc1,DC,400,0.02,0.1,500,1,,,,,,
BG00,RO00,cc1,DC,400,0.02,0.1,1200,1,,,,,,
BG00,RS00,cc1,DC,400,0.02,0.1,400,1,,,,,,
BG00,TR00,cc1,DC,400,0.02,0.1,900,1,,,,,,
CH00,DE00,cc1,DC,400,0.02,0.1,4600,1,,,,,,
CH00,FR00,cc1,DC,400,0.02,0.1,1300,1,,,,,,
CH00,ITN1,cc1,DC,400,0.02,0.1,3750,1,,,,,,
CZ00,DE00,cc1,DC,400,0.02,0.1,2100,1,,,,,,
CZ00,SK00,cc1,DC,400,0.02,0.1,1800,1,,,,,,
DE00,DEKF,cc1,DC,400,0.02,0.1,400,1,,,,,,
DE00,DKE1,cc1,DC,400,0.02,0.1,600,1,,,,,,
DE00,DKW1,cc1,DC,400,0.02,0.1,3500,1,,,,,,
DE00,FR00,cc1,DC,400,0.02,0.1,3000,1,,,,,,
DE00,LUG1,cc1,DC,400,0.02,0.1,1000,1,,,,,,
DE00,LUV1,cc1,DC,400,0.02,0.1,1300,1,,,,,,
DE00,NL00,cc1,DC,400,0.02,0.1,5000,1,,,,,,
DE00,NOS0,cc1,DC,400,0.02,0.1,1400,1,,,,,,
DE00,SE04,cc1,DC,400,0.02,0.1,615,1,,,,,,
DE00,UK00,cc1,DC,400,0.02,0.1,1400,1,,,,,,
DEKF,DKKF,cc1,DC,400,0.02,0.1,400,1,,,,,,
DKE1,DKKF,cc1,DC,400,0.02,0.1,400,1,,,,,,
DKE1,DKW1,cc1,DC,400,0.02,0.1,600,1,,,,,,
DKE1,SE04,cc1,DC,400,0.02,0.1,1700,1,,,,,,
DKW1,NL00,cc1,DC,400,0.02,0.1,700,1,,,,,,
DKW1,NOS0,cc1,DC,400,0.02,0.1,1640,1,,,,,,
DKW1,SE03,cc1,DC,400,0.02,0.1,740,1,,,,,,
DKW1,UK00,cc1,DC,400,0.02,0.1,1400,1,,,,,,
EE00,FI00,cc1,DC,400,0.02,0.1,1016,1,,,,,,
EE00,LV00,cc1,DC,400,0.02,0.1,1100,1,,,,,,
ES00,FR00,cc1,DC,400,0.02,0.1,5000,1,,,,,,
ES00,PT00,cc1,DC,400,0.02,0.1,4200,1,,,,,,
FI00,SE01,cc1,DC,400,0.02,0.1,2000,1,,,,,,
FI00,SE03,cc1,DC,400,0.02,0.1,1200,1,,,,,,
FR00,ITN1,cc1,DC,400,0.02,0.1,4100,1,,,,,,
FR00,UK00,cc1,DC,400,0.02,0.1,4000,1,,,,,,
FR15,ITCO,cc1,DC,400,0.02,0.1,120,1,,,,,,
GR00,GR03,cc1,DC,400,0.02,0.1,800,1,,,,,,
GR00,ITS1,cc1,DC,400,0.02,0.1,500,1,,,,,,
GR00,MK00,cc1,DC,400,0.02,0.1,1100,1,,,,,,
GR00,TR00,cc1,DC,400,0.02,0.1,660,1,,,,,,
HR00,HU00,cc1,DC,400,0.02,0.1,1700,1,,,,,,
HR00,RS00,cc1,DC,400,0.02,0.1,500,1,,,,,,
HR00,SI00,cc1,DC,400,0.02,0.1,2000,1,,,,,,
HU00,RO00,cc1,DC,400,0.02,0.1,1000,1,,,,,,
