Zone,Area
AL00,AL00
AT00,AT00
BA00,BA00
BE00,BE00
BG00,BG00
CH00,CH00
CY00,CY00
CZ00,CZ00
DE00,DE00
DEKF,DEKF
DKE1,DKE1
DKKF,DKKF
DKW1,DKW1
EE00,EE00
ES00,ES00
FI00,FI00
FR00,FR00
FR15,FR15
GR00,GR00
GR03,GR03
HR00,HR00
HU00,HU00
IE00,IE00
ITCN,ITCN
ITCO,ITCO
ITCS,ITCS
ITN1,ITN1
ITS1,ITS1
ITSA,ITSA
ITSC,ITSC
ITSI,ITSI
LT00,LT00
LUG1,LUG1
LUV1,LUV1
LV00,LV00
ME00,ME00
MK00,MK00
MT00,MT00
NL00,NL00
NOM0,NOM0
NOM1,NOM1
NON0,NON0
NON1,NON1
NOS0,NOS0
PL00,PL00
PT00,PT00
RO00,RO00
RS00,RS00
SE01,SE01
SE02,SE02
SE03,SE03
SE04,SE04
SI00,SI00
SK00,SK00
TR00,TR00
UA01,UA01
UK00,UK00
UKNI,UKNI
