Scenario,Period,LoadLevel,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DEKF,DKE1,DKKF,DKW1,EE00,ES00,FI00,FR00,FR15,GR00,GR03,HR00,HU00,IE00,ITCN,ITCO,ITCS,ITN1,ITS1,ITSA,ITSC,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM0,NOM1,NON0,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,TR00,UA01,UK00,UKNI
sc2025,y2025,2025-01-01T01:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,55.42779647,103.009663615,0,0,0,0,0,0,0,0,0.0,0,414.21872515,141.34360635999954,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T03:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,53.26425794499999,103.18720524999999,0,0,0,0,0,0,0,0,1700.8054857999998,0,386.2804416499999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T05:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,51.20374506499999,91.22089824499997,0,0,0,0,0,0,0,0,1834.5170024,0,453.55821765000013,20.271646560002132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T07:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,44.50707820499999,80.78144939999999,0,0,0,0,0,0,0,0,2108.2802970000002,0,656.2433036500006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T09:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,45.537334649999984,78.36688299999999,0,0,0,0,0,0,0,0,2174.0078989000003,0,730.5762336500007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T11:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,48.31902703499998,74.70952506999998,0,0,0,0,0,0,0,0,1960.9048511499996,0,755.0557951500001,3192.104045195008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T13:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,48.31902702999999,75.81028328499995,0,0,0,0,0,0,0,0,1965.9875825499996,0,804.1418011499999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T15:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,47.80389881499998,75.49070831999997,0,0,0,0,0,0,0,0,2519.715412949999,0,0.0,3575.6955312085065,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T17:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,45.84641157499998,77.55019142499997,0,0,0,0,0,0,0,0,2757.8834398999998,0,0.0,3803.050947460005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T19:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,46.05246286499998,69.06370069999998,0,0,0,0,0,0,0,0,2823.331168649999,0,1222.697224650001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T21:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,47.39179623999998,85.46854888499998,0,0,0,0,0,0,0,0,2814.5231694999993,0,1120.110494650001,2156.1930669600133,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-01T23:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,49.246257829999976,85.85914050499997,0,0,0,0,0,0,0,0,2681.7729108999993,0,1005.6512401500015,999.3547085100118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T01:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,73.04518159499996,137.31070979999993,0,0,0,0,0,0,0,0,2616.3312913999994,0,1120.925831650001,954.8525893600122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T03:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,68.51205325999996,137.63028479999994,0,0,0,0,0,0,0,0,2548.1376060999996,0,1096.487191650001,475.61612486001593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T05:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,63.87589927999997,116.92892874999993,0,0,0,0,0,0,0,0,2645.49911475,0,1259.5639282500003,1381.6337873600162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T07:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,50.070462979999974,98.92620570499993,0,0,0,0,0,0,0,0,2955.7007763499996,0,1492.0086646500008,3984.926775360015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T09:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,51.92492457499998,94.77173118499994,0,0,0,0,0,0,0,0,2987.0683194999992,0,1508.32512915,4310.763132260015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T11:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.69436063499999,88.4157402199999,0,0,0,0,0,0,0,0,2951.0852148999998,0,1446.79136815,4251.3174857600125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T13:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,57.90041192999998,90.29768167999991,0,0,0,0,0,0,0,0,2954.983424899999,0,1456.1435236499997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T15:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,56.767129844999985,89.72954838999992,0,0,0,0,0,0,0,0,3014.622544099999,0,1500.3913906499988,4610.204256760016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T17:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.74912972499998,93.3869063349999,0,0,0,0,0,0,0,0,3056.7058088999993,0,1497.856116149999,4687.733816760021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T19:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,52.955181014999994,78.65094963499993,0,0,0,0,0,0,0,0,3022.5696713499983,0,1474.6751821499986,4149.441046360013,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T21:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,55.94292468999999,107.0221048499999,0,0,0,0,0,0,0,0,2878.583810149999,0,1360.683188649998,3437.719901360015,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-02T23:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,59.75487352,107.6612547549999,0,0,0,0,0,0,0,0,2630.7084766499993,0,0.0,2098.487256360016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T01:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,72.633079015,137.31070979999987,0,0,0,0,0,0,0,0,2498.234729849999,0,1165.7487064499978,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2025,y2025,2025-01-03T03:00:00+01:00,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,67.99692503499999,137.63028479999988,0,0,0,0,0,0,0,0,2458.122815649999,0,1251.1301523499978,1110.6495833600113,0,0,0,0,0,0,0,0,0,0,0,0,0,0
