InitialNode,,,AL00,AL00,AL00,AL00,AT00,AT00,AT00,AT00,AT00,AT00,BA00,BA00,BA00,BE00,BE00,BE00,BE00,BE00,BG00,BG00,BG00,BG00,BG00,CH00,CH00,CH00,CZ00,CZ00,DE00,DE00,DE00,DE00,DE00,DE00,DE00,DE00,DE00,DE00,DEKF,DKE1,DKE1,DKE1,DKW1,DKW1,DKW1,DKW1,EE00,EE00,ES00,ES00,FI00,FI00,FR00,FR00,FR15,GR00,GR00,GR00,GR00,HR00,HR00,HR00,HU00,HU00,HU00,HU00,HU00,IE00,IE00,ITCN,ITCN,ITCN,ITCO,ITCS,ITCS,ITCS,ITN1,ITS1,ITSC,LT00,LT00,LT00,ME00,MK00,NL00,NL00,NOM0,NOM0,NOM0,NON0,NON0,NOS0,NOS0,PL00,RO00,RO00,SE01,SE02,SE03,SK00,UK00
FinalNode,,,GR00,ME00,MK00,RS00,CH00,CZ00,DE00,HU00,ITN1,SI00,HR00,ME00,RS00,DE00,FR00,LUG1,NL00,UK00,GR00,MK00,RO00,RS00,TR00,DE00,FR00,ITN1,DE00,SK00,DEKF,DKE1,DKW1,FR00,LUG1,LUV1,NL00,NOS0,SE04,UK00,DKKF,DKKF,DKW1,SE04,NL00,NOS0,SE03,UK00,FI00,LV00,FR00,PT00,SE01,SE03,ITN1,UK00,ITCO,GR03,ITS1,MK00,TR00,HU00,RS00,SI00,RO00,RS00,SI00,SK00,UA01,UK00,UKNI,ITCO,ITCS,ITN1,ITSA,ITS1,ITSA,ME00,SI00,ITSC,MT00,LV00,PL00,SE04,RS00,RS00,NOS0,UK00,NON0,NOS0,SE02,SE01,SE02,SE03,UK00,SE04,RS00,UA01,SE02,SE03,SE04,UA01,UKNI
Circuit,,,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1,cc1
sc2025,y2025,2025-01-01T01:00:00+01:00,0.9835685524000013,1.0,1.0,1.0,1.0,1.0,0.5930098833064819,1.0,1.0,0.9628758054684194,1.0,0.2033530854250004,1.0,1.0,1.0,1.0,0.932003537833334,1.0,1.0,1.0,0.2784940006249994,1.0,1.0,1.0,1.0,1.0,0.6507343821190477,0.8240133684444446,1.0,0.8017518983333335,1.0,1.0,0.003932650044999986,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9985466685777565,0.8800439472954552,1.0,1.0,1.0,1.0,1.0,1.0,0,0.32151646300000003,1.0,0.5591080222727272,1.0,0.9216128574088226,1.0,0.6773001642974993,1.0,1.0,1.0,1.0,1.0,1.0,0.3065958996799999,0.44999999999999996,0.7563604847571425,1.0,1.0,0.09998787706120607,1.0,0.9102791518499992,1.0,0.13363119109090907,0.7349715509999999,1.0,0.3997071210000003,1.0,1.0,1.0,1.0,1.0,0.6153846153846155,1,1.0,0.7857142857142858,1.0,1.0,1.0,0.9327732268333299,1.0,1.0,1.0,1.0,0.6957398727638894,0.5829753490000003,1.0
sc2025,y2025,2025-01-01T03:00:00+01:00,1.0,1.0,1.0,1.0,1.0,1.0,0.7327469709046296,1.0,1.0,0.29457335859473793,1.0,0.3426538974500007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5533930919583326,1.0,1.0,1.0,1.0,1.0,1.0,0.9007970428333336,1.0,1.0,0.5515594775714285,1.0,0.9825240955000001,0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8855418391363635,1.0,0.795961510392857,1.0,1.0,1.0,1.0,0,0.40137182762499973,1.0,1.0,1.0,0.6116640400382356,1.0,0.38279604278250035,1.0,1.0,1.0,1.0,0.5952282228888887,1.0,0.35518017452000006,0.44999999999999996,1.0,0.7171865055,1.0,0.11813589198884893,1.0,1.0,1.0,0.18030860604545454,0.9916973332500003,1.0,0.43632488499999966,1.0,1.0,1.0,1.0,1.0,0.6153846153846155,1,1.0,1.0,0.40000000000000036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6850147618055556,1.0,1.0
sc2025,y2025,2025-01-01T05:00:00+01:00,1.0,1.0,1.0,1.0,1.0,1.0,0.1821101644861111,1.0,1.0,0.11724300428947272,0.7041814505133323,0.09922115218749986,1.0,1.0,1.0,1.0,0.7813360158562491,1.0,0.7042790791925925,0.27749488800000033,0.28894030695000095,1.0,1.0,1.0,1.0,1.0,0.7042162845000002,0.8510692658055561,1.0,1.0,0.636829216771429,1.0,0.96283036945,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.6284656128823534,1.0,1.0,1.0,1.0,0.5783428120349409,0.45271173670681814,1.0,0.19394381452380946,1.0,1.0,1.0,1.0,0,0.11877015723749995,1.0,1.0,1.0,0.8793448793441176,1.0,1.0,0.48650136964,1.0,0.6535966311875007,1.0,1.0,1.0,0.32206348496000015,0.4500000000000001,1.0,0.8431964290050002,1.0,0.3637775313031303,1.0,1.0,1.0,0.18181818181818177,1.0,1.0,0.26324681300000097,1.0,1.0,1.0,1.0,1.0,0.6153846153846155,1,1.0,0.7857142857142858,1.0,1.0,1.0,0.2615679731666663,1.0,1.0,1.0,1.0,0.13385067124999994,0.6421867221250002,1.0
sc2025,y2025,2025-01-01T07:00:00+01:00,1.0,0.3854099035085743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27629382255333407,1.0,1.0,1.0,1.0,1.0,0.7959824064499981,1.0,1.0,0.20084503349000338,1.0,1.0,1.0,1.0,1.0,0.6888256139466674,1.0,0.8285759368055557,1.0,1.0,0.2519696533428574,1.0,0.8097046568600001,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.3183570338932351,1.0,1.0,1.0,1.0,1.0,0.5068689368090906,1.0,0.7922558174380963,0.31931628715499905,1.0,1.0,1.0,0,0.4652495098937498,1.0,0.4546755061590923,1.0,1.0,1.0,0.5273277570424998,1.0,1.0,0.2808987954541664,0.43073065374999936,0.5183123781555549,1.0,0.1064333599380003,0.4500000000000001,1.0,1.0,1.0,0.06788034426442643,0.3683447451944442,0.7518196746783318,1.0,0.1214211162272728,0.6678161392500006,1.0,1.0,1.0,1.0,1.0,1.0,0.3817056635500009,0.6153846153846155,1,1.0,0.7857142857142858,1.0,1.0,1.0,1.0,0.026656150849998728,1.0,1.0,1.0,0.6418686497499996,1.0,1.0
sc2025,y2025,2025-01-01T09:00:00+01:00,1.0,0.6008607462985676,1.0,1.0,1.0,1.0,0.11244749746296337,1.0,1.0,1.0,0.2523209722499993,0.30669019289687527,1.0,1.0,1.0,0.946799909833334,0.4374332845624988,1.0,0.19936106615185456,1.0,1.0,1.0,1.0,1.0,1.0,0.6705171286426701,1.0,1.0,1.0,1.0,0.5098535679428586,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,0.3433351672499933,0.5525828464970617,1.0,1.0,1.0,1.0,1.0,0.4841005415181816,1.0,1.0,0.2299759766149987,1.0,0.8515110158902474,1.0,0,0.3967262065874999,1.0,0.7088093791181815,1.0,0.3067999358073526,1.0,0.06889528074999973,1.0,0.6238011836708373,1.0,0.5936049420555556,0.6747380741555545,1.0,0.0355314419724019,0.4500000000000001,1.0,1.0,1.0,0.04859636412721266,0.6444238767777769,0.5432264606783318,1.0,0.15466312609818192,0.8506471935400008,1.0,1.0,1.0,1.0,1.0,1.0,0.21214247350000104,0.6153846153846155,1,1.0,0.7857142857142858,1.0,1.0,1.0,1.0,0.947681201750002,1.0,1.0,1.0,0.571670437424305,1.0,1.0
sc2025,y2025,2025-01-01T11:00:00+01:00,1.0,0.6532322228285691,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04281008429333152,0.6234978676062508,1.0,1.0,1.0,0.8115065241666668,0.36575227280624867,1.0,1.0,0.43163536309000716,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8803585743428576,1.0,1.0,0,1.0,1,1.0,1.0,1.0,1.0,1.0,0.9300474087532354,1.0,1.0,1.0,1.0,1.0,0.49997398814999977,1.0,1.0,0.022657355079997554,1.0,0.04817264829268072,1.0,0,0.3417278070499999,1.0,0.41872951461363955,1.0,0.27320159026470525,1.0,0.032663409065001314,1.0,1.0,1.0,0.6269263497333327,0.6646306363777776,0.00807737234000061,0.06245647347999981,0.44999999999999996,1.0,0.6512039800499998,1.0,0.06722555267776785,1.0,1.0,1.0,0.18181818181818177,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6153846153846155,1,1.0,0.7857142857142858,1.0,1.0,1.0,1.0,0.9113733973549969,1.0,1.0,1.0,0.4913569900860415,1.0,1.0
sc2025,y2025,2025-01-01T13:00:00+01:00,1.0,0.6182821263642825,1.0,1.0,1.0,1.0,0.34062685048148184,1.0,1.0,1.0,0.29445377059666633,0.36428929929062465,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04450600547999117,1.0,1.0,0.5253555811111132,1.0,1.0,0.34661736917333336,1.0,1.0,1.0,1.0,0.49443422118271435,1.0,0.45203214994999974,0,0.7878070684590007,1,1.0,0.6652516626071415,1.0,1.0,1.0,0.5081176529470586,1.0,1.0,0.31140092633716204,1.0,1.0,0.46764125141818186,1.0,1.0,0.24199266561750088,1.0,1.0,1.0,0,0.4373209961749999,1.0,0.21860480890000394,1.0,0.3417560738514703,1.0,0.05858407795249965,1.0,1.0,1.0,0.7096954559916661,0.6357843808499996,1.0,0.1714483322636001,0.4500000000000001,1.0,0.7243837676999995,1.0,0.04347754132263234,1.0,0.6126286849416642,1.0,0.10701355736363649,0.588574565500001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6153846153846155,1,1.0,0.7857142857142858,1.0,1.0,1.0,1.0,0.8611484501479951,0.3679966599166673,1.0,1.0,0.6824895802554859,1.0,1.0
sc2025,y2025,2025-01-01T15:00:00+01:00,1.0,0.7324231916771393,1.0,1.0,1.0,1.0,0.7295026723361112,1.0,1.0,1.0,0.7623245930253307,0.6501177237174984,1.0,0.19941322785499616,1.0,0.9081011793333338,1.0,1.0,1.0,1.0,1.0,1.0,0.16898171885444538,1.0,1.0,0.012026852533333236,1.0,1.0,1.0,1.0,0.37192416575357107,1.0,1.0,0,1.0,1,1.0,0.4655877671714295,1.0,1.0,1.0,0.13726305447411818,1.0,1.0,0.4007841610979764,1.0,1.0,0.39430819375909093,1.0,1.0,1.0,1.0,1.0,1.0,0,0.5959834643124997,1.0,0.6669395104818181,1.0,0.10964721013588298,1.0,0.0627839284999997,1.0,1.0,1.0,1.0,1.0,1.0,0.1254657357279994,0.41930609541250163,1.0,1.0,0.9317913231388926,0.09425079265176532,1.0,0.6310259260783329,1.0,0.12071725996363655,0.6639449298000007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6153846153846155,1,1.0,0.7857142857142858,1.0,1.0,1.0,1.0,0.639735025363497,0.5939604082333328,0.868070179090909,1.0,0.5442436132838888,1.0,1.0
