Scenario,Period,LoadLevel,Biofuel,Gas,HardCoal,HydroRun,HydroTurbinePumpStorage,HydroTurbineReservoir,Lignite,Nuclear,Oil,OthersNonRenewable,OthersRenewable,SolarPhotovoltaic,SolarThermal,WindOffshore,WindOnshore
sc2025,y2025,2025-01-01T01:00:00+01:00,4295.133794,1976.666350900002,0.0,36603.529147285,1653.7420249000002,97823.41462467499,0.0,0.0,0.0,35981.40628291,19757.57009436999,201873.54082876505,180.00000158000003,12761.950084724998,21823.847034180002
sc2025,y2025,2025-01-01T03:00:00+01:00,8594.9197933,1218.5661600500005,0.0,40890.61866038001,0.0,74240.7502058385,0.0,0.0,0.0,39267.746469900005,20961.32823724,196963.05040320003,100.00000150000001,8309.406812211493,22144.714108920005
sc2025,y2025,2025-01-01T05:00:00+01:00,7499.087761,758.5915945000015,0.0,37422.9202965,10727.000000000002,71776.7109019225,0.0,0.0,0.0,32918.24555309001,13705.33491889,206528.63984321253,236.12656628000005,3120.100737222504,23324.784650322497
sc2025,y2025,2025-01-01T07:00:00+01:00,12513.09774,3491.0163399475005,3515.566710299999,63057.856940235004,5581.246194625002,99836.80142854,0.0,18111.226171760998,0.0,60430.3330579,32958.31955972,46520.2153937855,1135.33836132,7578.559558530003,45085.685034318
sc2025,y2025,2025-01-01T09:00:00+01:00,12513.09774,3658.2052208020004,5792.338570699997,60168.32832238,8047.307411222505,100354.571259,0.0,43341.933926490485,0.0,59890.98298790001,36703.34904372001,30605.753757278,5130.2824171165,6833.288761380003,43471.96371163549
sc2025,y2025,2025-01-01T11:00:00+01:00,12513.09774,3676.365193435,6199.980024699999,60535.442670985,2130.180563427994,104435.24954260001,0.0,36367.14615745499,0.0,59578.67601690001,36666.531146980014,60081.534686985004,5194.29766327,9254.754064295503,40418.863275197
sc2025,y2025,2025-01-01T13:00:00+01:00,12513.09774,3270.585256960003,6613.325479449995,60235.67222345,17198.941693555505,89699.74954260001,0.0,17318.458592278985,90.59778977500017,60329.64415215,36639.78222298001,62741.256598290005,367.370723675,16467.717564650004,50959.392261515495
sc2025,y2025,2025-01-01T15:00:00+01:00,12513.09774,6707.9306066735235,6347.275958599991,62174.16748705001,5926.314874995495,100822.634003,0.0,30669.61721505696,169.3100201499999,61196.3330579,38014.61047348,34565.82614878701,2419.9977617800005,20364.684336816,53233.91872375248
sc2025,y2025,2025-01-01T17:00:00+01:00,12495.09774,6447.0301122635055,7348.712701899995,61871.87415804999,17517.20013198548,102224.0792045,0.0,20205.31654852448,0.0,59186.131397900004,35293.99831072,63352.644128318,410.00000578000004,18830.4703169165,55084.152620227505
sc2025,y2025,2025-01-01T19:00:00+01:00,12513.09774,4030.2815587640034,6928.925343299988,63541.90313905001,23285.133824082972,100822.634003,0.0,11006.048850849502,0.0,57805.92474290001,33763.80237622,84238.67182288,390.00000622600004,21555.9869564885,64584.83200432351
sc2025,y2025,2025-01-01T21:00:00+01:00,12513.09774,3907.020555606004,5451.672903049992,63809.97620904999,8224.709236768997,104551.954288,0.0,5260.003668550497,0.0,59195.131397900004,33750.99831072,80700.44101788002,390.00000622600004,24935.074437068502,68403.67598179
sc2025,y2025,2025-01-01T23:00:00+01:00,8829.09774,4025.4937227349988,2748.4096721499923,48038.833628279994,7044.539556309999,100761.88081025,0.0,2327.611013700004,0.0,59195.131397900004,33060.07983186999,86891.82059988003,380.00000645,24076.391471805007,74772.763258705
sc2025,y2025,2025-01-02T01:00:00+01:00,8651.486450499988,3933.791745264997,3266.9976583999924,47982.894202049996,6895.000000000001,93351.99980494,0.0,2341.1628108054983,0.0,48982.73337073,34340.93733518001,87894.67191213001,390.00000622600004,25011.405046235006,71160.79291209852
sc2025,y2025,2025-01-02T03:00:00+01:00,7499.087761,4047.274212339999,2659.207303399995,47019.611247499975,6895.000000000001,96166.1777609,0.0,1621.8919191549978,0.0,45387.47820736001,29025.495038799017,83644.92836313,380.00000645,31111.25894603601,68996.61084857
sc2025,y2025,2025-01-02T05:00:00+01:00,7499.087761,4389.439385734998,3732.8764578999962,56053.58840607501,3832.0000000000005,99000.22605355,0.0,3608.456715102005,0.0,49289.34268244999,33174.68474800497,68080.39818319998,356.65686136100027,37707.9750168935,71235.8191461115
sc2025,y2025,2025-01-02T07:00:00+01:00,12513.09774,21007.64985160952,7942.5557839,64814.97620904999,7244.992550985511,100822.634003,0.0,10961.298101122005,0.0,60430.3330579,37993.37043372,21298.620889448503,671.8406709750006,37114.106390960005,86044.7739589955
sc2025,y2025,2025-01-02T09:00:00+01:00,12513.09774,19975.434665145025,8039.852790999999,63809.97620904999,9503.431342379494,103715.10019550001,1621.8017994000018,15478.878046991482,0.0,60430.3330579,37320.80165572,32165.038920950003,3739.805137320001,36965.998292208504,90327.57176921051
sc2025,y2025,2025-01-02T11:00:00+01:00,12513.09774,19654.59069434002,8039.852790999999,63766.97620904999,14179.319685690005,103803.99556025,1590.777112649996,13777.31432786997,0.0,58037.97419235995,36271.80165572,67767.65134592501,5188.271410535,36246.299883980006,93666.90567420001
sc2025,y2025,2025-01-02T13:00:00+01:00,10161.587760999999,20183.72476216501,8039.852790999999,60223.97620904999,16543.051348740013,102734.3621195,0.0,17714.112779604962,0.0,55096.381279705005,37317.80165572,73497.659475225,5162.962503825001,32003.93818196997,99750.1726089
sc2025,y2025,2025-01-02T15:00:00+01:00,12225.054282754974,22287.562275865504,8039.852790999999,64728.97620904999,16833.223707272493,104588.134003,1102.3966921500073,22344.47076924846,0.0,60393.778136240006,38331.80165572,43023.50007647152,1382.8047591800002,31665.549612408504,105700.25427497852
sc2025,y2025,2025-01-02T17:00:00+01:00,12513.09774,11650.857188137006,7311.792349580316,64814.97620904999,17078.138994584646,104588.134003,0.0,29766.78046027394,249.63236885000168,61196.3330579,38871.80165572,36087.991546149016,260.00000353,32407.156731190007,109353.49606497001
sc2025,y2025,2025-01-02T19:00:00+01:00,11183.087760999999,8772.163671444,7471.027599400008,64771.97620904999,12899.276428005005,104588.134003,101.28000259999999,28199.575179195428,521.3414275000029,61196.3330579,36353.66818522,47876.84444789999,240.00000397600002,31852.028879444504,111416.33718022502
sc2025,y2025,2025-01-02T21:00:00+01:00,11183.087760999999,7681.678712080499,5449.130549355508,64771.97620904999,11378.962075881504,103412.72528799999,0.0,16461.773426744956,551.8207493000027,59961.131397900004,36347.99831072,46844.22537989999,240.00000397600002,29769.233339146005,110031.67389153552
sc2025,y2025,2025-01-02T23:00:00+01:00,11183.087760999999,6504.0082344099965,2259.428379900008,54246.1826446735,9682.852988650002,104157.50858756,0.0,13092.900748919945,185.38747460000295,59167.151623800004,37646.53464392,45203.154010223494,230.0000042,26951.246058700006,113405.15272905401
sc2025,y2025,2025-01-03T01:00:00+01:00,11183.087760999999,4440.765823969999,0.0,62695.00999122499,10981.95020736003,98787.18870670494,0.0,1557.5307575425113,131.12820317000296,52449.277134100004,33928.96279194001,33657.57133435,230.0000042,25939.1128102,113238.97418641753
