,Node,Technology,StorageType,MustRun,MaximumPower,MinimumPower,MaximumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,StartUpCost,ShutDownCost,CO2EmissionRate,FixedCost,FixedChargeRate,BinaryInvestment,MaximumReactivePower,MinimumReactivePower
CT_Trujillo-TG,Trujillo_220_kV,Oil,,,19.342,0,,,,,,,,,,,1,471.290274,,,,,,,,,,
CT_Chimbote-TG,Chimbote_138_kV,Oil,,,18.6321125,0,,,,,,,,,,,1,271.4228021,,,,,,,,,,
CT_Piura-TG,PiuraOeste_220_kV,Oil,,,16.07841,0,,,,,,,,,,,1,318.7767026,,,,,,,,,,
CT_Piura,PiuraOeste_220_kV,Oil,,,7.9545044,0,,,,,,,,,,,1,211.1058435,,,,,,,,,,
CT_Chilayo,Chiclayo_220_kV,Oil,,,17.51626,0,,,,,,,,,,,1,206.3340592,,,,,,,,,,
CT_Sullana,PiuraOeste_220_kV,Oil,,,6.25359,0,,,,,,,,,,,1,338.7228489,,,,,,,,,,
CT_Paita,PiuraOeste_220_kV,Oil,,,3.61228,0,,,,,,,,,,,1,346.0509206,,,,,,,,,,
CT_Malacas-TG1,Talara_220_kV,CCGT,,,12.543925,0,,,,,,,,,,,1,21.08180699,,,,,,,,,,
CT_Malacas-TG2,Talara_220_kV,CCGT,,,12.4189,0,,,,,,,,,,,1,16.05903675,,,,,,,,,,
CT_Dolorespata,Dolorespata_138_kV,CCGT,,,10.8775,0,,,,,,,,,,,1,4.802,,,,,,,,,,
CT_Bellavista_ALCO,Puno_138_kV,Oil,,,3.7331865,0,,,,,,,,,,,1,168.2002505,,,,,,,,,,
CT_Chilina-TV2,Socabaya_138_kV,Oil,,,5.57928,0,,,,,,,,,,,1,172.0122093,,,,,,,,,,
CT_Chilina-TV3,Socabaya_138_kV,Oil,,,9.1845,0,,,,,,,,,,,1,174.066197,,,,,,,,,,
CT_Calana-D,Tacna_66_kV,Oil,,,24.48576,0,,,,,,,,,,,1,216.313664,,,,,,,,,,
CT_Mollendo-TG,Mollendo_138_kV,Oil,,,70.27392,0,,,,,,,,,,,1,366.568744,,,,,,,,,,
CT_Yarinacocha,Pucallpa_60_kV,Oil,,,23.5392,0,,,,,,,,,,,1,183.9039086,,,,,,,,,,
CT_Chilca-TG1,ChilcaCTM_220_kV,CCGT,,,167.984208,0,,,,,,,,,,,1,31.38964687,,,,,,,,,,
CT_Chilca-TG2,ChilcaCTM_220_kV,CCGT,,,161.6740032,0,,,,,,,,,,,1,31.72047842,,,,,,,,,,
CT_Chilca-TG3,ChilcaCTM_220_kV,CCGT,,,182.160384,0,,,,,,,,,,,1,31.72581901,,,,,,,,,,
CT_Kallpa-TG1,ChilcaREP_220_kV,CCGT,,,180.1632,0,,,,,,,,,,,1,31.86679072,,,,,,,,,,
CT_Kallpa-TG2,ChilcaREP_220_kV,CCGT,,,182.064,0,,,,,,,,,,,1,31.60500457,,,,,,,,,,
CT_Kallpa-TG3,ChilcaREP_220_kV,CCGT,,,185.1408,0,,,,,,,,,,,1,31.46393866,,,,,,,,,,
CT_Trujillo-D2,Guadalupe_60_kV,Oil,,,59.01875,0,,,,,,,,,,,1,319.7117873,,,,,,,,,,
CT_Mollendo-Emerg,Mollendo_138_kV,Oil,,,57.6,0,,,,,,,,,,,1,106.8494868,,,,,,,,,,
CT_Piura-Emerg,PiuraOeste_220_kV,Oil,,,77.82072,0,,,,,,,,,,,1,184.1558416,,,,,,,,,,
CH_Banhos_V,Excelsior_50_kV,Hydro_UGH,Weekly,,6.51,0,,,,,,,,,,,1,0.00001,,,,,,,,,,
CT_Huachipa,Huachipa_60_kV,CCGT,,,13.056,0,,,,,,,,,,,1,6.799169036,,,,,,,,,,
CT_Ventanilla-CCTG3,Ventanilla_220_kV,CCGT,,,216.238752,0,,,,,,,,,,,1,21.82713012,,,,,,,,,,
CT_Ventanilla-TG3,Ventanilla_220_kV,CCGT,,,17.400768,0,,,,,,,,,,,1,22.14640856,,,,,,,,,,
CT_Ventanilla-CCTG4,Ventanilla_220_kV,CCGT,,,213.593376,0,,,,,,,,,,,1,21.89523012,,,,,,,,,,
CT_Ventanilla-TG4,Ventanilla_220_kV,CCGT,,,17.187936,0,,,,,,,,,,,1,22.21450856,,,,,,,,,,
CT_Ilo_1-TV1,SPCC_138_kV,Anthracit,,,0,0,,,,,,,,,,,1,91.0022815,,,,,,,,,,
CT_Ilo_1-TV2,SPCC_138_kV,Anthracit,,,0,0,,,,,,,,,,,1,91.0022815,,,,,,,,,,
CT_Ilo_1-TV3,SPCC_138_kV,Anthracit,,,35.57355405,0,,,,,,,,,,,1,68.5167745,,,,,,,,,,
CT_Ilo_1-TV4,SPCC_138_kV,Anthracit,,,38.19398874,0,,,,,,,,,,,1,67.08781788,,,,,,,,,,
CT_Ilo_1-TG1,SPCC_138_kV,Anthracit,,,33.81556591,0,,,,,,,,,,,1,165.5012171,,,,,,,,,,
CT_Ilo_1-TG2,SPCC_138_kV,Anthracit,,,29.64814639,0,,,,,,,,,,,1,165.0835618,,,,,,,,,,
CT_Ilo_1-CAT,SPCC_138_kV,Sub_bitumous,,,3.125305082,0,,,,,,,,,,,1,143.1713465,,,,,,,,,,
