,,,LineType,LossesCoeff,X,TTC,FixedCost,FxChargeRate
LaNinha_500_kV,Piura_500_kV,cc1,AC,0,0.0114192,1372,,
Trujillo_500_kV,LaNinha_500_kV,cc1,AC,0,0.04148976,686.98,,
Chimbote_500_kV,Trujillo_500_kV,cc1,AC,0,0.018403752,980,,
Carabayllo_500_kV,Chimbote_500_kV,cc1,AC,0,0.0238384,980,,
Carapongo_500_kV,Carabayllo_500_kV,cc1,AC,0,0.003487,1372,,
Chilca_500_kV,Carapongo_500_kV,cc1,AC,0,0.00789964,1372,,
Planicie_500_kV,Carabayllo_500_kV,cc1,AC,0,0.00503396,1372,,
Chilca_500_kV,Planicie_500_kV,cc1,AC,0,0.00635268,1372,,
Chilca_500_kV,Independencia_500_kV,cc1,AC,0,0.023903605,824.18,,
Independencia_500_kV,Poroma_500_kV,cc1,AC,0,0.026181478,824.18,,
Poroma_500_kV,Oconha_500_kV,cc1,AC,0,0.014509048,824.18,,
Oconha_500_kV,SanJose_500_kV,cc1,AC,0,0.006994668,824.18,,
SanJose_500_kV,Montalvo_500_kV,cc1,AC,0,0.00593026,824.18,,
Yarabamba_500_kV,Montalvo_500_kV,cc1,AC,0,0.011122168,1372,,
Poroma_500_kV,Yarabamba_500_kV,cc1,AC,0,0.0239672,1372,,
Colcabamba_500_kV,Poroma_500_kV,cc1,AC,0,0.023872064,980,,
Colcabamba_500_kV,Yanango_500_kV,cc1,AC,0,0.0113484,980,,
Yanango_500_kV,Carapongo_500_kV,cc1,AC,0,0.0133788,980,,
Huanuco_500_kV,Yanango_500_kV,cc1,AC,0,0.0233312,980,,
Piura_500_kV,PiuraEste_220_kV,cc1,AC,0,0.026665,588,,
LaNinha_500_kV,LaNinha_220_kV,cc1,AC,0,0.026665,588,,
Trujillo_500_kV,TrujilloNueva_220_kV,cc1,AC,0,0.022365333,735,,
Chimbote_500_kV,Chimbote_220_kV,cc1,AC,0,0.022365333,735,,
Carabayllo_500_kV,Carabayllo_220_kV,cc1,AC,0,0.02715,588,,
Carapongo_500_kV,Carapongo_220_kV,cc1,AC,0,0.021333333,735,,
Planicie_500_kV,Planicie_220_kV,cc1,AC,0,0.02715,588,,
Chilca_500_kV,ChilcaCTM_220_kV,cc1,AC,0,0.027066667,588,,
Poroma_500_kV,Poroma_220_kV,cc1,AC,0,0.032444444,441,,
SanJose_500_kV,SanJose_220_kV,cc1,AC,0,0.028216667,588,,
Montalvo_500_kV,Montalvo_220_kV,cc1,AC,0,0.022533333,735,,
Yarabamba_500_kV,Yarabamba_220_kV,cc1,AC,0,0.0216,735,,
Colcabamba_500_kV,Colcabamba_220_kV,cc1,AC,0,0.0216,735,,
Yanango_500_kV,YanangoNueva_220_kV,cc1,AC,0,0.027166667,588,,
Huanuco_500_kV,Huanuco_220_kV,cc1,AC,0,0.027166667,588,,
Zorritos_220_kV,Tumbes_220_kV,cc1,AC,0,0.028106973,148.96,,
Tumbes_220_kV,Machala_220_kV,cc1,AC,0,0.027103152,148.96,,
Talara_220_kV,Parinhas_220_kV,cc1,AC,0,0.011165122,148.96,,
Parinhas_220_kV,Zorritos_220_kV,cc1,AC,0,0.130335498,148.96,,
Parinhas_220_kV,Tumbes_220_kV,cc1,AC,0,0.159059091,245,,
Parinhas_220_kV,PiuraOeste_220_kV,cc1,AC,0,0.098822261,176.4,,
Parinhas_220_kV,Chira_220_kV,cc1,AC,0,0.065082645,176.4,,
Chira_220_kV,PiuraOeste_220_kV,cc1,AC,0,0.030991736,176.4,,
PiuraOeste_220_kV,PiuraEste_220_kV,cc1,AC,0,0.028153636,441,,
PiuraEste_220_kV,LaNinha_220_kV,cc1,AC,0,0.112515091,176.4,,
LaNinha_220_kV,Chiclayo_220_kV,cc1,AC,0,0.125176574,176.4,,
LaNinha_220_kV,Felam_220_kV,cc1,AC,0,0.040301609,176.4,,
Felam_220_kV,Chiclayo_220_kV,cc1,AC,0,0.068028347,176.4,,
Chiclayo_220_kV,Reque_220_kV,cc1,AC,0,0.012590781,148.96,,
Reque_220_kV,Guadalupe_220_kV,cc1,AC,0,0.066335655,148.96,,
Reque_220_kV,Carhuaquero_220_kV,cc1,AC,0,0.053669421,441,,
Chiclayo_220_kV,Carhuaquero_220_kV,cc1,AC,0,0.084028926,147,,
Trujillo_220_kV,Guadalupe_220_kV,cc1,AC,0,0.113706353,148.96,,
Trujillo_220_kV,TrujilloNueva_220_kV,cc1,AC,0,0.002305785,367.5,,
Trujillo_220_kV,Cajamarca_220_kV,cc1,AC,0,0.141943804,245,,
Carhuaquero_220_kV,Cajamarca_220_kV,cc1,AC,0,0.076971921,294,,
Cajamarca_220_kV,Caclic_220_kV,cc1,AC,0,0.123927066,215.6,,
Caclic_220_kV,Moyobamba_220_kV,cc1,AC,0,0.109743802,215.6,,
Moyobamba_220_kV,Iquitos_220_kV,cc1,AC,0,0.15470426,147,,
CerroCorona_220_kV,Cajamarca_220_kV,cc1,AC,0,0.034516041,336.0871387,,
Chimbote_220_kV,Trujillo_220_kV,cc1,AC,0,0.133446023,148.96,,
Chimbote_220_kV,Viru_220_kV,cc1,AC,0,0.074380165,148.96,,
Viru_220_kV,Trujillo_220_kV,cc1,AC,0,0.058264463,148.96,,
