,,,Up,Down
sc01,y2030,'01/01/2030 00:00,,
sc01,y2030,'01/01/2030 01:00,,
sc01,y2030,'01/01/2030 02:00,,
sc01,y2030,'01/01/2030 03:00,,
sc01,y2030,'01/01/2030 04:00,,
sc01,y2030,'01/01/2030 05:00,,
sc01,y2030,'01/01/2030 06:00,,
sc01,y2030,'01/01/2030 07:00,,
sc01,y2030,'01/01/2030 08:00,,
sc01,y2030,'01/01/2030 09:00,,
sc01,y2030,'01/01/2030 10:00,,
sc01,y2030,'01/01/2030 11:00,,
sc01,y2030,'01/01/2030 12:00,,
sc01,y2030,'01/01/2030 13:00,,
sc01,y2030,'01/01/2030 14:00,,
sc01,y2030,'01/01/2030 15:00,,
sc01,y2030,'01/01/2030 16:00,,
sc01,y2030,'01/01/2030 17:00,,
sc01,y2030,'01/01/2030 18:00,,
sc01,y2030,'01/01/2030 19:00,,
sc01,y2030,'01/01/2030 20:00,,
sc01,y2030,'01/01/2030 21:00,,
sc01,y2030,'01/01/2030 22:00,,
sc01,y2030,'01/01/2030 23:00,,
sc01,y2030,'02/01/2030 00:00,,
sc01,y2030,'02/01/2030 01:00,,
sc01,y2030,'02/01/2030 02:00,,
sc01,y2030,'02/01/2030 03:00,,
sc01,y2030,'02/01/2030 04:00,,
sc01,y2030,'02/01/2030 05:00,,
sc01,y2030,'02/01/2030 06:00,,
sc01,y2030,'02/01/2030 07:00,,
sc01,y2030,'02/01/2030 08:00,,
sc01,y2030,'02/01/2030 09:00,,
sc01,y2030,'02/01/2030 10:00,,
sc01,y2030,'02/01/2030 11:00,,
sc01,y2030,'02/01/2030 12:00,,
sc01,y2030,'02/01/2030 13:00,,
sc01,y2030,'02/01/2030 14:00,,
sc01,y2030,'02/01/2030 15:00,,
sc01,y2030,'02/01/2030 16:00,,
sc01,y2030,'02/01/2030 17:00,,
sc01,y2030,'02/01/2030 18:00,,
sc01,y2030,'02/01/2030 19:00,,
sc01,y2030,'02/01/2030 20:00,,
sc01,y2030,'02/01/2030 21:00,,
sc01,y2030,'02/01/2030 22:00,,
sc01,y2030,'02/01/2030 23:00,,
sc01,y2030,'03/01/2030 00:00,,
sc01,y2030,'03/01/2030 01:00,,
sc01,y2030,'03/01/2030 02:00,,
sc01,y2030,'03/01/2030 03:00,,
sc01,y2030,'03/01/2030 04:00,,
sc01,y2030,'03/01/2030 05:00,,
sc01,y2030,'03/01/2030 06:00,,
sc01,y2030,'03/01/2030 07:00,,
sc01,y2030,'03/01/2030 08:00,,
sc01,y2030,'03/01/2030 09:00,,
sc01,y2030,'03/01/2030 10:00,,
sc01,y2030,'03/01/2030 11:00,,
sc01,y2030,'03/01/2030 12:00,,
sc01,y2030,'03/01/2030 13:00,,
sc01,y2030,'03/01/2030 14:00,,
sc01,y2030,'03/01/2030 15:00,,
sc01,y2030,'03/01/2030 16:00,,
sc01,y2030,'03/01/2030 17:00,,
sc01,y2030,'03/01/2030 18:00,,
sc01,y2030,'03/01/2030 19:00,,
sc01,y2030,'03/01/2030 20:00,,
sc01,y2030,'03/01/2030 21:00,,
sc01,y2030,'03/01/2030 22:00,,
sc01,y2030,'03/01/2030 23:00,,
sc01,y2030,'04/01/2030 00:00,,
sc01,y2030,'04/01/2030 01:00,,
sc01,y2030,'04/01/2030 02:00,,
sc01,y2030,'04/01/2030 03:00,,
sc01,y2030,'04/01/2030 04:00,,
sc01,y2030,'04/01/2030 05:00,,
sc01,y2030,'04/01/2030 06:00,,
sc01,y2030,'04/01/2030 07:00,,
sc01,y2030,'04/01/2030 08:00,,
sc01,y2030,'04/01/2030 09:00,,
