,,,Spain
sc2015,y2030,2030-01-01T00:00:00+01:00,1782.448
sc2015,y2030,2030-01-01T01:00:00+01:00,1738.346
sc2015,y2030,2030-01-01T02:00:00+01:00,1689.09
sc2015,y2030,2030-01-01T03:00:00+01:00,1638.614
sc2015,y2030,2030-01-01T04:00:00+01:00,1612.541
sc2015,y2030,2030-01-01T05:00:00+01:00,1585.862
sc2015,y2030,2030-01-01T06:00:00+01:00,1569.252
sc2015,y2030,2030-01-01T07:00:00+01:00,1564.511
sc2015,y2030,2030-01-01T08:00:00+01:00,1547.922
sc2015,y2030,2030-01-01T09:00:00+01:00,1543.856
sc2015,y2030,2030-01-01T10:00:00+01:00,1576.845
sc2015,y2030,2030-01-01T11:00:00+01:00,1599.313
sc2015,y2030,2030-01-01T12:00:00+01:00,1609.599
sc2015,y2030,2030-01-01T13:00:00+01:00,1614.788
sc2015,y2030,2030-01-01T14:00:00+01:00,1605.527
sc2015,y2030,2030-01-01T15:00:00+01:00,1575.96
sc2015,y2030,2030-01-01T16:00:00+01:00,1577.398
sc2015,y2030,2030-01-01T17:00:00+01:00,1596.477
sc2015,y2030,2030-01-01T18:00:00+01:00,1666.555
sc2015,y2030,2030-01-01T19:00:00+01:00,1699.681
sc2015,y2030,2030-01-01T20:00:00+01:00,1717.871
sc2015,y2030,2030-01-01T21:00:00+01:00,1727.12
sc2015,y2030,2030-01-01T22:00:00+01:00,1715.711
sc2015,y2030,2030-01-01T23:00:00+01:00,1676.01
sc2015,y2030,2030-01-02T00:00:00+01:00,1620.767
sc2015,y2030,2030-01-02T01:00:00+01:00,1572.643
sc2015,y2030,2030-01-02T02:00:00+01:00,1537.625
sc2015,y2030,2030-01-02T03:00:00+01:00,1514.122
sc2015,y2030,2030-01-02T04:00:00+01:00,1513.349
sc2015,y2030,2030-01-02T05:00:00+01:00,1522.081
sc2015,y2030,2030-01-02T06:00:00+01:00,1565.409
sc2015,y2030,2030-01-02T07:00:00+01:00,1636.345
sc2015,y2030,2030-01-02T08:00:00+01:00,1702.874
sc2015,y2030,2030-01-02T09:00:00+01:00,1754.402
sc2015,y2030,2030-01-02T10:00:00+01:00,1783.158
sc2015,y2030,2030-01-02T11:00:00+01:00,1754.384
sc2015,y2030,2030-01-02T12:00:00+01:00,1731.616
sc2015,y2030,2030-01-02T13:00:00+01:00,1720.825
sc2015,y2030,2030-01-02T14:00:00+01:00,1697.855
sc2015,y2030,2030-01-02T15:00:00+01:00,1678.259
sc2015,y2030,2030-01-02T16:00:00+01:00,1668.084
sc2015,y2030,2030-01-02T17:00:00+01:00,1693.601
sc2015,y2030,2030-01-02T18:00:00+01:00,1749.573
sc2015,y2030,2030-01-02T19:00:00+01:00,1777.74
sc2015,y2030,2030-01-02T20:00:00+01:00,1780.422
sc2015,y2030,2030-01-02T21:00:00+01:00,1790.257
sc2015,y2030,2030-01-02T22:00:00+01:00,1762.963
sc2015,y2030,2030-01-02T23:00:00+01:00,1711.329
sc2015,y2030,2030-01-03T00:00:00+01:00,1630.318
sc2015,y2030,2030-01-03T01:00:00+01:00,1589.825
sc2015,y2030,2030-01-03T02:00:00+01:00,1562.176
sc2015,y2030,2030-01-03T03:00:00+01:00,1546.109
sc2015,y2030,2030-01-03T04:00:00+01:00,1538.829
sc2015,y2030,2030-01-03T05:00:00+01:00,1541.156
sc2015,y2030,2030-01-03T06:00:00+01:00,1562.502
sc2015,y2030,2030-01-03T07:00:00+01:00,1602.482
sc2015,y2030,2030-01-03T08:00:00+01:00,1642.187
sc2015,y2030,2030-01-03T09:00:00+01:00,1690.736
sc2015,y2030,2030-01-03T10:00:00+01:00,1743.34
sc2015,y2030,2030-01-03T11:00:00+01:00,1764.944
sc2015,y2030,2030-01-03T12:00:00+01:00,1752.866
sc2015,y2030,2030-01-03T13:00:00+01:00,1741.54
sc2015,y2030,2030-01-03T14:00:00+01:00,1726.02
sc2015,y2030,2030-01-03T15:00:00+01:00,1706.966
sc2015,y2030,2030-01-03T16:00:00+01:00,1719.165
sc2015,y2030,2030-01-03T17:00:00+01:00,1752.195
sc2015,y2030,2030-01-03T18:00:00+01:00,1831.382
sc2015,y2030,2030-01-03T19:00:00+01:00,1873.326
sc2015,y2030,2030-01-03T20:00:00+01:00,1884.593
sc2015,y2030,2030-01-03T21:00:00+01:00,1895.831
sc2015,y2030,2030-01-03T22:00:00+01:00,1863.854
sc2015,y2030,2030-01-03T23:00:00+01:00,1814.247
sc2015,y2030,2030-01-04T00:00:00+01:00,1763.884
sc2015,y2030,2030-01-04T01:00:00+01:00,1717.183
sc2015,y2030,2030-01-04T02:00:00+01:00,1684.618
sc2015,y2030,2030-01-04T03:00:00+01:00,1663.731
sc2015,y2030,2030-01-04T04:00:00+01:00,1662.857
sc2015,y2030,2030-01-04T05:00:00+01:00,1656.845
sc2015,y2030,2030-01-04T06:00:00+01:00,1662.014
sc2015,y2030,2030-01-04T07:00:00+01:00,1676.986
sc2015,y2030,2030-01-04T08:00:00+01:00,1687.102
sc2015,y2030,2030-01-04T09:00:00+01:00,1727.287
sc2015,y2030,2030-01-04T10:00:00+01:00,1761.269
sc2015,y2030,2030-01-04T11:00:00+01:00,1759.587
sc2015,y2030,2030-01-04T12:00:00+01:00,1731.837
sc2015,y2030,2030-01-04T13:00:00+01:00,1717.991
sc2015,y2030,2030-01-04T14:00:00+01:00,1702.526
sc2015,y2030,2030-01-04T15:00:00+01:00,1676.213
sc2015,y2030,2030-01-04T16:00:00+01:00,1670.823
sc2015,y2030,2030-01-04T17:00:00+01:00,1693.259
sc2015,y2030,2030-01-04T18:00:00+01:00,1757.327
sc2015,y2030,2030-01-04T19:00:00+01:00,1793.092
sc2015,y2030,2030-01-04T20:00:00+01:00,1794.943
sc2015,y2030,2030-01-04T21:00:00+01:00,1791.849
sc2015,y2030,2030-01-04T22:00:00+01:00,1752.126
sc2015,y2030,2030-01-04T23:00:00+01:00,1672.387
sc2015,y2030,2030-01-05T00:00:00+01:00,1612.46
sc2015,y2030,2030-01-05T01:00:00+01:00,1546.455
sc2015,y2030,2030-01-05T02:00:00+01:00,1489.406
sc2015,y2030,2030-01-05T03:00:00+01:00,1481.309
sc2015,y2030,2030-01-05T04:00:00+01:00,1470.421
sc2015,y2030,2030-01-05T05:00:00+01:00,1485.248
sc2015,y2030,2030-01-05T06:00:00+01:00,1530.43
sc2015,y2030,2030-01-05T07:00:00+01:00,1598.021
sc2015,y2030,2030-01-05T08:00:00+01:00,1647.053
sc2015,y2030,2030-01-05T09:00:00+01:00,1694.927
sc2015,y2030,2030-01-05T10:00:00+01:00,1730.693
sc2015,y2030,2030-01-05T11:00:00+01:00,1718.349
sc2015,y2030,2030-01-05T12:00:00+01:00,1716.61
sc2015,y2030,2030-01-05T13:00:00+01:00,1712.492
sc2015,y2030,2030-01-05T14:00:00+01:00,1690.337
sc2015,y2030,2030-01-05T15:00:00+01:00,1672.189
sc2015,y2030,2030-01-05T16:00:00+01:00,1662.035
sc2015,y2030,2030-01-05T17:00:00+01:00,1668.268
sc2015,y2030,2030-01-05T18:00:00+01:00,1703.917
sc2015,y2030,2030-01-05T19:00:00+01:00,1718.431
sc2015,y2030,2030-01-05T20:00:00+01:00,1710.835
sc2015,y2030,2030-01-05T21:00:00+01:00,1726.683
sc2015,y2030,2030-01-05T22:00:00+01:00,1714.102
sc2015,y2030,2030-01-05T23:00:00+01:00,1682.472
sc2015,y2030,2030-01-06T00:00:00+01:00,1634.79
sc2015,y2030,2030-01-06T01:00:00+01:00,1587.405
sc2015,y2030,2030-01-06T02:00:00+01:00,1549.601
sc2015,y2030,2030-01-06T03:00:00+01:00,1546.297
sc2015,y2030,2030-01-06T04:00:00+01:00,1548.079
sc2015,y2030,2030-01-06T05:00:00+01:00,1556.473
sc2015,y2030,2030-01-06T06:00:00+01:00,1572.308
sc2015,y2030,2030-01-06T07:00:00+01:00,1591.259
sc2015,y2030,2030-01-06T08:00:00+01:00,1601.258
sc2015,y2030,2030-01-06T09:00:00+01:00,1622.314
sc2015,y2030,2030-01-06T10:00:00+01:00,1654.376
sc2015,y2030,2030-01-06T11:00:00+01:00,1639.718
sc2015,y2030,2030-01-06T12:00:00+01:00,1623.686
sc2015,y2030,2030-01-06T13:00:00+01:00,1619.572
sc2015,y2030,2030-01-06T14:00:00+01:00,1622.668
sc2015,y2030,2030-01-06T15:00:00+01:00,1590.784
sc2015,y2030,2030-01-06T16:00:00+01:00,1583.603
sc2015,y2030,2030-01-06T17:00:00+01:00,1594.31
sc2015,y2030,2030-01-06T18:00:00+01:00,1664.303
sc2015,y2030,2030-01-06T19:00:00+01:00,1715.621
sc2015,y2030,2030-01-06T20:00:00+01:00,1733.382
sc2015,y2030,2030-01-06T21:00:00+01:00,1756.844
sc2015,y2030,2030-01-06T22:00:00+01:00,1737.998
sc2015,y2030,2030-01-06T23:00:00+01:00,1685.157
sc2015,y2030,2030-01-07T00:00:00+01:00,1607.169
sc2015,y2030,2030-01-07T01:00:00+01:00,1556.272
sc2015,y2030,2030-01-07T02:00:00+01:00,1524.652
sc2015,y2030,2030-01-07T03:00:00+01:00,1493.743
sc2015,y2030,2030-01-07T04:00:00+01:00,1486.269
sc2015,y2030,2030-01-07T05:00:00+01:00,1505.046
sc2015,y2030,2030-01-07T06:00:00+01:00,1563.785
sc2015,y2030,2030-01-07T07:00:00+01:00,1652.835
sc2015,y2030,2030-01-07T08:00:00+01:00,1736.125
sc2015,y2030,2030-01-07T09:00:00+01:00,1758.809
sc2015,y2030,2030-01-07T10:00:00+01:00,1792.697
sc2015,y2030,2030-01-07T11:00:00+01:00,1775.318
sc2015,y2030,2030-01-07T12:00:00+01:00,1758.465
sc2015,y2030,2030-01-07T13:00:00+01:00,1740.784
