Node,Zone
Parinhas_500_kV,Zone1
Piura_500_kV,Zone1
LaNinha_500_kV,Zone1
Veracruz_500_kV,Zone1
Trujillo_500_kV,Zone1
Celendin_500_kV,Zone1
Jaen_500_kV,Zone1
Chimbote_500_kV,Zone1
Paramonga_500_kV,Zone1
Carabayllo_500_kV,Zone1
Carapongo_500_kV,Zone1
Planicie_500_kV,Zone1
Chilca_500_kV,Zone1
Independencia_500_kV,Zone1
Poroma_500_kV,Zone1
Oconha_500_kV,Zone1
SanJose_500_kV,Zone1
Montalvo_500_kV,Zone1
Yarabamba_500_kV,Zone1
Colcabamba_500_kV,Zone1
Yanango_500_kV,Zone1
Yuncan_500_kV,Zone1
Yungas_500_kV,Zone1
Huanuco_500_kV,Zone1
Tocache_500_kV,Zone1
Mara_I_500_kV,Zone1
Mara_II_500_kV,Zone1
Cotaruse_500_kV,Zone1
Abancay_500_kV,Zone1
Onocora_500_kV,Zone1
Machala_220_kV,Zone1
Zorritos_220_kV,Zone1
Tumbes_220_kV,Zone1
Talara_220_kV,Zone1
Parinhas_220_kV,Zone1
PiuraOeste_220_kV,Zone1
PiuraEste_220_kV,Zone1
Chira_220_kV,Zone1
LaNinha_220_kV,Zone1
Felam_220_kV,Zone1
Chiclayo_220_kV,Zone1
Olmos_220_kV,Zone1
Reque_220_kV,Zone1
Guadalupe_220_kV,Zone1
Carhuaquero_220_kV,Zone1
Trujillo_220_kV,Zone1
TrujilloNueva_220_kV,Zone1
Viru_220_kV,Zone1
Cajamarca_220_kV,Zone1
Celendin_220_kV,Zone1
Caclic_220_kV,Zone1
Moyobamba_220_kV,Zone1
Iquitos_220_kV,Zone1
CerroCorona_220_kV,Zone1
LaRamada_220_kV,Zone1
KimanAyllu_220_kV,Zone1
Chimbote_220_kV,Zone1
Huarmey_220_kV,Zone1
Paramonga_220_kV,Zone1
MedioMundo_220_kV,Zone1
Huacho_220_kV,Zone1
Lomera_220_kV,Zone1
Zapallal_220_kV,Zone1
Carabayllo_220_kV,Zone1
Mirador_220_kV,Zone1
Malvinas_220_kV,Zone1
Ventanilla_220_kV,Zone1
Chillon_220_kV,Zone1
Chavarria_220_kV,Zone1
Aeropuerto_220_kV,Zone1
Barsi_220_kV,Zone1
Huinco_220_kV,Zone1
SantaRosa_220_kV,Zone1
Industriales_220_kV,Zone1
SanLuis_220_kV,Zone1
LosSauces_220_kV,Zone1
SanJuan_220_kV,Zone1
Pachacutec_220_kV,Zone1
Balnearios_220_kV,Zone1
