Scenario,Period,LoadLevel,Demand
sc01,y2030,2030-01-01T03:00:00+01:00,-932.6867859
sc01,y2030,2030-01-01T07:00:00+01:00,-1429.082297
sc01,y2030,2030-01-01T11:00:00+01:00,-759.3704159
sc01,y2030,2030-01-01T15:00:00+01:00,-435.8531181
sc01,y2030,2030-01-01T19:00:00+01:00,-436.9965746
sc01,y2030,2030-01-01T23:00:00+01:00,-8.842005278
sc01,y2030,2030-01-02T03:00:00+01:00,-758.2145297
sc01,y2030,2030-01-02T07:00:00+01:00,-1010.931585
sc01,y2030,2030-01-02T11:00:00+01:00,262.3414707
sc01,y2030,2030-01-02T15:00:00+01:00,467.8724066
sc01,y2030,2030-01-02T19:00:00+01:00,196.7172468
sc01,y2030,2030-01-02T23:00:00+01:00,435.9451391
sc01,y2030,2030-01-03T03:00:00+01:00,-818.4342987
sc01,y2030,2030-01-03T07:00:00+01:00,-882.3519736
sc01,y2030,2030-01-03T11:00:00+01:00,649.8375444
sc01,y2030,2030-01-03T15:00:00+01:00,972.2232905
sc01,y2030,2030-01-03T19:00:00+01:00,821.2197853
sc01,y2030,2030-01-03T23:00:00+01:00,695.9663661
sc01,y2030,2030-01-04T03:00:00+01:00,-999.8389547
sc01,y2030,2030-01-04T07:00:00+01:00,-1027.997561
sc01,y2030,2030-01-04T11:00:00+01:00,564.9125939
sc01,y2030,2030-01-04T15:00:00+01:00,919.6513871
sc01,y2030,2030-01-04T19:00:00+01:00,772.2637766
sc01,y2030,2030-01-04T23:00:00+01:00,663.5267836
sc01,y2030,2030-01-05T03:00:00+01:00,-758.2145297
sc01,y2030,2030-01-05T07:00:00+01:00,-1010.931585
sc01,y2030,2030-01-05T11:00:00+01:00,262.3414707
sc01,y2030,2030-01-05T15:00:00+01:00,467.8724066
sc01,y2030,2030-01-05T19:00:00+01:00,196.7172468
sc01,y2030,2030-01-05T23:00:00+01:00,435.9451391
sc01,y2030,2030-01-06T03:00:00+01:00,-932.239073
sc01,y2030,2030-01-06T07:00:00+01:00,-1429.082297
sc01,y2030,2030-01-06T11:00:00+01:00,-759.3704159
sc01,y2030,2030-01-06T15:00:00+01:00,-435.8531181
sc01,y2030,2030-01-06T19:00:00+01:00,-436.9965746
sc01,y2030,2030-01-06T23:00:00+01:00,-8.842005278
sc01,y2030,2030-01-07T03:00:00+01:00,-999.8389547
sc01,y2030,2030-01-07T07:00:00+01:00,-1027.997561
sc01,y2030,2030-01-07T11:00:00+01:00,564.9125939
sc01,y2030,2030-01-07T15:00:00+01:00,919.6513871
sc01,y2030,2030-01-07T19:00:00+01:00,772.2637766
sc01,y2030,2030-01-07T23:00:00+01:00,663.5267836
sc01,y2030,2030-01-08T03:00:00+01:00,-818.4342987
sc01,y2030,2030-01-08T07:00:00+01:00,-882.3519736
sc01,y2030,2030-01-08T11:00:00+01:00,649.8375444
sc01,y2030,2030-01-08T15:00:00+01:00,972.2232905
sc01,y2030,2030-01-08T19:00:00+01:00,821.2197853
sc01,y2030,2030-01-08T23:00:00+01:00,695.9663661
