Scenario,Period,LoadLevel,Area1
sc01,y2030,2030-01-01T15:00:00+01:00,0.0
sc01,y2030,2030-01-02T07:00:00+01:00,0.02743919365383977
sc01,y2030,2030-01-02T23:00:00+01:00,0.0
sc01,y2030,2030-01-03T15:00:00+01:00,0.020769835961560384
sc01,y2030,2030-01-04T07:00:00+01:00,0.020769835961539567
sc01,y2030,2030-01-04T23:00:00+01:00,0.013547779615363107
sc01,y2030,2030-01-05T15:00:00+01:00,0.0720020980000402
sc01,y2030,2030-01-06T07:00:00+01:00,0.0
sc01,y2030,2030-01-06T23:00:00+01:00,0.0
sc01,y2030,2030-01-07T15:00:00+01:00,0.020769835961522917
sc01,y2030,2030-01-08T07:00:00+01:00,0.02076983596154061
sc01,y2030,2030-01-08T23:00:00+01:00,0.013547779615363107
sc01,y2030,2030-01-09T15:00:00+01:00,0.020769835961559346
sc01,y2030,2030-01-10T07:00:00+01:00,0.020769835961561428
sc01,y2030,2030-01-10T23:00:00+01:00,0.013547779615384965
sc01,y2030,2030-01-11T15:00:00+01:00,0.020769835961558306
sc01,y2030,2030-01-12T07:00:00+01:00,0.020769835961559346
sc01,y2030,2030-01-12T23:00:00+01:00,0.0
sc01,y2030,2030-01-13T15:00:00+01:00,0.0
sc01,y2030,2030-01-14T07:00:00+01:00,0.027439193653840815
sc01,y2030,2030-01-14T23:00:00+01:00,0.013547779615363107
sc01,y2030,2030-01-15T15:00:00+01:00,0.02076983596152916
sc01,y2030,2030-01-16T07:00:00+01:00,0.02076983596152604
sc01,y2030,2030-01-16T23:00:00+01:00,0.013547779615370391
sc01,y2030,2030-01-17T15:00:00+01:00,0.020769835961531244
sc01,y2030,2030-01-18T07:00:00+01:00,0.020769835961539567
sc01,y2030,2030-01-18T23:00:00+01:00,0.0135477796153808
sc01,y2030,2030-01-19T15:00:00+01:00,0.07200209800086246
sc01,y2030,2030-01-20T07:00:00+01:00,0.0
sc01,y2030,2030-01-20T23:00:00+01:00,0.0
sc01,y2030,2030-01-21T15:00:00+01:00,0.020769835961522917
sc01,y2030,2030-01-22T07:00:00+01:00,0.020769835961533326
sc01,y2030,2030-01-22T23:00:00+01:00,0.013218019412717701
sc01,y2030,2030-01-23T15:00:00+01:00,0.020769835961532285
sc01,y2030,2030-01-24T07:00:00+01:00,0.02076983596154061
sc01,y2030,2030-01-24T23:00:00+01:00,0.013547779615557741
sc01,y2030,2030-01-25T15:00:00+01:00,0.020769835961532285
sc01,y2030,2030-01-26T07:00:00+01:00,0.020769835961530203
sc01,y2030,2030-01-26T23:00:00+01:00,0.0
sc01,y2030,2030-01-27T15:00:00+01:00,0.0
sc01,y2030,2030-01-28T07:00:00+01:00,0.02743919365383977
sc01,y2030,2030-01-28T23:00:00+01:00,0.0135477796153808
sc01,y2030,2030-01-29T15:00:00+01:00,0.02077022139174815
sc01,y2030,2030-01-30T07:00:00+01:00,0.02076983596153853
sc01,y2030,2030-01-30T23:00:00+01:00,0.013433698637328049
sc01,y2030,2030-01-31T15:00:00+01:00,0.020769835961523955
