InitialNode,FinalNode,cc1,cc2,cc3,cc4
Abancay_138_kV,Tamburco_138_kV,0,0.0,0.0,0.0
Abancay_220_kV,Abancay_138_kV,0,0.0,0.0,0.0
Abancay_220_kV,Cotaruse_220_kV,0,0.0,0.0,0.0
Abancay_220_kV,LasBambas_220_kV,0,0.0,0.0,0.0
Abancay_500_kV,Abancay_220_kV,0,0.0,0.0,0.0
Abancay_500_kV,Onocora_500_kV,0,0.0,0.0,0.0
Aeropuerto_220_kV,Aeropuerto_60_kV,0,0.0,0.0,0.0
Aeropuerto_220_kV,Chavarria_220_kV,0,0.0,0.0,0.0
Aguaytia_138_kV,Aguaytia(neutro)_138_kV,0,0.0,0.0,0.0
Aguaytia_138_kV,CampoVerde_138_kV,0,0.0,0.0,0.0
Aguaytia_138_kV,Pucallpa_138_kV,0,0.0,0.0,0.0
Aguaytia_22.9_kV,Aguaytia(neutro)_138_kV,0,0.0,0.0,0.0
Aguaytia_220_kV,Aguaytia(neutro)_138_kV,0,0.0,0.0,0.0
Aguaytia_220_kV,Pucallpa_220_kV,0,0.0,0.0,0.0
Aguaytia_220_kV,TingoMariaN_220_kV,0,0.0,0.0,0.0
Aguaytia_220_kV,TingoMaria_220_kV,0,0.0,0.0,0.0
AltoPraderas_220_kV,Praderas_60_kV,0,0.0,0.0,0.0
Amarilis_138_kV,HuanucoNueva_138_kV,0,0.0,0.0,0.0
Amarilis_138_kV,PiedraBlanca_138_kV,0,0.0,0.0,0.0
Aricota_138_kV,Aricota_66_kV,0,0.0,0.0,0.0
Aricota_66_kV,Tomasiri_66_kV,0,0.0,0.0,0.0
Asia_220_kV,Bujama_60_kV,0,0.0,0.0,0.0
Asia_220_kV,Cantera_220_kV,0,0.0,0.0,0.0
Aucayacu_138_kV,Tocache_138_kV,0,0.0,0.0,0.0
Ayaviri_138_kV,Azangaro_138_kV,0,0.0,0.0,0.0
Azangaro_138_kV,Maravilla_138_kV,0,0.0,0.0,0.0
Azangaro_138_kV,Putina_138_kV,0,0.0,0.0,0.0
Azangaro_138_kV,SanGaban_138_kV,0,0.0,0.0,0.0
Azangaro_138_kV,SanRafael_138_kV,0,0.0,0.0,0.0
Azangaro_220_kV,Azangaro_138_kV,0,0.0,0.0,0.0
Azangaro_220_kV,Juliaca_220_kV,0,0.0,0.0,0.0
Balnearios_220_kV,Balnearios_60_kV,0,0.0,0.0,0.0
Balnearios_60_kV,Moyopampa_60_kV,0,0.0,0.0,0.0
Balnearios_60_kV,Salamanca_60_kV,0,0.0,0.0,0.0
Barsi_220_kV,Barsi_60_kV,0,0.0,0.0,0.0
Bellavista_138_kV,Picota_138_kV,0,0.0,0.0,0.0
BeloHorizonte_220_kV,TingoMaria_220_kV,0,0.0,0.0,0.0
Brasil_500_kV,Inambari_500_kV,0,0.0,0.0,0.0
Cachimayo_138_kV,Abancay_138_kV,0,0.0,0.0,0.0
Cachimayo_138_kV,Quencoro_138_kV,0,0.0,0.0,0.0
Caclic_220_kV,Moyobamba_220_kV,0,0.0,0.0,0.0
Cajamarca_220_kV,Caclic_220_kV,0,0.0,0.0,0.0
Cajamarca_220_kV,LaRamada_220_kV,0,0.0,0.0,0.0
Cajamarquilla_220_kV,Chavarria_220_kV,0,0.0,0.0,0.0
Callahuanca_220_kV,Callahuanca_60_kV,0,0.0,0.0,0.0
Callahuanca_220_kV,Carapongo_220_kV,0,0.0,0.0,0.0
Callahuanca_60_kV,Huachipa_60_kV,0,0.0,0.0,0.0
Callahuanca_60_kV,Huampani_60_kV,0,0.0,0.0,0.0
Callahuanca_60_kV,Moyopampa_60_kV,0,0.0,0.0,0.0
Callalli_138_kV,Tintaya_138_kV,0,0.0,0.0,0.0
CampoVerde_138_kV,Pucallpa_138_kV,0,0.0,0.0,0.0
Cantera_220_kV,Desierto_220_kV,0,0.0,0.0,0.0
Cantera_220_kV,Independencia_220_kV,0,0.0,0.0,0.0
Carabayllo_220_kV,Mirador_220_kV,0,0.0,0.0,0.0
Carabayllo_220_kV,Zapallal_220_kV,0,0.0,0.0,0.0
Carabayllo_500_kV,Carabayllo_220_kV,0,0.0,0.0,0.0
Carabayllo_500_kV,Chimbote_500_kV,0,0.0,0.0,0.0
Carabayllo_500_kV,Paramonga_500_kV,0,0.0,0.0,0.0
Carapongo_220_kV,Cajamarquilla_220_kV,0,0.0,0.0,0.0
Carapongo_220_kV,SanMiguel_220_kV,0,0.0,0.0,0.0
Carapongo_220_kV,SantaRosa_220_kV,0,0.0,0.0,0.0
Carapongo_500_kV,Cajamarquilla_220_kV,0,0.0,0.0,0.0
Carapongo_500_kV,Carabayllo_500_kV,0,0.0,0.0,0.0
Carapongo_500_kV,Carapongo_220_kV,0,0.0,0.0,0.0
Carhuamayo_138_kV,Carhuamayo_50_kV,0,0.0,0.0,0.0
Carhuamayo_138_kV,Caripa_138_kV,0,0.0,0.0,0.0
Carhuamayo_138_kV,Paragsha_138_kV,0,0.0,0.0,0.0
Carhuamayo_220_kV,Carhuamayo_138_kV,0,0.0,0.0,0.0
Carhuamayo_50_kV,Malpaso_50_kV,0,0.0,0.0,0.0
Carhuaquero_138_kV,Cutervo_138_kV,0,0.0,0.0,0.0
Carhuaquero_220_kV,Cajamarca_220_kV,0,0.0,0.0,0.0
Carhuaquero_220_kV,Carhuaquero_138_kV,0,0.0,0.0,0.0
Caripa_138_kV,Condorcocha_138_kV,0,0.0,0.0,0.0
Caripa_138_kV,Oroya_138_kV,0,0.0,0.0,0.0
Caudalosa_220_kV,Independencia_220_kV,0,0.0,0.0,0.0
Celendin_220_kV,Cajamarca_220_kV,0,0.0,0.0,0.0
Celendin_500_kV,Celendin_220_kV,0,0.0,0.0,0.0
Celendin_500_kV,Jaen_500_kV,0,0.0,0.0,0.0
Celendin_500_kV,Piura_500_kV,0,0.0,0.0,0.0
Celendin_500_kV,Trujillo_500_kV,0,0.0,0.0,0.0
Celendin_500_kV,Veracruz_500_kV,0,0.0,0.0,0.0
CerroCorona_220_kV,Cajamarca_220_kV,0,0.0,0.0,0.0
CerroVerde_138_kV,Reparticion_138_kV,0,0.0,0.0,0.0
CerroVerde_220_kV,SanLuisCV_220_kV,0,0.0,0.0,0.0
CerroVerde_220_kV,Socabaya_220_kV,0,0.0,0.0,0.0
Chaglla_220_kV,Huanuco_220_kV,0,0.0,0.0,0.0
Chavarria_220_kV,Barsi_220_kV,0,0.0,0.0,0.0
Chavarria_220_kV,Chavarria_60_kV,0,0.0,0.0,0.0
Chavarria_220_kV,SantaRosa_220_kV,0,0.0,0.0,0.0
Chavarria_60_kV,Mirones_60_kV,0,0.0,0.0,0.0
Chavarria_60_kV,Naranjal_60_kV,0,0.0,0.0,0.0
Chavarria_60_kV,Oquendo_60_kV,0,0.0,0.0,0.0
Chavarria_60_kV,PuentePiedra_60_kV,0,0.0,0.0,0.0
Chavarria_60_kV,Zapallal_60_kV,0,0.0,0.0,0.0
Chiclayo_220_kV,Carhuaquero_220_kV,0,0.0,0.0,0.0
Chiclayo_220_kV,Reque_220_kV,0,0.0,0.0,0.0
ChilcaCTM_220_kV,ChilcaREP_220_kV,0,0.0,0.0,0.0
ChilcaREP_220_kV,Asia_220_kV,0,0.0,0.0,0.0
ChilcaREP_220_kV,Cantera_220_kV,0,0.0,0.0,0.0
ChilcaREP_220_kV,Chilca_60_kV,0,0.0,0.0,0.0
ChilcaREP_220_kV,Desierto_220_kV,0,0.0,0.0,0.0
ChilcaREP_220_kV,Independencia_220_kV,0,0.0,0.0,0.0
Chilca_500_kV,Carapongo_500_kV,0,0.0,0.0,0.0
Chilca_500_kV,ChilcaCTM_220_kV,0,0.0,0.0,0.0
Chilca_500_kV,Independencia_500_kV,0,0.0,0.0,0.0
Chilca_500_kV,Planicie_500_kV,0,0.0,0.0,0.0
Chilca_60_kV,Bujama_60_kV,0,0.0,0.0,0.0
Chilca_60_kV,SanBartolo_60_kV,0,0.0,0.0,0.0
Chillon_220_kV,Chillon_60_kV,0,0.0,0.0,0.0
Chillon_60_kV,Zapallal_60_kV,0,0.0,0.0,0.0
Chimbote_138_kV,Huallanca_138_kV,0,0.0,0.0,0.0
Chimbote_220_kV,Chimbote_138_kV,0,0.0,0.0,0.0
Chimbote_220_kV,Trujillo_220_kV,0,0.0,0.0,0.0
Chimbote_220_kV,Viru_220_kV,0,0.0,0.0,0.0
Chimbote_500_kV,Chimbote_220_kV,0,0.0,0.0,0.0
Chimbote_500_kV,Trujillo_500_kV,0,0.0,0.0,0.0
Chincha_220_kV,Independencia_220_kV,0,0.0,0.0,0.0
Chincha_220_kV,PuebloNuevo_60_kV,0,0.0,0.0,0.0
Chira_220_kV,PiuraOeste_220_kV,0,0.0,0.0,0.0
Cobriza_69_kV,Machahuay_69_kV,0,0.0,0.0,0.0
ColSur_500_kV,Inambari_500_kV,0,0.0,0.0,0.0
ColSur_500_kV,Mainique1_500_kV,0,0.0,0.0,0.0
Colcabamba_220_kV,Abancay_220_kV,0,0.0,0.0,0.0
Colcabamba_220_kV,CAguila_220_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Abancay_500_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Carabayllo_500_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Carapongo_500_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,ColSur_500_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Colcabamba_220_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Independencia_500_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Paquitzapango_500_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Poroma_500_kV,0,0.0,0.0,0.0
Colcabamba_500_kV,Yanango_500_kV,0,0.0,0.0,0.0
Combapata_138_kV,Quencoro_138_kV,0,0.0,0.0,0.0
Conococha_220_kV,KimanAyllu_220_kV,0,0.0,0.0,0.0
Conococha_220_kV,Paramonga_220_kV,0,0.0,0.0,0.0
Cotaruse_220_kV,LasBambas_220_kV,0,0.0,0.0,0.0
Cotaruse_220_kV,Socabaya_220_kV,0,0.0,0.0,0.0
Cotaruse_500_kV,Cotaruse_220_kV,0,0.0,0.0,0.0
Cutervo_138_kV,Jaen_138_kV,0,0.1371254875382633,0.0,0.11069413218111995
Desierto_220_kV,Chincha_220_kV,0,0.0,0.0,0.0
Desierto_220_kV,Independencia_220_kV,0,0.0,0.0,0.0
Dolorespata_138_kV,Cachimayo_138_kV,0,0.0,0.0,0.0
Excelsior_50_kV,Carhuamayo_50_kV,0,0.0,0.0,0.0
Felam_220_kV,Chiclayo_220_kV,0,0.0,0.0,0.0
Guadalupe_220_kV,Guadalupe_60_kV,0,0.0,0.0,0.0
Huachipa_60_kV,Planicie_60_kV,0,0.0,0.0,0.0
Huachipa_60_kV,SanMiguel_60_kV,0,0.0,0.0,0.0
Huachipa_60_kV,SantaRosaLDS_60_kV,0,0.0,0.0,0.0
Huacho_220_kV,MedioMundo_220_kV,0,0.0,0.0,0.0
Huallanca_138_kV,KimanAyllu_138_kV,0,0.0,0.0,0.0
Huampani_60_kV,nhanha_60_kV,0,0.0,0.0,0.0
Huancavelica_220_kV,Caudalosa_220_kV,0,0.0,0.0,0.0
Huancavelica_220_kV,Independencia_220_kV,0,0.0,0.0,0.0
Huancavelica_220_kV,Mollepata_220_kV,0,0.0,0.0,0.0
Huancayo_60_kV,PIndustrial_60_kV,0,0.0,0.0,0.0
Huanta_69_kV,Mollepata_69_kV,0,0.0,0.0,0.0
Huanuco_138_kV,Amarilis_138_kV,0,0.0,0.0,0.0
Huanuco_220_kV,HuanucoNueva_138_kV,0,0.0,0.0,0.0
Huanuco_220_kV,Paragsha_220_kV,0,0.0,0.0,0.0
Huanuco_220_kV,Vizcarra_220_kV,0,0.0,0.0,0.0
Huanuco_220_kV,Yungas_220_kV,0,0.0,0.0,0.0
Huanuco_500_kV,Huanuco_220_kV,0,0.0,0.0,0.0
Huanuco_500_kV,Paramonga_500_kV,0,0.0,0.0,0.0
Huanuco_500_kV,Tocache_500_kV,0,0.0,0.0,0.0
Huanuco_500_kV,Yanango_500_kV,0,0.0,0.0,0.0
Huanza_220_kV,Carabayllo_220_kV,0,0.0,0.0,0.0
Huarangal_60_kV,PuentePiedra_60_kV,0,0.0,0.0,0.0
Huarmey_220_kV,Chimbote_220_kV,0,0.0,0.0,0.0
Huayucachi_220_kV,Huayucachi_60_kV,0,0.0,0.0,0.0
Huayucachi_220_kV,Orcotuna_220_kV,0,0.0,0.0,0.0
