,,,Spain
sc2015,y2030,2030-01-01T00:00:00+01:00,982.448
sc2015,y2030,2030-01-01T01:00:00+01:00,938.346
sc2015,y2030,2030-01-01T02:00:00+01:00,889.09
sc2015,y2030,2030-01-01T03:00:00+01:00,838.614
sc2015,y2030,2030-01-01T04:00:00+01:00,812.541
sc2015,y2030,2030-01-01T05:00:00+01:00,785.862
sc2015,y2030,2030-01-01T06:00:00+01:00,769.252
sc2015,y2030,2030-01-01T07:00:00+01:00,764.511
sc2015,y2030,2030-01-01T08:00:00+01:00,747.922
sc2015,y2030,2030-01-01T09:00:00+01:00,743.856
sc2015,y2030,2030-01-01T10:00:00+01:00,776.845
sc2015,y2030,2030-01-01T11:00:00+01:00,799.313
sc2015,y2030,2030-01-01T12:00:00+01:00,809.599
sc2015,y2030,2030-01-01T13:00:00+01:00,814.788
sc2015,y2030,2030-01-01T14:00:00+01:00,805.527
sc2015,y2030,2030-01-01T15:00:00+01:00,775.96
sc2015,y2030,2030-01-01T16:00:00+01:00,777.398
sc2015,y2030,2030-01-01T17:00:00+01:00,796.477
sc2015,y2030,2030-01-01T18:00:00+01:00,866.555
sc2015,y2030,2030-01-01T19:00:00+01:00,899.681
sc2015,y2030,2030-01-01T20:00:00+01:00,917.871
sc2015,y2030,2030-01-01T21:00:00+01:00,927.12
sc2015,y2030,2030-01-01T22:00:00+01:00,915.711
sc2015,y2030,2030-01-01T23:00:00+01:00,876.01
sc2015,y2030,2030-01-02T00:00:00+01:00,820.767
sc2015,y2030,2030-01-02T01:00:00+01:00,772.643
sc2015,y2030,2030-01-02T02:00:00+01:00,737.625
sc2015,y2030,2030-01-02T03:00:00+01:00,714.122
sc2015,y2030,2030-01-02T04:00:00+01:00,713.349
sc2015,y2030,2030-01-02T05:00:00+01:00,722.081
sc2015,y2030,2030-01-02T06:00:00+01:00,765.409
sc2015,y2030,2030-01-02T07:00:00+01:00,836.345
sc2015,y2030,2030-01-02T08:00:00+01:00,902.874
sc2015,y2030,2030-01-02T09:00:00+01:00,954.402
sc2015,y2030,2030-01-02T10:00:00+01:00,983.158
sc2015,y2030,2030-01-02T11:00:00+01:00,954.384
sc2015,y2030,2030-01-02T12:00:00+01:00,931.616
sc2015,y2030,2030-01-02T13:00:00+01:00,920.825
sc2015,y2030,2030-01-02T14:00:00+01:00,897.855
sc2015,y2030,2030-01-02T15:00:00+01:00,878.259
sc2015,y2030,2030-01-02T16:00:00+01:00,868.084
sc2015,y2030,2030-01-02T17:00:00+01:00,893.601
sc2015,y2030,2030-01-02T18:00:00+01:00,949.573
sc2015,y2030,2030-01-02T19:00:00+01:00,977.74
sc2015,y2030,2030-01-02T20:00:00+01:00,980.422
sc2015,y2030,2030-01-02T21:00:00+01:00,990.257
sc2015,y2030,2030-01-02T22:00:00+01:00,962.963
sc2015,y2030,2030-01-02T23:00:00+01:00,911.329
sc2015,y2030,2030-01-03T00:00:00+01:00,830.318
sc2015,y2030,2030-01-03T01:00:00+01:00,789.825
sc2015,y2030,2030-01-03T02:00:00+01:00,762.176
sc2015,y2030,2030-01-03T03:00:00+01:00,746.109
sc2015,y2030,2030-01-03T04:00:00+01:00,738.829
sc2015,y2030,2030-01-03T05:00:00+01:00,741.156
sc2015,y2030,2030-01-03T06:00:00+01:00,762.502
sc2015,y2030,2030-01-03T07:00:00+01:00,802.482
sc2015,y2030,2030-01-03T08:00:00+01:00,842.187
sc2015,y2030,2030-01-03T09:00:00+01:00,890.736
sc2015,y2030,2030-01-03T10:00:00+01:00,943.34
sc2015,y2030,2030-01-03T11:00:00+01:00,964.944
sc2015,y2030,2030-01-03T12:00:00+01:00,952.866
sc2015,y2030,2030-01-03T13:00:00+01:00,941.54
sc2015,y2030,2030-01-03T14:00:00+01:00,926.02
sc2015,y2030,2030-01-03T15:00:00+01:00,906.966
sc2015,y2030,2030-01-03T16:00:00+01:00,919.165
sc2015,y2030,2030-01-03T17:00:00+01:00,952.195
sc2015,y2030,2030-01-03T18:00:00+01:00,1031.382
sc2015,y2030,2030-01-03T19:00:00+01:00,1073.326
sc2015,y2030,2030-01-03T20:00:00+01:00,1084.593
sc2015,y2030,2030-01-03T21:00:00+01:00,1095.831
sc2015,y2030,2030-01-03T22:00:00+01:00,1063.854
sc2015,y2030,2030-01-03T23:00:00+01:00,1014.247
sc2015,y2030,2030-01-04T00:00:00+01:00,963.884
sc2015,y2030,2030-01-04T01:00:00+01:00,917.183
sc2015,y2030,2030-01-04T02:00:00+01:00,884.618
sc2015,y2030,2030-01-04T03:00:00+01:00,863.731
sc2015,y2030,2030-01-04T04:00:00+01:00,862.857
sc2015,y2030,2030-01-04T05:00:00+01:00,856.845
sc2015,y2030,2030-01-04T06:00:00+01:00,862.014
sc2015,y2030,2030-01-04T07:00:00+01:00,876.986
sc2015,y2030,2030-01-04T08:00:00+01:00,887.102
sc2015,y2030,2030-01-04T09:00:00+01:00,927.287
sc2015,y2030,2030-01-04T10:00:00+01:00,961.269
sc2015,y2030,2030-01-04T11:00:00+01:00,959.587
sc2015,y2030,2030-01-04T12:00:00+01:00,931.837
sc2015,y2030,2030-01-04T13:00:00+01:00,917.991
sc2015,y2030,2030-01-04T14:00:00+01:00,902.526
sc2015,y2030,2030-01-04T15:00:00+01:00,876.213
sc2015,y2030,2030-01-04T16:00:00+01:00,870.823
sc2015,y2030,2030-01-04T17:00:00+01:00,893.259
