,W/m2,,ES00,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES61,ES62
sc2015,y2030,2019-01-01T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T05:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T06:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T07:00:00+01:00,,0,0.038,0.811,1.686,2.848,4.479,12.228,5.217,1.605,5.467,2.344,22.96,18.494,4.498,20.545
sc2015,y2030,2019-01-01T08:00:00+01:00,,44.021,61.198,76.517,43.668,58.123,104.281,136.725,113.857,91.059,115.522,100.654,142.745,153.45,98.749,167.175
sc2015,y2030,2019-01-01T09:00:00+01:00,,180.605,201.404,198.746,111.38,154.751,244.219,285.175,266.598,240.871,270.312,259.503,251.231,303.25,260.316,328.525
sc2015,y2030,2019-01-01T10:00:00+01:00,,304.102,320.55,284.975,167.768,237.198,355.125,398,387.98,363.018,393.834,390.21,370.923,415.675,394.539,450.783
sc2015,y2030,2019-01-01T11:00:00+01:00,,385.453,395.25,323.2,211.493,285.02,419.375,459.975,459.918,437.645,467.767,472.225,422.214,476.15,481.258,518.825
sc2015,y2030,2019-01-01T12:00:00+01:00,,414.797,417.208,330.083,248.775,294.05,430.875,464.225,474.893,456.293,484.231,496.678,424.782,478.75,507.709,525.9
sc2015,y2030,2019-01-01T13:00:00+01:00,,389.004,383.367,291.975,254.854,260.758,389,410.9,430.909,417.398,441.154,461.135,362.154,422.725,473.617,472.042
sc2015,y2030,2019-01-01T14:00:00+01:00,,311.026,296,214.208,238.487,187.822,300.438,305.05,332.814,324.563,343.122,369.395,251.474,314.25,384.376,362
sc2015,y2030,2019-01-01T15:00:00+01:00,,190.492,169.104,112.258,121.984,92.038,160.625,159.863,191.841,188.181,201.61,231.37,110.113,167.325,244.833,208.033
sc2015,y2030,2019-01-01T16:00:00+01:00,,53.565,36.535,17.978,16.278,10.65,24.219,22.13,41.831,41.719,48.163,71.949,6.336,26.291,83.626,45.483
sc2015,y2030,2019-01-01T17:00:00+01:00,,0.001,0,0,0,0,0,0,0,0,0,0.122,0,0,0.674,0
sc2015,y2030,2019-01-01T18:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T19:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T20:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T21:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T22:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-01T23:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T00:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T01:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T02:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T03:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sc2015,y2030,2019-01-02T04:00:00+01:00,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
