Scenario,Period,LoadLevel,Demand
sc2015,y2030,2030-01-01T01:00:00+01:00,-427.38646793957605
sc2015,y2030,2030-01-01T03:00:00+01:00,-862.0088114395767
sc2015,y2030,2030-01-01T05:00:00+01:00,-1166.5799743695761
sc2015,y2030,2030-01-01T07:00:00+01:00,-1157.273751069576
sc2015,y2030,2030-01-01T09:00:00+01:00,-1135.506139709576
sc2015,y2030,2030-01-01T11:00:00+01:00,-815.1647862795762
sc2015,y2030,2030-01-01T13:00:00+01:00,-672.110510359576
sc2015,y2030,2030-01-01T15:00:00+01:00,-741.6909195095764
sc2015,y2030,2030-01-01T17:00:00+01:00,-881.8838493995763
sc2015,y2030,2030-01-01T19:00:00+01:00,-137.62407543957625
sc2015,y2030,2030-01-01T21:00:00+01:00,220.5313960904232
sc2015,y2030,2030-01-01T23:00:00+01:00,44.736008890421544
sc2015,y2030,2030-01-02T01:00:00+01:00,-688.9561239195759
sc2015,y2030,2030-01-02T03:00:00+01:00,-1159.8652141895768
sc2015,y2030,2030-01-02T05:00:00+01:00,-1224.9435427395774
sc2015,y2030,2030-01-02T07:00:00+01:00,-681.356377229577
sc2015,y2030,2030-01-02T09:00:00+01:00,202.88843525042284
sc2015,y2030,2030-01-02T11:00:00+01:00,651.9171619004246
sc2015,y2030,2030-01-02T13:00:00+01:00,471.5699316504224
sc2015,y2030,2030-01-02T15:00:00+01:00,268.11595884042345
sc2015,y2030,2030-01-02T17:00:00+01:00,166.8419164704237
sc2015,y2030,2030-01-02T19:00:00+01:00,795.945694590423
sc2015,y2030,2030-01-02T21:00:00+01:00,930.1967368604228
sc2015,y2030,2030-01-02T23:00:00+01:00,529.7487799104229
sc2015,y2030,2030-01-03T01:00:00+01:00,-251.98685872957685
sc2015,y2030,2030-01-03T03:00:00+01:00,-819.434191459577
sc2015,y2030,2030-01-03T05:00:00+01:00,-953.8138082195774
sc2015,y2030,2030-01-03T07:00:00+01:00,-736.8465541095766
sc2015,y2030,2030-01-03T09:00:00+01:00,-229.9414020295767
sc2015,y2030,2030-01-03T11:00:00+01:00,310.1067898704223
sc2015,y2030,2030-01-03T13:00:00+01:00,144.66699304042322
sc2015,y2030,2030-01-03T15:00:00+01:00,-35.27397119957641
sc2015,y2030,2030-01-03T17:00:00+01:00,-185.78474597957666
sc2015,y2030,2030-01-03T19:00:00+01:00,520.2520431404237
sc2015,y2030,2030-01-03T21:00:00+01:00,763.4914886104243
sc2015,y2030,2030-01-03T23:00:00+01:00,430.4803937604238
sc2015,y2030,2030-01-04T01:00:00+01:00,-309.8651488695755
sc2015,y2030,2030-01-04T03:00:00+01:00,-876.0127305395749
sc2015,y2030,2030-01-04T05:00:00+01:00,-1044.2326406395755
sc2015,y2030,2030-01-04T07:00:00+01:00,-923.4550150295745
sc2015,y2030,2030-01-04T09:00:00+01:00,-630.8205838495755
sc2015,y2030,2030-01-04T11:00:00+01:00,-140.75798195957486
sc2015,y2030,2030-01-04T13:00:00+01:00,-185.71466625957464
sc2015,y2030,2030-01-04T15:00:00+01:00,-267.0505306395753
sc2015,y2030,2030-01-04T17:00:00+01:00,-426.0369258095743
sc2015,y2030,2030-01-04T19:00:00+01:00,265.1925727704247
sc2015,y2030,2030-01-04T21:00:00+01:00,601.4291444204246
sc2015,y2030,2030-01-04T23:00:00+01:00,359.869249700424
sc2015,y2030,2030-01-05T01:00:00+01:00,-432.3534853195747
sc2015,y2030,2030-01-05T03:00:00+01:00,-920.0407103595758
sc2015,y2030,2030-01-05T05:00:00+01:00,-1001.2010190995757
sc2015,y2030,2030-01-05T07:00:00+01:00,-525.5628929795757
sc2015,y2030,2030-01-05T09:00:00+01:00,326.02474609042383
sc2015,y2030,2030-01-05T11:00:00+01:00,729.9520347504249
sc2015,y2030,2030-01-05T13:00:00+01:00,495.0001230304233
sc2015,y2030,2030-01-05T15:00:00+01:00,225.58666469042328
sc2015,y2030,2030-01-05T17:00:00+01:00,61.408667990423055
sc2015,y2030,2030-01-05T19:00:00+01:00,459.6373084904244
sc2015,y2030,2030-01-05T21:00:00+01:00,538.1289277004244
sc2015,y2030,2030-01-05T23:00:00+01:00,270.9636506704237
sc2015,y2030,2030-01-06T01:00:00+01:00,-375.7201789095766
sc2015,y2030,2030-01-06T03:00:00+01:00,-936.3999225595762
sc2015,y2030,2030-01-06T05:00:00+01:00,-1115.858670879577
sc2015,y2030,2030-01-06T07:00:00+01:00,-1003.9042114295753
sc2015,y2030,2030-01-06T09:00:00+01:00,-756.811502449576
sc2015,y2030,2030-01-06T11:00:00+01:00,-244.63440863957658
sc2015,y2030,2030-01-06T13:00:00+01:00,-209.18913647957697
sc2015,y2030,2030-01-06T15:00:00+01:00,-384.4323022395761
sc2015,y2030,2030-01-06T17:00:00+01:00,-560.385585259577
sc2015,y2030,2030-01-06T19:00:00+01:00,58.18541184042351
sc2015,y2030,2030-01-06T21:00:00+01:00,418.8879888704223
sc2015,y2030,2030-01-06T23:00:00+01:00,256.3256400904238
sc2015,y2030,2030-01-07T01:00:00+01:00,-478.95968212957814
sc2015,y2030,2030-01-07T03:00:00+01:00,-923.0782519795771
sc2015,y2030,2030-01-07T05:00:00+01:00,-924.3468413295782
sc2015,y2030,2030-01-07T07:00:00+01:00,-141.89712912957657
sc2015,y2030,2030-01-07T09:00:00+01:00,968.2413575104229
sc2015,y2030,2030-01-07T11:00:00+01:00,1381.529050010423
sc2015,y2030,2030-01-07T13:00:00+01:00,1269.9674841104234
sc2015,y2030,2030-01-07T15:00:00+01:00,934.6676812104233
sc2015,y2030,2030-01-07T17:00:00+01:00,826.3674212604219
sc2015,y2030,2030-01-07T19:00:00+01:00,1432.2211837604227
sc2015,y2030,2030-01-07T21:00:00+01:00,1532.189554810424
sc2015,y2030,2030-01-07T23:00:00+01:00,817.0948344604221
sc2015,y2030,2030-01-08T01:00:00+01:00,-94.25335848957639
sc2015,y2030,2030-01-08T03:00:00+01:00,-548.9079484695771
sc2015,y2030,2030-01-08T05:00:00+01:00,-579.0498896195777
sc2015,y2030,2030-01-08T07:00:00+01:00,206.67904481042297
sc2015,y2030,2030-01-08T09:00:00+01:00,1275.084181860424
sc2015,y2030,2030-01-08T11:00:00+01:00,1439.6473885604246
sc2015,y2030,2030-01-08T13:00:00+01:00,1208.3178273604235
sc2015,y2030,2030-01-08T15:00:00+01:00,890.6417421104234
sc2015,y2030,2030-01-08T17:00:00+01:00,826.8670167104228
sc2015,y2030,2030-01-08T19:00:00+01:00,1484.2714333604235
sc2015,y2030,2030-01-08T21:00:00+01:00,1589.3383558604237
sc2015,y2030,2030-01-08T23:00:00+01:00,846.4046948204232
sc2015,y2030,2030-01-09T01:00:00+01:00,-70.30881939957635
sc2015,y2030,2030-01-09T03:00:00+01:00,-520.3745848595759
sc2015,y2030,2030-01-09T05:00:00+01:00,-548.8777821095764
sc2015,y2030,2030-01-09T07:00:00+01:00,220.26911799042318
sc2015,y2030,2030-01-09T09:00:00+01:00,1280.2316568104243
sc2015,y2030,2030-01-09T11:00:00+01:00,1369.1029816604223
sc2015,y2030,2030-01-09T13:00:00+01:00,1097.122458510421
sc2015,y2030,2030-01-09T15:00:00+01:00,714.4710722904238
sc2015,y2030,2030-01-09T17:00:00+01:00,606.1111960304243
sc2015,y2030,2030-01-09T19:00:00+01:00,1250.3867528104229
sc2015,y2030,2030-01-09T21:00:00+01:00,1338.9367449604233
sc2015,y2030,2030-01-09T23:00:00+01:00,799.740719350425
sc2015,y2030,2030-01-10T01:00:00+01:00,27.7167012404243
sc2015,y2030,2030-01-10T03:00:00+01:00,-529.1413487295758
sc2015,y2030,2030-01-10T05:00:00+01:00,-703.5735896895758
sc2015,y2030,2030-01-10T07:00:00+01:00,-506.7932134595758
sc2015,y2030,2030-01-10T09:00:00+01:00,23.798130600423974
sc2015,y2030,2030-01-10T11:00:00+01:00,512.2446009704245
sc2015,y2030,2030-01-10T13:00:00+01:00,303.3282272404249
sc2015,y2030,2030-01-10T15:00:00+01:00,63.20490098042592
sc2015,y2030,2030-01-10T17:00:00+01:00,-99.16655217957441
sc2015,y2030,2030-01-10T19:00:00+01:00,591.1083915604249
sc2015,y2030,2030-01-10T21:00:00+01:00,829.4467901104263
sc2015,y2030,2030-01-10T23:00:00+01:00,471.6708914704259
sc2015,y2030,2030-01-11T01:00:00+01:00,-265.5976291095744
sc2015,y2030,2030-01-11T03:00:00+01:00,-809.8474694095739
sc2015,y2030,2030-01-11T05:00:00+01:00,-951.1522406895751
sc2015,y2030,2030-01-11T07:00:00+01:00,-831.6240385095748
sc2015,y2030,2030-01-11T09:00:00+01:00,-573.9969691995752
sc2015,y2030,2030-01-11T11:00:00+01:00,-98.91639760957469
sc2015,y2030,2030-01-11T13:00:00+01:00,-110.64936966957566
sc2015,y2030,2030-01-11T15:00:00+01:00,-230.56247716957478
sc2015,y2030,2030-01-11T17:00:00+01:00,-413.3442928795753
sc2015,y2030,2030-01-11T19:00:00+01:00,350.41758444042443
sc2015,y2030,2030-01-11T21:00:00+01:00,737.4618725904238
sc2015,y2030,2030-01-11T23:00:00+01:00,411.784341720424
sc2015,y2030,2030-01-12T01:00:00+01:00,-368.9388852595762
sc2015,y2030,2030-01-12T03:00:00+01:00,-794.0099803495764
sc2015,y2030,2030-01-12T05:00:00+01:00,-797.4036383095768
sc2015,y2030,2030-01-12T07:00:00+01:00,69.53148994042476
sc2015,y2030,2030-01-12T09:00:00+01:00,1156.2181440104232
sc2015,y2030,2030-01-12T11:00:00+01:00,1317.8235633604236
sc2015,y2030,2030-01-12T13:00:00+01:00,1088.504992160424
sc2015,y2030,2030-01-12T15:00:00+01:00,782.4049526504241
sc2015,y2030,2030-01-12T17:00:00+01:00,785.3938503104246
sc2015,y2030,2030-01-12T19:00:00+01:00,1330.924887260424
sc2015,y2030,2030-01-12T21:00:00+01:00,1422.9950198604247
sc2015,y2030,2030-01-12T23:00:00+01:00,744.358903000425
sc2015,y2030,2030-01-13T01:00:00+01:00,-123.40715852957555
sc2015,y2030,2030-01-13T03:00:00+01:00,-539.6828555295765
sc2015,y2030,2030-01-13T05:00:00+01:00,-564.2868282895761
sc2015,y2030,2030-01-13T07:00:00+01:00,189.61012360042423
sc2015,y2030,2030-01-13T09:00:00+01:00,1208.1007210604248
sc2015,y2030,2030-01-13T11:00:00+01:00,1312.6105500604244
sc2015,y2030,2030-01-13T13:00:00+01:00,1099.4600903104238
sc2015,y2030,2030-01-13T15:00:00+01:00,759.0755934004237
sc2015,y2030,2030-01-13T17:00:00+01:00,688.4102439404223
sc2015,y2030,2030-01-13T19:00:00+01:00,1322.1852008104242
sc2015,y2030,2030-01-13T21:00:00+01:00,1447.407661860424
sc2015,y2030,2030-01-13T23:00:00+01:00,729.8159836904242
sc2015,y2030,2030-01-14T01:00:00+01:00,-108.3064052895761
sc2015,y2030,2030-01-14T03:00:00+01:00,-551.6973754495757
sc2015,y2030,2030-01-14T05:00:00+01:00,-570.5551776495754
sc2015,y2030,2030-01-14T07:00:00+01:00,183.97160222042476
sc2015,y2030,2030-01-14T09:00:00+01:00,1164.310033560423
sc2015,y2030,2030-01-14T11:00:00+01:00,1289.3525475604229
sc2015,y2030,2030-01-14T13:00:00+01:00,1135.2187086604254
sc2015,y2030,2030-01-14T15:00:00+01:00,842.8225138604239
sc2015,y2030,2030-01-14T17:00:00+01:00,787.9345010104253
sc2015,y2030,2030-01-14T19:00:00+01:00,1341.5290491604255
sc2015,y2030,2030-01-14T21:00:00+01:00,1449.7751524604264
sc2015,y2030,2030-01-14T23:00:00+01:00,723.3614327904243
sc2015,y2030,2030-01-15T01:00:00+01:00,-126.39340227957473
sc2015,y2030,2030-01-15T03:00:00+01:00,-560.8334758795754
sc2015,y2030,2030-01-15T05:00:00+01:00,-572.2051761895755
sc2015,y2030,2030-01-15T07:00:00+01:00,172.95913253042636
sc2015,y2030,2030-01-15T09:00:00+01:00,1137.6262166104243
sc2015,y2030,2030-01-15T11:00:00+01:00,1270.9889556604248
sc2015,y2030,2030-01-15T13:00:00+01:00,1132.599301860423
sc2015,y2030,2030-01-15T15:00:00+01:00,888.1176039604234
sc2015,y2030,2030-01-15T17:00:00+01:00,904.6870304604236
sc2015,y2030,2030-01-15T19:00:00+01:00,1363.6545905104222
sc2015,y2030,2030-01-15T21:00:00+01:00,1396.311661910424
sc2015,y2030,2030-01-15T23:00:00+01:00,728.5127368204221
sc2015,y2030,2030-01-16T01:00:00+01:00,-58.515182129576715
sc2015,y2030,2030-01-16T03:00:00+01:00,-506.7427336395767
sc2015,y2030,2030-01-16T05:00:00+01:00,-545.0947020295757
sc2015,y2030,2030-01-16T07:00:00+01:00,165.81169157042405
sc2015,y2030,2030-01-16T09:00:00+01:00,1104.721210060423
sc2015,y2030,2030-01-16T11:00:00+01:00,1293.5994943104233
sc2015,y2030,2030-01-16T13:00:00+01:00,1159.8856405104243
sc2015,y2030,2030-01-16T15:00:00+01:00,893.0146440104236
sc2015,y2030,2030-01-16T17:00:00+01:00,810.7468083604244
sc2015,y2030,2030-01-16T19:00:00+01:00,1257.9431644104234
sc2015,y2030,2030-01-16T21:00:00+01:00,1319.5305751104233
sc2015,y2030,2030-01-16T23:00:00+01:00,756.2184604904241
sc2015,y2030,2030-01-17T01:00:00+01:00,33.243570940422615
sc2015,y2030,2030-01-17T03:00:00+01:00,-473.37822544957635
sc2015,y2030,2030-01-17T05:00:00+01:00,-639.3108040095772
sc2015,y2030,2030-01-17T07:00:00+01:00,-487.39301630957607
sc2015,y2030,2030-01-17T09:00:00+01:00,75.95041328042225
sc2015,y2030,2030-01-17T11:00:00+01:00,672.0009854704222
sc2015,y2030,2030-01-17T13:00:00+01:00,506.54337444042176
sc2015,y2030,2030-01-17T15:00:00+01:00,270.35247752042324
sc2015,y2030,2030-01-17T17:00:00+01:00,79.2557181404236
sc2015,y2030,2030-01-17T19:00:00+01:00,661.9726762204227
sc2015,y2030,2030-01-17T21:00:00+01:00,917.3483243104229
sc2015,y2030,2030-01-17T23:00:00+01:00,540.1689101104221
sc2015,y2030,2030-01-18T01:00:00+01:00,-205.67292718957833
sc2015,y2030,2030-01-18T03:00:00+01:00,-730.7892867895789
sc2015,y2030,2030-01-18T05:00:00+01:00,-885.172566099578
sc2015,y2030,2030-01-18T07:00:00+01:00,-787.333474389578
sc2015,y2030,2030-01-18T09:00:00+01:00,-481.64618480957824
sc2015,y2030,2030-01-18T11:00:00+01:00,192.69980402042165
sc2015,y2030,2030-01-18T13:00:00+01:00,412.6659084904213
sc2015,y2030,2030-01-18T15:00:00+01:00,370.78668022042257
sc2015,y2030,2030-01-18T17:00:00+01:00,164.53049471042232
sc2015,y2030,2030-01-18T19:00:00+01:00,622.3265204904228
sc2015,y2030,2030-01-18T21:00:00+01:00,912.8973127104227
sc2015,y2030,2030-01-18T23:00:00+01:00,552.5493985904232
sc2015,y2030,2030-01-19T01:00:00+01:00,-285.714911829577
sc2015,y2030,2030-01-19T03:00:00+01:00,-722.4633446095772
sc2015,y2030,2030-01-19T05:00:00+01:00,-734.6530646395781
sc2015,y2030,2030-01-19T07:00:00+01:00,121.88046169042264
sc2015,y2030,2030-01-19T09:00:00+01:00,1253.9651804604227
sc2015,y2030,2030-01-19T11:00:00+01:00,1575.550854010422
sc2015,y2030,2030-01-19T13:00:00+01:00,1486.2948019104215
sc2015,y2030,2030-01-19T15:00:00+01:00,1213.4382250104218
sc2015,y2030,2030-01-19T17:00:00+01:00,1131.3370920104226
sc2015,y2030,2030-01-19T19:00:00+01:00,1613.95713026042
sc2015,y2030,2030-01-19T21:00:00+01:00,1682.342525260422
sc2015,y2030,2030-01-19T23:00:00+01:00,886.6032489604222
sc2015,y2030,2030-01-20T01:00:00+01:00,18.528844470421973
sc2015,y2030,2030-01-20T03:00:00+01:00,-445.79645700957826
sc2015,y2030,2030-01-20T05:00:00+01:00,-463.2778193095796
sc2015,y2030,2030-01-20T07:00:00+01:00,334.1289118504219
sc2015,y2030,2030-01-20T09:00:00+01:00,1397.7060180104227
sc2015,y2030,2030-01-20T11:00:00+01:00,1615.3704485104208
sc2015,y2030,2030-01-20T13:00:00+01:00,1559.256822710423
sc2015,y2030,2030-01-20T15:00:00+01:00,1335.5363997604209
sc2015,y2030,2030-01-20T17:00:00+01:00,1327.949591310422
sc2015,y2030,2030-01-20T19:00:00+01:00,1768.4421366104216
sc2015,y2030,2030-01-20T21:00:00+01:00,1837.3717634604218
sc2015,y2030,2030-01-20T23:00:00+01:00,1050.4413835604219
sc2015,y2030,2030-01-21T01:00:00+01:00,71.48436982042313
sc2015,y2030,2030-01-21T03:00:00+01:00,-409.08953643957784
sc2015,y2030,2030-01-21T05:00:00+01:00,-443.32930700957877
sc2015,y2030,2030-01-21T07:00:00+01:00,343.5318850604217
