Scenario,Period,LoadLevel,CCGT,Coal_Subbituminous,Cogeneration,Hydro_UGH,Nuclear,Onshore_wind,PumpedStorage_Hydro,Pure_PumpedStorage_Hydro,Solar_PV
sc2015,y2030,2030-01-01T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,25.671863863027546,-118.82644130340648,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,-264.8686030170081,-115.47404954455206,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,-76.72490345921372,-150.26058290466557,0.0
sc2015,y2030,2030-01-01T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-01T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,-5.15849607308458,0.0
sc2015,y2030,2030-01-02T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,69.1857567572249,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,55.98199974184031,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,50.517293857224836,3.5855709414882924,0.0
sc2015,y2030,2030-01-02T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,-0.18561638462308583,0.0
sc2015,y2030,2030-01-03T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,69.04365241602675,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,35.99322347595607,-43.91978213103284,0.0
sc2015,y2030,2030-01-03T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,18.249108918434587,-36.41442905851171,0.0
sc2015,y2030,2030-01-03T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,-14.177430928570594,0.0
sc2015,y2030,2030-01-03T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,24.08644676568113,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,14.185353947411905,3.5855709414882924,0.0
sc2015,y2030,2030-01-03T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,27.74061323491187,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,-9.126722220878348,0.0
sc2015,y2030,2030-01-04T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,43.38732234535537,-36.41442905851171,0.0
sc2015,y2030,2030-01-04T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,-152.34096579449047,-150.26058290466557,0.0
sc2015,y2030,2030-01-04T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,1.3228326275088023,-150.26058290466557,0.0
sc2015,y2030,2030-01-04T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-04T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-05T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,-15.50321738679515,0.0
sc2015,y2030,2030-01-06T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,36.525057545572,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-06T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,56.81474819384441,3.5855709414882924,0.0
sc2015,y2030,2030-01-07T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T07:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T09:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T11:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T13:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T15:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T17:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T19:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T21:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-08T23:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-09T01:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-09T03:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
sc2015,y2030,2030-01-09T05:00:00+01:00,0.0,0.0,0.0,0.0,0.0,0.0,70.58876663285545,3.5855709414882924,0.0
