Scenario,Period,LoadLevel,CCGT1,CCGT2,CCGT3,CCGT4,CCGT5,CCGT6,CCGT7,CL_PSH1,CL_PSH2,Coal1,Coal2,Hydro1,Hydro2,Nuclear1,Nuclear2,OL_PSH1,OL_PSH2
sc2015,y2030,2030-01-01T01:00:00+01:00,0.0,0.0,6.098753804108081e-07,2.94410701020463e-07,0.0,0.0,5.435859918187289e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T03:00:00+01:00,0.0,0.0,2.493700212618474e-07,3.424233181744231e-07,0.0,0.0,5.605473023637297e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T05:00:00+01:00,0.0,0.0,3.4800155580666497e-07,2.9441070102046315e-07,0.0,0.0,3.0173510139287253e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T07:00:00+01:00,0.0,0.0,3.46425701960665e-07,1.759795787073617e-07,0.0,0.0,4.2062533073197377e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T09:00:00+01:00,0.0,0.0,3.709602754972001e-07,2.976010556858266e-07,0.0,0.0,2.7185716688697377e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T11:00:00+01:00,0.0,0.0,1.592293131313684e-07,1.759795787073617e-07,0.0,0.0,3.0138932059932486e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T13:00:00+01:00,0.0,0.0,1.4474014768931434e-07,1.3436864384059635e-07,0.0,0.0,3.0138932059932486e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T15:00:00+01:00,0.0,0.0,1.685836669247607e-07,1.3436864384059635e-07,0.0,0.0,3.955734832866136e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T17:00:00+01:00,0.0,8.101768297136976e-08,3.523076923076923e-07,2.001416830832589e-07,1.1918187179396366e-07,0.0,7.96363320198988e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T19:00:00+01:00,0.0,8.101768297136976e-08,5.705873041374107e-07,3.3998042635039706e-07,1.1918187179396368e-07,0.0,1.8535443216858483e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sc2015,y2030,2030-01-01T21:00:00+01:00,0.0,8.101768297136976e-08,6.643708757633972e-07,2.0321819821941053e-07,1.1918187179396367e-07,0.0,1.8535443216858483e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
