Scenario,Period,LoadLevel,CCGT,Coal_Subbituminous,Cogeneration,Hydro_UGH,Nuclear,Onshore_wind,PumpedStorage_Hydro,Pure_PumpedStorage_Hydro,Solar_PV
sc2015,y2030,2030-01-01T01:00:00+01:00,1447.87207325,0.0,262.07855500000005,0.0,1000.0,1035.5075437,0.0,0.0,0.0
sc2015,y2030,2030-01-01T03:00:00+01:00,1152.3406418000002,0.0,258.76650495000007,0.0,1000.0,899.7286816999998,0.0,0.0,0.0
sc2015,y2030,2030-01-01T05:00:00+01:00,944.1473582200006,0.0,257.13364980000006,0.0,1000.0,804.9836575,0.0,0.0,0.0
sc2015,y2030,2030-01-01T07:00:00+01:00,943.0306114000005,0.0,257.64908220000007,107.32758045900002,1000.0,706.901754785,0.0,0.0,0.661859976
sc2015,y2030,2030-01-01T09:00:00+01:00,940.4184980700003,0.0,260.90119670000007,11.306226504999891,1000.0,568.8471133899999,0.0,0.0,255.865465515
sc2015,y2030,2030-01-01T11:00:00+01:00,338.22278504472337,0.0,262.30612555000005,0.0,1000.0,455.32341902999997,0.0,0.0,1469.1564389999999
sc2015,y2030,2030-01-01T13:00:00+01:00,282.12268473590393,0.0,261.13197030000003,0.0,1000.0,488.83182717999995,0.0,0.0,1923.16463745
sc2015,y2030,2030-01-01T15:00:00+01:00,306.90804559822317,0.0,260.42270795,0.0,1000.0,475.9310899700001,0.0,0.0,1689.0517008000004
sc2015,y2030,2030-01-01T17:00:00+01:00,760.6125633582745,0.0,262.16212335,0.0,1000.0,438.6111005200001,245.74155090672554,0.0,583.8334523550002
sc2015,y2030,2030-01-01T19:00:00+01:00,1129.3027284699995,0.0,270.92048815000004,0.0,1000.0,474.03228024000003,1160.4157518670006,0.0,0.5493157230001058
sc2015,y2030,2030-01-01T21:00:00+01:00,1086.3240719649996,0.0,274.5916539,630.0,1000.0,539.6668747599999,862.7934353549999,0.0,0.0
sc2015,y2030,2030-01-01T23:00:00+01:00,1107.4195183849997,0.0,274.98664555,630.0,1000.0,589.1476239100002,616.0268609350002,0.0,0.0
sc2015,y2030,2030-01-02T01:00:00+01:00,1195.4625744049993,0.0,269.4198901,0.0,1000.0,543.6180743850001,475.3879770800002,0.0,0.0
sc2015,y2030,2030-01-02T03:00:00+01:00,1251.9716652099994,0.0,270.69597855000006,0.0,1000.0,490.31178194000006,0.0,0.0,0.0
sc2015,y2030,2030-01-02T05:00:00+01:00,1165.6496737649998,0.0,277.97780500000005,0.0,1000.0,504.2736183850001,0.0,0.0,0.0
sc2015,y2030,2030-01-02T07:00:00+01:00,1194.5506047649997,0.0,299.65337160000007,0.0,1000.0,539.5551800350001,457.04542329400033,0.0,0.6836829660001058
sc2015,y2030,2030-01-02T09:00:00+01:00,1088.4412272699997,0.0,365.27266595000003,630.0,1000.0,502.59819801000003,513.1270215194995,0.0,276.29396239050016
sc2015,y2030,2030-01-02T11:00:00+01:00,1045.0506604524871,0.0,386.2314961000001,0.0,1000.0,348.0546275100001,587.7090314920862,0.0,1466.4600532499999
sc2015,y2030,2030-01-02T13:00:00+01:00,1057.8830595457562,0.0,379.72641305,123.53681092487206,1000.0,232.24119189500004,0.0,0.0,1852.430106
sc2015,y2030,2030-01-02T15:00:00+01:00,1080.6139244049996,0.0,381.41849195,0.0,1000.0,234.40527662500003,206.76404084999967,0.0,1537.7588649
sc2015,y2030,2030-01-02T17:00:00+01:00,1092.7668094949995,0.0,406.5816448,0.0,1000.0,291.20202845,1062.8488730850006,0.0,486.28720053
sc2015,y2030,2030-01-02T19:00:00+01:00,1034.802476409218,0.0,416.41301455,644.449381613206,1000.0,309.57580545499997,1516.5327606227706,60.97957288932043,0.6440898315000464
sc2015,y2030,2030-01-02T21:00:00+01:00,1025.2499984207561,0.0,421.70080579999996,1010.0,1000.0,295.544159635,1170.6178856698737,200.0,0.0
sc2015,y2030,2030-01-02T23:00:00+01:00,1053.7434107813333,0.0,417.43868299999997,310.402267599778,1000.0,324.780245745,1600.0,0.0,0.0
sc2015,y2030,2030-01-03T01:00:00+01:00,1143.0262625649991,0.0,382.45782755,630.0,1000.0,319.60040424,445.77328680500045,0.0,0.0
sc2015,y2030,2030-01-03T03:00:00+01:00,1211.11994246,0.0,379.98758155,379.19012488999994,1000.0,383.11279952999996,0.0,0.0,0.0
sc2015,y2030,2030-01-03T05:00:00+01:00,1227.2454965049992,0.0,378.87592459999996,163.29638280500055,1000.0,449.6130277599999,0.0,0.0,0.0
sc2015,y2030,2030-01-03T07:00:00+01:00,1201.2094260099996,0.0,384.157879,0.0,1000.0,523.8201899149999,326.1247255885004,0.0,0.6858652665000463
sc2015,y2030,2030-01-03T09:00:00+01:00,1140.38080777,0.0,391.06492954999993,0.0,1000.0,565.1193029749999,569.181915458,0.0,277.15628210700004
sc2015,y2030,2030-01-03T11:00:00+01:00,1018.4610867168278,0.0,386.8833141499999,0.0,1000.0,553.5449403599999,0.0,0.0,1525.6072027500002
sc2015,y2030,2030-01-03T13:00:00+01:00,587.8021468044203,0.0,381.7670014999999,0.0,1000.0,508.141047255,0.0,0.0,1921.9023336000002
sc2015,y2030,2030-01-03T15:00:00+01:00,579.9941783144202,0.0,376.64862449999987,0.0,1000.0,582.6972553399999,0.0,0.0,1690.5702682499998
